projection_id,candidate_id,pair_id,direction,category,evidence_key,entering_biome,source_policy,severity,canonical_digest
BND_CRATER_DOUGH_H_03__A_TO_B,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,613283962f70dce2c41191c4e78f161f545cc7e868ac3fa6ded05725b06af02d
BND_CRATER_DOUGH_H_03__B_TO_A,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,33988eede5bbf8407c6ab66c6757845bac264ea4cb161b600e4a5ed21ddc7380
BND_CRATER_DOUGH_H_03__B_TO_A,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0c10b27502c013764d26d226da428c8be1bed12b3004c157cea701309c512935
BND_CRATER_DOUGH_H_03__B_TO_A,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,c308ae7e9bb16c46b8d484dbcb6e2a0ca205d8080a858870e7366011943932af
BND_CRATER_DOUGH_H_03__B_TO_A,BND_CRATER_DOUGH_H_03,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,555ae476fa9e4a49fd6b3f3a4aebf54043c7b602fa335be625c921bf883efb7d
BND_CRATER_DOUGH_H_04__A_TO_B,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,5195418d6c059079ce372e35aa7ad89f984be22f03fef4f5af5d78177bbb0739
BND_CRATER_DOUGH_H_04__A_TO_B,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,73863d5119bc2ee3095d1d01db0531cf5ac859604e6b0e59b25dd6eb93617947
BND_CRATER_DOUGH_H_04__A_TO_B,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,5c550c65cc18309254135a1449a14514a3a7ccd7f52ad2375039cf9d12513458
BND_CRATER_DOUGH_H_04__A_TO_B,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,bf1a9ad078997522361c4bb17d6152060348e29ce3645b9d5139f370e9414fb3
BND_CRATER_DOUGH_H_04__B_TO_A,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0b6c174665bf3ac5468c551f3cae7164a1c1c8e6c7d97e4bc300ac593edb9217
BND_CRATER_DOUGH_H_04__B_TO_A,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,af1f3928d9ba061f10c702717e2d6e16f373c7362f693f36a2a6d1171f7ba388
BND_CRATER_DOUGH_H_04__B_TO_A,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,4bb743919ced5539c7c8703b7b6f365d27f7e60ca524aae97fb049e4a476fc76
BND_CRATER_DOUGH_H_04__B_TO_A,BND_CRATER_DOUGH_H_04,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,44c14e448bc45574eac6b7db9a385306d3c0b4903723517e8e3cadc31e959efe
BND_CRATER_DOUGH_V_01__A_TO_B,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,ba1599f970369cd69e71740345c3a5ac25fce2c2e1a045f09e07b56a2d50064a
BND_CRATER_DOUGH_V_01__A_TO_B,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,c83068f474658ad76244552bcffbed568e409fcc0552a1e642b8dea97be240b8
BND_CRATER_DOUGH_V_01__A_TO_B,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e8578045138f922564d5957935898c55693083998c1797041e350412c31ae90f
BND_CRATER_DOUGH_V_01__A_TO_B,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,37aa399501ae2cb777e55f29e1948acb6aeff116905fe021761d1b98125562d0
BND_CRATER_DOUGH_V_01__B_TO_A,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,08d156776de959e9107015ee32893c404335a035cffb1091a669fa35c5414eda
BND_CRATER_DOUGH_V_01__B_TO_A,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,abca6c65e19b7d79eebc2cfe5aa7fbb64dd3cdc6a31e31ee12726d4990e52d22
BND_CRATER_DOUGH_V_01__B_TO_A,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,5b8ab09cec5f26eb30768f02ddfb0834c40b4911f6fa88d94f24c54fbb3d37ed
BND_CRATER_DOUGH_V_01__B_TO_A,BND_CRATER_DOUGH_V_01,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,2b836cd093f6302ba5277a2216fd7d9392bd09ede11b6a2296c7e4a59971f449
BND_CRATER_DOUGH_V_02__A_TO_B,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0a9efff755398ccd302bb967eea7cb0b837b19fd0fd9d291054736baba54fcff
BND_CRATER_DOUGH_V_02__A_TO_B,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,be643a376c26724f28694be16a2d37048baa573c95540f61cb96abf8c27250c0
BND_CRATER_DOUGH_V_02__A_TO_B,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,600e854c2d31609aab35239f209fdbd55447f6be33b35ee0115af79075150d6f
BND_CRATER_DOUGH_V_02__A_TO_B,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,a6c6d8a4c9108e062046697f6a80c257e00a45bdeb5d8e4df8c5df02b43965fc
BND_CRATER_DOUGH_V_02__B_TO_A,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e998d6618c95bc93f71615b4c6d97f0b8b2f60f0c4ca524f92825698218a7c33
BND_CRATER_DOUGH_V_02__B_TO_A,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,1d267856ea0e78302b7c87dfebc49c0d9b4e49b43a2655add07487a87dbca3cd
BND_CRATER_DOUGH_V_02__B_TO_A,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,9822c82d3cd7ad88b2a9036613def3c2e205fe16e0840beabd55de5fb82d1ae1
BND_CRATER_DOUGH_V_02__B_TO_A,BND_CRATER_DOUGH_V_02,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,beed13454d1f6a594199dd2429093cdfef3258479f450d0ec3c4292dfdad0385
BND_CRATER_DOUGH_V_03__A_TO_B,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,cbb07d53ce0efe84701e1a82f03d4d48623ec66f776b25a6e1bf9fbfa2302d12
BND_CRATER_DOUGH_V_03__A_TO_B,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,6d7895cd92f23c2dee620e9d79f10b286820c7eb6b1456888d10e821c270986d
BND_CRATER_DOUGH_V_03__A_TO_B,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0458a2f94225d4d3e630556481ab1af86375f6a576430b22e0efb007d5697a90
BND_CRATER_DOUGH_V_03__A_TO_B,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,004244f3afb6ee3144f3bc480c8f33ff0697feaa4d87ba2d295e03d64502c383
BND_CRATER_DOUGH_V_03__B_TO_A,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,3e73436e03af12910867df897fd6f1a9e69d7b6560e1920d2ec0010a6ad463b8
BND_CRATER_DOUGH_V_03__B_TO_A,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,1cf69dd669e111dcd0107f431c6b64c8c4fd85d4a98ff2fadb56fd4a87969670
BND_CRATER_DOUGH_V_03__B_TO_A,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,085538f665917e16c92a620bc18f64586ac6ea9b28dcf7dea14b0b4f2f8d3970
BND_CRATER_DOUGH_V_03__B_TO_A,BND_CRATER_DOUGH_V_03,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,7378e588e84cf6f51ddf1604371648e2c00302e9f004af4149ab620e5b183d30
BND_CRATER_DOUGH_V_04__A_TO_B,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,A_TO_B,Audio,AMB_DOUGH_SOFT,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,6fd9862d93e11780c0b99be341df4a67482e34098db6fb8705a29edfa288a9bb
BND_CRATER_DOUGH_V_04__A_TO_B,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,A_TO_B,Background,BG_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e27e437afcc2a0d06c80ee5025a6d561eb872ae00bbd05adb056dba564327df3
BND_CRATER_DOUGH_V_04__A_TO_B,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,A_TO_B,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0149e062eb9ce5b9637a3034c1cc6c71d106e768dfb6c94c4c1a87ffe6f4d1fd
BND_CRATER_DOUGH_V_04__A_TO_B,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,A_TO_B,Tile,MAT_MOON_DOUGH,MoonDough,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,052c1016acd78cdd2874cbf1c6f0ba4c06855d97fc2a856b11c81e392f55da71
BND_CRATER_DOUGH_V_04__B_TO_A,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,8d6d241c7591aece058c081d7fdee32c15f2dc3728d29cd91cb8b391e0253407
BND_CRATER_DOUGH_V_04__B_TO_A,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,1dd12e36dcca2795c0808b8f56d7b7543866b90cc6436c312561ffb3dfb904f1
BND_CRATER_DOUGH_V_04__B_TO_A,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,B_TO_A,Resource,POOL_RES_BOUND_CRATER_DOUGH,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,778c9885a0756e187eae3db8987c6169a6b5c79741815493cbbaad03ce278530
BND_CRATER_DOUGH_V_04__B_TO_A,BND_CRATER_DOUGH_V_04,PAIR_CRATER_DOUGH,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,84aef9402f1c73e115baeaf709213c0becc73b50a90fa82eff62b2c9b1dd65b1
BND_CRATER_MILL_H_01__A_TO_B,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,A_TO_B,Audio,AMB_MILL_GEAR,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,fd0ce50b0ddd5a7dd9defd4b3f85cfd4f73524d48798c59ce438c582ad4af866
BND_CRATER_MILL_H_01__A_TO_B,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,A_TO_B,Background,BG_ABANDONED_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,5614d63c29410201ab98d06f15dc67d7e22149ccb73d07c1a801739e883c5a8a
BND_CRATER_MILL_H_01__A_TO_B,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,A_TO_B,Resource,POOL_RES_BOUND_CRATER_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,6ed4f2ce6e0cc2d668102879c99ca43d923a2fa801a70dfd2d2663f99f9d1bfb
BND_CRATER_MILL_H_01__A_TO_B,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,A_TO_B,Tile,MAT_MILLSTONE,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,cffc778579001efaeda0a5a3d80eb9c5f6a78c664b9a467377b842b6fcfa5291
BND_CRATER_MILL_H_01__B_TO_A,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,9fc01bacbb4454f5f59ff168b121d88af0121bc0e7c1c81a930a6e40346a1442
BND_CRATER_MILL_H_01__B_TO_A,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e7b4b5fedbbba34067dae3a83c21cd15bf8e523942a9f98d7a95e7a8ca928262
BND_CRATER_MILL_H_01__B_TO_A,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,B_TO_A,Resource,POOL_RES_BOUND_CRATER_MILL,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,901a493a5be36608c168ac4f513a4851e6efe3c3e0cc19e2a0fb526c14e2de52
BND_CRATER_MILL_H_01__B_TO_A,BND_CRATER_MILL_H_01,PAIR_CRATER_MILL,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,8db9d8412310264827705f6c04eb70ba964ca34b9d0a31c8dbd936639b88a5c9
BND_CRATER_MILL_H_02__A_TO_B,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,A_TO_B,Audio,AMB_MILL_GEAR,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,4826a7c5c92c07ada678350255e0e8f5bcfff34a1b0ff9c7fd44ce5f78fac410
BND_CRATER_MILL_H_02__A_TO_B,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,A_TO_B,Background,BG_ABANDONED_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,04e8087321b70c3d8b8e6af43da8001fcd1d4057dfce0baef7d6e5201c50141b
BND_CRATER_MILL_H_02__A_TO_B,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,A_TO_B,Resource,POOL_RES_BOUND_CRATER_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,0db60c7d17a8048ebfb91df6cba923811995b60f5116a3230087a354a67c806b
BND_CRATER_MILL_H_02__A_TO_B,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,A_TO_B,Tile,MAT_MILLSTONE,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,c0db3a38e441cb292924e7a9de69d0ee3a659199ff16018cc6706bdc66baa9c8
BND_CRATER_MILL_H_02__B_TO_A,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,89a709908ab9ce8b90a6ec49ec8e8e3bcd95ac29fbe56049c5f9bbb3bcb1ca33
BND_CRATER_MILL_H_02__B_TO_A,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,B_TO_A,Background,BG_MOON_CRATER,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,cef0e430b3ae62ed512d2b2e840a94fb9620d92b94b8df07f0064a366afe18c4
BND_CRATER_MILL_H_02__B_TO_A,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,B_TO_A,Resource,POOL_RES_BOUND_CRATER_MILL,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,de48c6e45017f6c4e6593d43b298b0d3a807dfc2899f9f32a7dec1004dc6cac5
BND_CRATER_MILL_H_02__B_TO_A,BND_CRATER_MILL_H_02,PAIR_CRATER_MILL,B_TO_A,Tile,MAT_MOONSTONE,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,4343034306f6d43f6abfda56288cded1f16f79afd5f651d29f170bc3f65b4de7
BND_CRATER_MILL_H_03__A_TO_B,BND_CRATER_MILL_H_03,PAIR_CRATER_MILL,A_TO_B,Audio,AMB_MILL_GEAR,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,e8d497147906f72830a532ed00dc2d73c1401c998cb95f240d422c50604318ea
BND_CRATER_MILL_H_03__A_TO_B,BND_CRATER_MILL_H_03,PAIR_CRATER_MILL,A_TO_B,Background,BG_ABANDONED_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,a82abf817bb1ea3684565c492d820aa54d76b1b45894eb96808233d323a84c7c
BND_CRATER_MILL_H_03__A_TO_B,BND_CRATER_MILL_H_03,PAIR_CRATER_MILL,A_TO_B,Resource,POOL_RES_BOUND_CRATER_MILL,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,6d8d744992feede5cc9b3c6aba57ab96b72fb1be5a943783ddcbe6bb02acdd0d
BND_CRATER_MILL_H_03__A_TO_B,BND_CRATER_MILL_H_03,PAIR_CRATER_MILL,A_TO_B,Tile,MAT_MILLSTONE,AbandonedMill,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,6776567e08ef1b28b75ed0009369e86f58f8caee3b39dab369911b74970f26e6
BND_CRATER_MILL_H_03__B_TO_A,BND_CRATER_MILL_H_03,PAIR_CRATER_MILL,B_TO_A,Audio,AMB_CRATER_WIND,MoonCrater,MAP08_WARNING_MIN_TWO_CATEGORIES,Context,da1ef038a0646301cdd8a6936563b8b7f3e44a47795b718a13190d09ea3fadd1
