socket_key,candidate_id,projection_id,direction,entry_side,exit_side,socket_signature,route_profile_id,tool_requirement,canonical_digest
SOCKET_BND_CRATER_ROOT_H_02__B_TO_A,BND_CRATER_ROOT_H_02,BND_CRATER_ROOT_H_02__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_02,NONE,afabfcf50b9c03d374029fa1a6ab897af3ddb8780fb27f9534254178904b336f
SOCKET_BND_CRATER_ROOT_H_03__A_TO_B,BND_CRATER_ROOT_H_03,BND_CRATER_ROOT_H_03__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_03,NONE,f005b465aba01d78c2aa1fa1ddf31ecb468c2652052816a791f534c1744ba1aa
SOCKET_BND_CRATER_ROOT_H_03__B_TO_A,BND_CRATER_ROOT_H_03,BND_CRATER_ROOT_H_03__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_03,NONE,22d8dbe840b3a47a76711ab91b9eba1a1b74d99c31b186d2b102a1556227c8fe
SOCKET_BND_CRATER_ROOT_H_04__A_TO_B,BND_CRATER_ROOT_H_04,BND_CRATER_ROOT_H_04__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_04,NONE,67e6d00692aa590e99e8122c8ea59c54cabc74b2525f87b25ad768d9d3cb2527
SOCKET_BND_CRATER_ROOT_H_04__B_TO_A,BND_CRATER_ROOT_H_04,BND_CRATER_ROOT_H_04__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_CRATER_ROOT_H_04,NONE,abb99424a06a4ef7c816236e16e38af5597097625152223d25c4d7eff5061759
SOCKET_BND_CRATER_ROOT_V_01__A_TO_B,BND_CRATER_ROOT_V_01,BND_CRATER_ROOT_V_01__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_01,NONE,e627cdb5ecd9e315e87be7a27e3e0fb3c0c0bdabc53b9fd852dfc6a3e68d1c92
SOCKET_BND_CRATER_ROOT_V_01__B_TO_A,BND_CRATER_ROOT_V_01,BND_CRATER_ROOT_V_01__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_01,NONE,4a82930d13b62142a0cf11b35d7dd881f5387466896f33c8b1a0183aa6f954b1
SOCKET_BND_CRATER_ROOT_V_02__A_TO_B,BND_CRATER_ROOT_V_02,BND_CRATER_ROOT_V_02__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_02,NONE,29afcdead38ee71bab18a937d1ca7ec313eb5f9445b9ce3825efc41d9e60e93f
SOCKET_BND_CRATER_ROOT_V_02__B_TO_A,BND_CRATER_ROOT_V_02,BND_CRATER_ROOT_V_02__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_02,NONE,7eecc4affddead41b03a340613347cc2474a562131cef9d1758856d6b6510fde
SOCKET_BND_CRATER_ROOT_V_03__A_TO_B,BND_CRATER_ROOT_V_03,BND_CRATER_ROOT_V_03__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_03,NONE,73e111d91d5324cf1bb5c71204ca2c8ef0c237fb3cfd79e8367a99f8d7f5b068
SOCKET_BND_CRATER_ROOT_V_03__B_TO_A,BND_CRATER_ROOT_V_03,BND_CRATER_ROOT_V_03__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_03,NONE,451a88614c8565828d6202dc14dad5d2f8b9eeb3064550c200b30e3399a6f201
SOCKET_BND_CRATER_ROOT_V_04__A_TO_B,BND_CRATER_ROOT_V_04,BND_CRATER_ROOT_V_04__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_04,NONE,c420a075b771b6615cc038b093123feb93fd0b45463e59cab52b03350a77ff1c
SOCKET_BND_CRATER_ROOT_V_04__B_TO_A,BND_CRATER_ROOT_V_04,BND_CRATER_ROOT_V_04__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_CRATER_ROOT_V_04,NONE,13dfa43b6a7f4c259a420c6d46270ecffe5265ebc67864e436db70a48328460d
SOCKET_BND_MILL_DOUGH_H_01__A_TO_B,BND_MILL_DOUGH_H_01,BND_MILL_DOUGH_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_01,NONE,34cf4c9b34c378368c592e022dc4b74c556e6a0595f41b6cb286342564276055
SOCKET_BND_MILL_DOUGH_H_01__B_TO_A,BND_MILL_DOUGH_H_01,BND_MILL_DOUGH_H_01__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_01,NONE,8ec4eb8446d7e01eb90012bbce5c074e82810dec88c6fa3bc81e6bd0edd856fa
SOCKET_BND_MILL_DOUGH_H_02__A_TO_B,BND_MILL_DOUGH_H_02,BND_MILL_DOUGH_H_02__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_02,NONE,26e107867a57b4a0ea7f0054f1b041bf79a01f34969bb88a86c52010d21d7fcb
SOCKET_BND_MILL_DOUGH_H_02__B_TO_A,BND_MILL_DOUGH_H_02,BND_MILL_DOUGH_H_02__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_02,NONE,20c8c312df5ec540a9ef7ba7b5211c76d22afa6a491a833bd909ccdf23935dea
SOCKET_BND_MILL_DOUGH_H_03__A_TO_B,BND_MILL_DOUGH_H_03,BND_MILL_DOUGH_H_03__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_03,NONE,059fa8f799235474e0aaf4e1df94b07aef705a94dc2d7f46f9f13fc1225f414c
SOCKET_BND_MILL_DOUGH_H_03__B_TO_A,BND_MILL_DOUGH_H_03,BND_MILL_DOUGH_H_03__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_03,NONE,860efddfa2d114773972bb3d4b231905f531c13cae3f14d6fb7b16b0fcf15745
SOCKET_BND_MILL_DOUGH_H_04__A_TO_B,BND_MILL_DOUGH_H_04,BND_MILL_DOUGH_H_04__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_04,NONE,dc7675defb658ca1e8cb2645964708b19f37fe9c4775c6997815a07923c538a6
SOCKET_BND_MILL_DOUGH_H_04__B_TO_A,BND_MILL_DOUGH_H_04,BND_MILL_DOUGH_H_04__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_MILL_DOUGH_H_04,NONE,64f55438bc11322b5fd77447a6f684fbb50868442d33f55dbcb13f053d81724c
SOCKET_BND_MILL_DOUGH_V_01__A_TO_B,BND_MILL_DOUGH_V_01,BND_MILL_DOUGH_V_01__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_01,NONE,97dc36949b1c737e788627d6a3377e584ab6a5075d222c9e037b38253920d787
SOCKET_BND_MILL_DOUGH_V_01__B_TO_A,BND_MILL_DOUGH_V_01,BND_MILL_DOUGH_V_01__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_01,NONE,626252bbace3d265dcd2c473a150a9abdfb60c6f2ed657f34c75b883ddf659ae
SOCKET_BND_MILL_DOUGH_V_02__A_TO_B,BND_MILL_DOUGH_V_02,BND_MILL_DOUGH_V_02__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_02,NONE,08c7c5380c1f64bc621c07d95048fa0586f2fc37435b008b6aed02a936bdc2e5
SOCKET_BND_MILL_DOUGH_V_02__B_TO_A,BND_MILL_DOUGH_V_02,BND_MILL_DOUGH_V_02__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_02,NONE,5644c45d104f2ea11c517188d25b1c3204a4225d5085b48d1784323f96c8df41
SOCKET_BND_MILL_DOUGH_V_03__A_TO_B,BND_MILL_DOUGH_V_03,BND_MILL_DOUGH_V_03__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_03,NONE,03b152c66911cd9fffc70fbe44dd5a20e0840b8eb5ee040173c134414b9c215a
SOCKET_BND_MILL_DOUGH_V_03__B_TO_A,BND_MILL_DOUGH_V_03,BND_MILL_DOUGH_V_03__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_03,NONE,f5b21cf9ffa202661f4f286e4fcc8a0b374f9104cdbe501d0aaad39c7a536bdf
SOCKET_BND_MILL_DOUGH_V_04__A_TO_B,BND_MILL_DOUGH_V_04,BND_MILL_DOUGH_V_04__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_04,NONE,e2b4ac748de3685d6c2e72d9ebcbc7c684d724f65ca4999e71b3d572162761fe
SOCKET_BND_MILL_DOUGH_V_04__B_TO_A,BND_MILL_DOUGH_V_04,BND_MILL_DOUGH_V_04__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_MILL_DOUGH_V_04,NONE,090ffc61c07bf0404b04dee8bde9bbc7613778ac55c5624a3836bb1988ec5660
SOCKET_BND_ROOT_DOUGH_H_01__A_TO_B,BND_ROOT_DOUGH_H_01,BND_ROOT_DOUGH_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_01,NONE,7d637fff32990b5e6156927edc801f88216a41bbb1ae0a8c502988fcdc58a312
SOCKET_BND_ROOT_DOUGH_H_01__B_TO_A,BND_ROOT_DOUGH_H_01,BND_ROOT_DOUGH_H_01__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_01,NONE,820ec40670290bc2a5a86fad7349715643e23c3fb1c5efdd20f692988f59d931
SOCKET_BND_ROOT_DOUGH_H_02__A_TO_B,BND_ROOT_DOUGH_H_02,BND_ROOT_DOUGH_H_02__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_02,NONE,389544adc4878aee396cf850aa39368c69840392c5eb49c215d6c4447a8dd6b4
SOCKET_BND_ROOT_DOUGH_H_02__B_TO_A,BND_ROOT_DOUGH_H_02,BND_ROOT_DOUGH_H_02__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_02,NONE,19aaefec793b5b2fa69afd0a3e5d2b87f332355ee382e8d33ed89e23818f91aa
SOCKET_BND_ROOT_DOUGH_H_03__A_TO_B,BND_ROOT_DOUGH_H_03,BND_ROOT_DOUGH_H_03__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_03,NONE,3d0f28777d38d1c0630c3e9caba14c7df5d5b61fd1b6e40587a75a50491fadeb
SOCKET_BND_ROOT_DOUGH_H_03__B_TO_A,BND_ROOT_DOUGH_H_03,BND_ROOT_DOUGH_H_03__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_03,NONE,ff7cbe70b1b83adb95858036ebea85fa3ebf95d0f2a65cf741f09482e7227e7e
SOCKET_BND_ROOT_DOUGH_H_04__A_TO_B,BND_ROOT_DOUGH_H_04,BND_ROOT_DOUGH_H_04__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_04,NONE,db07dcb6dac4ebc4793fe607a1a0b5d021393870983c69a3ae9b08f0a5385333
SOCKET_BND_ROOT_DOUGH_H_04__B_TO_A,BND_ROOT_DOUGH_H_04,BND_ROOT_DOUGH_H_04__B_TO_A,B_TO_A,Right,Left,EDGE_H_MID_WALK,ROUTE_BND_ROOT_DOUGH_H_04,NONE,d68222f7a46b7802f54cadf3ce1e719bd659be8679df93367e657181c1415cc6
SOCKET_BND_ROOT_DOUGH_V_01__A_TO_B,BND_ROOT_DOUGH_V_01,BND_ROOT_DOUGH_V_01__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_01,NONE,73d9f7ac6660f71854dbc3b77ca0db0bdc03d9a8a5a9ad3e84d606a3fcbb702b
SOCKET_BND_ROOT_DOUGH_V_01__B_TO_A,BND_ROOT_DOUGH_V_01,BND_ROOT_DOUGH_V_01__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_01,NONE,9c6c95acb43e9ccc324657659556dbff5efe414a3314f181c5fe120464e4a0b2
SOCKET_BND_ROOT_DOUGH_V_02__A_TO_B,BND_ROOT_DOUGH_V_02,BND_ROOT_DOUGH_V_02__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_02,NONE,b8a0d922f41d9768f25eb712801f8b33f5fc816b4a4c4cf15fa7d29ff8fe19f3
SOCKET_BND_ROOT_DOUGH_V_02__B_TO_A,BND_ROOT_DOUGH_V_02,BND_ROOT_DOUGH_V_02__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_02,NONE,da796a0ef05e3dfa089970632c842e1c516945bf48862de0afb0386223574e46
SOCKET_BND_ROOT_DOUGH_V_03__A_TO_B,BND_ROOT_DOUGH_V_03,BND_ROOT_DOUGH_V_03__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_03,NONE,a677e50368ab9af4770932518756f2b0a28f24b44f92db74b97de6575c7b3aae
SOCKET_BND_ROOT_DOUGH_V_03__B_TO_A,BND_ROOT_DOUGH_V_03,BND_ROOT_DOUGH_V_03__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_03,NONE,814ec76a74e94bb7addb7dd104635bb0e977ec286b0cd3517c3d714dc2b2544f
SOCKET_BND_ROOT_DOUGH_V_04__A_TO_B,BND_ROOT_DOUGH_V_04,BND_ROOT_DOUGH_V_04__A_TO_B,A_TO_B,Down,Up,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_04,NONE,2b5fbf8177ed48c112caaac5c38e138b7aa513c2f48fe9248a8ed17371102d1c
SOCKET_BND_ROOT_DOUGH_V_04__B_TO_A,BND_ROOT_DOUGH_V_04,BND_ROOT_DOUGH_V_04__B_TO_A,B_TO_A,Up,Down,EDGE_V_CENTER_CLIMB,ROUTE_BND_ROOT_DOUGH_V_04,NONE,21ff1ac8d6a0c9e48b9e7316e0dbfd980fc4d7d724f0aabb07c7e45df2fad000
SOCKET_BND_ROOT_MILL_H_01__A_TO_B,BND_ROOT_MILL_H_01,BND_ROOT_MILL_H_01__A_TO_B,A_TO_B,Left,Right,EDGE_H_MID_WALK,ROUTE_BND_ROOT_MILL_H_01,NONE,f06cde849cb0d0e1e67ea44f322f18e994898bea88d76432491209751c52f40b
