recipe_id,x,y,collision,source_owner_id,source,support_kind
JUMP012_MIXED_MX,21,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,22,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,22,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,22,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_MX,23,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_MX,23,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_MX,23,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,0,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,0,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,0,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,1,0,SOLID,JS00_ENTRY_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,1,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,1,8,TOP_ONLY,JS07_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,2,1,SOLID,JS00_ENTRY_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,3,7,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,3,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,3,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,4,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,4,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,4,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,4,8,SOLID,JS08_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,4,9,SOLID,JS08_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,5,5,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,5,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,5,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,6,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,6,6,SOLID,JS06_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,6,7,SOLID,JS06_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,7,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,7,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,8,2,TOP_ONLY,JS01_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,8,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,9,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,9,10,TOP_ONLY,JS09_EXIT_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,10,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,11,6,TOP_ONLY,JS05_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,12,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,12,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,13,1,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,13,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,13,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,14,2,SOLID,JS02_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,14,3,SOLID,JS02_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,14,4,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,14,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,14,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,15,5,SOLID,JS04_SOLID,OUTLINE_BACKING,SOLID
JUMP012_MIXED_R0,15,6,SOLID,JS04_SOLID,BASE_SUPPORT,SOLID
JUMP012_MIXED_R0,18,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,19,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
JUMP012_MIXED_R0,20,4,TOP_ONLY,JS03_ONE_WAY,BASE_SUPPORT,ONE_WAY
