x,y,cell
21,25,A
22,25,A
23,25,A
0,26,S
1,26,S
2,26,A
3,26,A
4,26,A
5,26,A
6,26,A
7,26,A
8,26,A
9,26,A
10,26,A
11,26,A
12,26,A
13,26,A
14,26,A
15,26,A
16,26,A
17,26,A
18,26,A
19,26,A
20,26,A
21,26,A
22,26,A
23,26,A
0,27,S
1,27,S
2,27,A
3,27,A
4,27,A
5,27,A
6,27,A
7,27,A
8,27,A
9,27,A
10,27,A
11,27,A
12,27,A
13,27,A
14,27,A
15,27,A
16,27,A
17,27,A
18,27,A
19,27,A
20,27,A
21,27,A
22,27,S
23,27,S
0,28,S
1,28,S
2,28,A
3,28,A
4,28,A
5,28,A
6,28,A
7,28,A
8,28,A
9,28,A
10,28,A
11,28,A
12,28,A
13,28,A
14,28,A
15,28,A
16,28,A
17,28,A
18,28,A
19,28,A
20,28,A
21,28,A
22,28,S
23,28,S
0,29,S
1,29,S
2,29,A
3,29,A
4,29,A
5,29,A
6,29,A
7,29,A
8,29,A
9,29,A
10,29,A
11,29,A
12,29,A
13,29,A
14,29,A
15,29,A
16,29,A
17,29,A
18,29,A
19,29,A
20,29,A
21,29,A
22,29,S
23,29,S
0,30,S
1,30,S
2,30,S
3,30,S
4,30,S
5,30,S
6,30,S
7,30,S
8,30,S
9,30,S
10,30,S
11,30,S
12,30,S
13,30,S
14,30,S
15,30,S
16,30,S
17,30,S
18,30,S
19,30,S
20,30,S
21,30,S
22,30,S
23,30,S
0,31,S
1,31,S
2,31,S
3,31,S
4,31,O
5,31,A
6,31,O
7,31,A
8,31,A
9,31,A
10,31,A
11,31,S
12,31,S
13,31,S
14,31,S
15,31,S
16,31,S
17,31,S
18,31,S
19,31,S
20,31,S
21,31,S
22,31,S
23,31,S
