window_x,window_y,before_known,after_known,reserved,new_owned,pending_cells,new_rooms,leaf_rooms,static_failures,plan_digest
"12","1","0","480","0","480","1056","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","2","0","688","0","688","848","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","2","0","1013","0","1013","523","5","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","2","0","834","185","765","702","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","2","0","708","388","574","828","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","2","0","434","173","400","1102","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","2","0","0","128","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","2","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","2","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","2","0","144","32","144","1392","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","2","0","528","0","528","1008","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","2","0","627","0","627","909","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","2","0","741","96","733","795","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","2","0","591","0","591","945","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","3","0","336","0","336","1200","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","3","0","698","0","698","838","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","3","0","444","96","440","1092","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","3","0","826","71","824","710","3","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","3","0","474","387","280","1062","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","3","0","0","160","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","3","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","3","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","3","0","256","32","256","1280","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","3","0","512","0","512","1024","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","3","40","597","40","557","939","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","3","0","738","96","731","798","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","3","0","891","0","891","645","4","3","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","4","0","848","0","848","688","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","4","0","854","0","854","682","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","4","0","893","96","884","643","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","4","0","560","0","560","976","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","4","0","512","0","512","1024","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","4","0","0","128","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","4","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","4","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","4","16","16","80","0","1520","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","4","240","240","336","0","1296","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","4","305","305","474","0","1231","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","4","5","514","293","504","1022","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","4","0","166","0","166","1370","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","5","0","634","0","634","902","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","5","0","609","0","609","927","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","5","0","716","96","709","820","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","5","0","775","0","775","761","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","5","0","500","0","500","1036","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","5","222","270","343","48","1266","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","5","100","100","328","0","1436","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","5","48","48","243","0","1488","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","5","31","31","125","0","1505","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","5","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","5","0","0","96","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","5","0","436","224","432","1100","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","5","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","6","0","902","0","902","634","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","6","0","879","0","879","657","4","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","6","0","871","114","775","665","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","6","0","731","149","724","805","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","6","0","988","0","988","548","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","6","0","96","64","96","1440","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","6","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","6","0","0","96","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","6","0","0","32","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","6","0","0","0","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","6","0","0","96","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","6","0","282","226","280","1254","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","6","0","0","615","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","7","0","474","15","473","1062","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","7","0","112","768","112","1424","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","7","0","336","294","336","1200","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","7","0","250","709","248","1286","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","7","0","454","487","453","1082","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","7","0","22","64","22","1514","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","7","0","406","0","406","1130","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","7","0","236","96","236","1300","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","7","0","320","32","320","1216","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","7","0","28","0","28","1508","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","7","0","0","96","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","7","0","0","128","0","1536","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","7","0","692","240","688","844","3","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","8","0","826","47","824","710","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","8","0","104","1055","102","1432","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","8","0","314","688","312","1222","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","8","0","216","783","213","1320","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","8","0","97","728","97","1439","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","8","0","59","218","53","1477","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","8","0","154","144","154","1382","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","8","0","115","266","112","1421","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","8","0","256","220","256","1280","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","8","0","231","826","227","1305","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","8","392","474","748","80","1062","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","8","0","268","216","265","1268","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","8","0","542","147","537","994","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","9","0","849","0","849","687","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","9","0","534","352","528","1002","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","9","0","560","224","560","976","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","9","0","464","256","464","1072","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","9","0","559","224","559","977","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","9","0","18","128","16","1518","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","9","0","544","0","544","992","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","9","208","375","662","159","1161","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","9","47","281","547","234","1255","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","9","48","48","539","0","1488","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","9","47","47","320","0","1489","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","9","500","503","854","3","1033","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","9","0","423","215","419","1113","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","10","0","703","0","703","833","3","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","10","0","508","96","504","1028","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","10","0","602","0","602","934","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","10","0","961","0","961","575","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","10","0","769","0","769","767","3","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","10","42","355","244","307","1181","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","10","48","736","144","688","800","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","10","24","500","320","471","1036","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","10","236","509","518","273","1027","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","10","96","175","486","79","1361","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","10","95","95","535","0","1441","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","10","124","220","720","96","1316","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","10","288","419","569","130","1117","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","11","0","992","0","992","544","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","11","0","614","161","608","922","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","11","0","902","0","902","634","4","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","11","0","1007","0","1007","529","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","11","0","944","0","944","592","3","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","11","0","691","96","685","845","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","11","0","896","0","896","640","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","11","0","839","181","834","697","4","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","11","0","694","196","689","842","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","11","0","488","0","488","1048","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","11","0","948","13","944","588","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","11","0","48","755","48","1488","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","11","0","159","119","158","1377","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"0","12","0","328","171","326","1208","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"1","12","0","106","906","104","1430","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"2","12","0","528","96","528","1008","2","2","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"3","12","0","640","96","640","896","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"4","12","0","560","96","560","976","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"5","12","0","234","748","232","1302","1","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"6","12","0","480","0","480","1056","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"7","12","0","506","13","504","1030","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"8","12","0","39","935","36","1497","0","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"9","12","0","697","0","697","839","3","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"10","12","0","576","0","576","960","2","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"11","12","0","544","0","544","992","1","0","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
"12","12","0","480","0","480","1056","2","1","0","06d95903a803eda03751fbbb3bd47d50da79388f740e7ca6ae8b22832795f5ea"
