seed_id,seed_value,derivation_version,source_handoff_digest,derivation_material,content_hash,locked,canonical_digest
MP_QA_11,380450865,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|10,c3f8a65b05513425981e8eb7806cd472746d0f879dba40424cf4370c7e165ce5,true,ff7868ad54f60b017182046f1fccf213b941c72e39afc2038cce1f24621d19e7
MP_QA_12,1757128282,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|11,9a4b00cb669e3f5b7c29d224141e5452c0f2ebf575f521f4f7a0d96a6de45d60,true,00e2f70f19ba5b0a807353307d7979613030b7dce637e8e53245eea08333ca42
MP_QA_13,1913123366,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|12,5ffc7a77b312455a888bdd8718869f1bd9c9c81a059a45923c7d49036030470a,true,7eab55b77045f6a71cd8f759fbc60ba899238c544998b77ad30b2122d38c2c96
MP_QA_14,1660925428,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|13,a60709740fc2350af3f9ac021b86baf034b682dca0c66e2cb6a4fc609c78a4a1,true,dd782fcfd2948772ee5ec1cc017298ee2bc043a1a10ac4c66a20dce988fbeeab
MP_QA_15,2082689511,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|14,c600d59c0dec321ab7dcde338fa1245590efe1d13ec5e35867d607425ae4068d,true,b387c5f0d9307ec0634b61102cac07464b896571c635dd0026d01bf0d812c516
MP_QA_16,2123183810,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|15,7c44cff554f7630025452044b09210dc1db5e829112f54bbef7c25d4064661d7,true,8c1dbf4be45788390089c85ac583f784ab0da0715eacc2444d58215efddd96ae
MP_QA_17,2076488598,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|16,b8794bedda221acc2fd781bfae1aacbc22716e5de8d369f724455438f8cc85c6,true,bd9b03417a4e672c0ae35c7d3998619f74ed0f0db87546542fcb62ebe18b1416
MP_QA_18,222861178,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|17,9aaa8b6cd70f4c6671b70a6aab837eb1116af20fe0927132a074e8295dd63650,true,2c978ff97ecaa7493b97125e2dfa1c11bcec8c95aec92aaf683f80b0b934e9fd
MP_QA_19,1013514900,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|18,1e640d70690f701fdd7a3be35a8c6be9266b71e43db9941bd299639abb5792af,true,c039e1df9355201bd2ce63df413360bfc1b9cc6b9b498dc3a89983c5f6d37fd7
MP_QA_20,964092742,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|19,a6c7bd17bb63babc0cd0110922f9e108fc79c8ef8c276bd2ad97468e50ee7a87,true,a861880f770c76349bdad4abe39806663799bc707a86f8b2841c58efdb7a2a8c
MP_QA_21,1839314896,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|20,d25ed985107c93504501b0fea4c62c7fad2c1aa8017ba2a756f674cd59cd26d2,true,ca154a2e521a87ba9a1cdb56f2f648f58c9112e7e96dee3b42d3ada72d2f124b
MP_QA_22,434218138,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|21,7197f836cba4c5ee2e1b2d02eedbb2880b1d079756eca56970f6d81ec224d760,true,5cd44fd7f239eeb0210bff4047f9346fc73c3c4b8e596588e9b42a4366a612d8
MP_QA_23,621327962,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|22,e2b5512c8bff4f7e2e921d9f0723d25d0e83b37683505947ad7bc538cf101b87,true,4b8b1390b9fa891fa5c2c80f79ce0ceab96f5a3dbb87fc11bed56750e1615abf
MP_QA_24,1151743105,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|23,5ed7b98353baf4c38e3e1638dce13a4aa0c470d5f2a749bc3c1eba9f23782116,true,b35f0b04b5bfc059ab27f144b1389e413cda5f123a2059c6476fca1bca79088a
MP_QA_25,30728136,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|24,5b878f031c2b81697ba7ca31f1778510db1b67b6ad62490f5f21b281fb2adcd8,true,d19e091ef3010b6cb4e586ded8ace639af8860d2bcbd1627919007d05e542d3f
MP_QA_26,636174302,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|25,88f4f895e23c41ffacd74a2e4fe710a536025fdffe21a5052da4a86150d03496,true,ca20062d16554a1f63d3d93fe6eeeaee51189b998fae3219abf9425ab30918fa
MP_QA_27,1200663868,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|26,bf6a76716799c9a10b6fea5c70549b44288ba6df91e555fd09de52ed939d0d3e,true,4c670c60048592cd942fc8f552122e388bf5091aef99927418e67a765f29bf70
MP_QA_28,512848102,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|27,176c5371c7161997662a5328dbb15a5461e1b5ff2695a95cf91cbf727a5ebec1,true,ca8734536c3b27be52c179bc3743ddaac8e268d9fe89a40d4cbd3521eff41964
MP_QA_29,1420300145,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|28,13289b038d47ba9cd84325e4396a2ab5f32b9d0f56b09eac114bc6f4655368be,true,c999b56e5c816a65c3d627d764dfcd876e0739a65c4e5d3dba21cf3771018ad6
MP_QA_30,2145260252,MAP21_11_QA_SEED_V1,cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646,MAP21_11_QA_SEED_V1|cc85dc9b3cee0d47da517f6eb77546e345c341db2bd5409510804305d01c1646|29,afab6719a099c28d485800b122579bacd0846e52c061f8050c8eb9d4de6ea193,true,56f0923558a2fb1b6df3aabf62e81959d52b77a939fac409c9901452bcd10891
