seed_id,seed_value,content_hash,completion_pass,mandatory_checkpoint_count,completion_route_digest,village_required,merchant_required,maru_required,canonical_digest
MP_QA_11,380450865,c3f8a65b05513425981e8eb7806cd472746d0f879dba40424cf4370c7e165ce5,true,10,fc00f4a79499e54e1cb676c9a555a9b509b7b472ef339ba21fd05fb27b39e83b,false,false,false,f77fa5e3a488c552f42c6cf97bdf61acb537b375c3fc2520e77657cdbce56439
MP_QA_12,1757128282,9a4b00cb669e3f5b7c29d224141e5452c0f2ebf575f521f4f7a0d96a6de45d60,true,10,cbaf282c5a191a3ad2aa4a27ed19aa561f1e2572017788b6d773cf33f001af74,false,false,false,d1128190903cd8d3d8e7d1174f6c43c104fb77ec4dbac0fa9cc7186c58718a11
MP_QA_13,1913123366,5ffc7a77b312455a888bdd8718869f1bd9c9c81a059a45923c7d49036030470a,true,10,5ec1aa4b8807896324e9645c76bbc4482a97e30c838e1e341abab3de5de5da52,false,false,false,ccefcb69ef803fe7064ea3dc1b3e6db29c3ff02d53de9b354d4ef130ccea3f28
MP_QA_14,1660925428,a60709740fc2350af3f9ac021b86baf034b682dca0c66e2cb6a4fc609c78a4a1,true,10,6fdc162267cbd3bf6afb82067f2bde415abf0a032c4b30e1614c0fa72ff30d01,false,false,false,9efb3776ab2f75c1c23940d3980b48f0b638be495a100d4e2075071398e2b3e3
MP_QA_15,2082689511,c600d59c0dec321ab7dcde338fa1245590efe1d13ec5e35867d607425ae4068d,true,10,4d21302509c434cf079a886ed8019b07ab7fe3ac2e450b1d08e3bd9fd829ef5e,false,false,false,0df3791b185a7c29ccb535ef76c1a5212ca1fe064a8d03d839f12673eb7eb47c
MP_QA_16,2123183810,7c44cff554f7630025452044b09210dc1db5e829112f54bbef7c25d4064661d7,true,10,5b43ab9e614abfe8a7d3bdffa731194510036c9f2abfcb17d7019c1f7c3e537c,false,false,false,0d88c7b6dc98fb63efdbd073d4a17581c0a67afcd640725db4ec69171ad315c5
MP_QA_17,2076488598,b8794bedda221acc2fd781bfae1aacbc22716e5de8d369f724455438f8cc85c6,true,10,322fdf26f3106a6c9615a72f853f9ad2c9cc7406883dcc90648af41e342c8d62,false,false,false,f0398780ccbde910785ddf21f13cf083601410bf9527e5471a005abdde9a36ac
MP_QA_18,222861178,9aaa8b6cd70f4c6671b70a6aab837eb1116af20fe0927132a074e8295dd63650,true,10,6e8436f329674d815f72221f56cee60788552ff3697c2f0aea73e5985775538c,false,false,false,c71189bdfbfdecce7816e78fe183fe6f86e6061dd7cc504417a64f4db641c6f9
MP_QA_19,1013514900,1e640d70690f701fdd7a3be35a8c6be9266b71e43db9941bd299639abb5792af,true,10,9178433fc3387da6aa2a47c704fa48126a6edb8a78106c11aea15e9892fc16e7,false,false,false,26f3a0b565ea7c6fe0341515bbcbe96e05b614da2ad81601d3a24763ea1a16c3
MP_QA_20,964092742,a6c7bd17bb63babc0cd0110922f9e108fc79c8ef8c276bd2ad97468e50ee7a87,true,10,93972f766e19e0338c7baf91bcc41c3faaf0b6572757a188d9dc37e1d33b9fef,false,false,false,09183a304533a157afdd7a4470b9fadcd5118224ee13377fa53b1952b53d7ddd
MP_QA_21,1839314896,d25ed985107c93504501b0fea4c62c7fad2c1aa8017ba2a756f674cd59cd26d2,true,10,7c1c40ffcfa13aa5ee18f558f5d1f5a23c1ed1149ae31f1a45d6221ab44b286a,false,false,false,bc826b93fa9ee322e94fd3cc529053afa4f97bbc503c7d658136dd6cee18f6a8
MP_QA_22,434218138,7197f836cba4c5ee2e1b2d02eedbb2880b1d079756eca56970f6d81ec224d760,true,10,1c3506ab548e603c65fce740e12ad4ffb35cc825e6db57777067d778c5c3ff63,false,false,false,fcab7a68d9d7e5b513c1ecda1410eabc7ce16499ddba22303115fb0b03375d8b
MP_QA_23,621327962,e2b5512c8bff4f7e2e921d9f0723d25d0e83b37683505947ad7bc538cf101b87,true,10,235c4e813121b2f92110bb506aa43948edddd8b374d1f6dbdadbb454969f2a7b,false,false,false,1a2a87e064d6c3a9cabec3d160ca063e842932dc60deae60fd0df21277178195
MP_QA_24,1151743105,5ed7b98353baf4c38e3e1638dce13a4aa0c470d5f2a749bc3c1eba9f23782116,true,10,e93c8445db84ef264eff213edf119988e220bcf1b21b54e155b4bd4bf6f182d2,false,false,false,c6e51201840936430cafc916f59f29634037c39134f9541d488499aebd7bc5d7
MP_QA_25,30728136,5b878f031c2b81697ba7ca31f1778510db1b67b6ad62490f5f21b281fb2adcd8,true,10,4d9766745f1349ab8094bcfb83a3f2c4ef12cfeda92bb778e4b7a47d9225696e,false,false,false,57cd2ec74efb1ae7fc8f2dff1797bc0bd2e590e76306d2b4252f830ebbbaf1d0
MP_QA_26,636174302,88f4f895e23c41ffacd74a2e4fe710a536025fdffe21a5052da4a86150d03496,true,10,effc73c0a205761ad2df3977905f6bb7c7ab039c85355c4606b81c0bb189aa41,false,false,false,0d4b78c7ccc2c4eeb6eaef9bac8c4310e33e6bc80adb16f52d6e08cc14122043
MP_QA_27,1200663868,bf6a76716799c9a10b6fea5c70549b44288ba6df91e555fd09de52ed939d0d3e,true,10,ebb3cd5da161a9f0a28cf6f27a79c24bec5b0ac6aa715154a4b5c3c62cd56ab0,false,false,false,def6ccbd396b2908f3451037cb537d314a5a4d1531b110da2728495784380c2a
MP_QA_28,512848102,176c5371c7161997662a5328dbb15a5461e1b5ff2695a95cf91cbf727a5ebec1,true,10,cf23ae9483549dea3dd178465e9df172d31d36fad78e220c605c6ba63e57eb49,false,false,false,86a263e247239d3da4fd329b2731efa20dc7d883f629045811d3f72e2b3a9e89
MP_QA_29,1420300145,13289b038d47ba9cd84325e4396a2ab5f32b9d0f56b09eac114bc6f4655368be,true,10,61a25de43b169c7dcab82e22a917f74d5db6b3dc4ae38cc1be11254605d0a5b5,false,false,false,6dade864509a230d293acd9f1083302f767e41d14b0fedd25946eddc36d4777d
MP_QA_30,2145260252,afab6719a099c28d485800b122579bacd0846e52c061f8050c8eb9d4de6ea193,true,10,f9603ccb9b5ad01ed4a6f2447ce208283885632a2f86c3126f1c47ad5b87ac8f,false,false,false,a5af7d637b2baf428cfd7f2017d44e2754b2a8125ede650a6f2da82b69571327
