CandidateId,EdgeOpenCellSet,StandableSpans,LaunchCells,LandingCells,GrabCorners,FallColumns,ClimbOverlayCells,SolidAirOneWay,AirComponents,SymmetricTransforms,ContextRequired
"RMAP07_29E3E69359AF","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/2,0=Air/3,0=Air","1-1@0 headroom=3?;3-3@1 headroom=2?","1,1;3,2","1,1;3,2","1,0;3,1","0;2","0,0;2,0;3,0;0,1;1,1;2,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;2,0;3,0;0,1;1,1;2,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_2CFD0D58C833","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,2=Air/3,3=Air;Up:2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air","2-2@0 headroom=1;3-3@1 headroom=2?;2-2@2 headroom=1?;0-1@3 headroom=0?","2,1;3,2;2,3","2,1;3,2;2,3","2,0;3,1;2,2;0,3;1,3","","0,0;1,0;0,1;1,1;2,1;0,2;3,2;2,3;3,3","7/9/0","0,0;1,0;0,1;1,1;2,1;0,2;3,2;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_2F23C3C10EA1","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air","1-1@0 headroom=3?;3-3@0 headroom=3?;2-2@1 headroom=2?","1,1;3,1;2,2","1,1;3,1;2,2","1,0;3,0;2,1","0","0,0;0,1;1,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","4/12/0","0,0;0,1;1,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_320A7626ED6B","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","1-1@1 headroom=2?;2-2@2 headroom=1?","1,2;2,3","1,2;2,3","","0;3","0,0;1,0;2,0;3,0;0,1;2,1;3,1;0,2;1,2;3,2;0,3;1,3;2,3;3,3","0/14/2","0,0;1,0;2,0;3,0;0,1;2,1;3,1;0,2;1,2;3,2;0,3;1,3;2,3;3,3","R0;R180","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_33DA78CFFC2B","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air;Up:0,3=Air/1,3=Air/2,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","3-3@3 headroom=0?","","","3,3","0;1;2","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;0,3;1,3;2,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;0,3;1,3;2,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_348D65F87C81","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=OneWayPlatform/2,0=OneWayPlatform/3,0=Air","1-2@0 headroom=3?","1,1;2,1","1,1;2,1","","0;3","0,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","0/14/2","0,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0;MirrorX","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_383820A9B74A","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","2-3@1 headroom=2?","2,2;3,2","2,2;3,2","2,1;3,1","0;1","0,0;1,0;2,0;3,0;0,1;1,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_3B5442059382","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","2-2@1 headroom=2?;1-1@2 headroom=1?","2,2;1,3","2,2;1,3","","0;3","0,0;1,0;2,0;3,0;0,1;1,1;3,1;0,2;2,2;3,2;0,3;1,3;2,3;3,3","0/14/2","0,0;1,0;2,0;3,0;0,1;1,1;3,1;0,2;2,2;3,2;0,3;1,3;2,3;3,3","R0;R180","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_42843FC69DA9","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air;Up:0,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","1-3@3 headroom=0?","","","1,3;3,3","0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;3,2;0,3","4/12/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;3,2;0,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_43484FA21CDD","Left:0,0=Air/0,1=Air/0,2=Air;Right:;Up:;Down:0,0=Air/1,0=Air/2,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;0,1;1,1;0,2","10/6/0","0,0;1,0;2,0;0,1;1,1;0,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_47E93B2F5E41","Left:0,0=Air/0,1=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air","3-3@0 headroom=3?;1-2@1 headroom=1;0-1@3 headroom=0?","3,1;1,2;2,2","3,1;1,2;2,2","3,0;1,1;2,1;0,3;1,3","","0,0;1,0;0,1;3,1;1,2;2,2;3,2;2,3;3,3","7/9/0","0,0;1,0;0,1;3,1;1,2;2,2;3,2;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_4CDE75B5AA5B","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,0=Air/3,1=Air/3,2=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;2,2;3,2","5/11/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;2,2;3,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_4DD6D5BB9D7D","Left:;Right:3,1=Air/3,2=Air/3,3=Air;Up:1,3=Air/2,3=Air/3,3=Air;Down:","3-3@0 headroom=3?;2-2@1 headroom=2?;1-1@2 headroom=1?;0-0@3 headroom=0?","3,1;2,2;1,3","3,1;2,2;1,3","3,0;2,1;1,2;0,3","","3,1;2,2;3,2;1,3;2,3;3,3","10/6/0","3,1;2,2;3,2;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_54B83B76755C","Left:0,0=Air/0,1=Air;Right:3,0=Air/3,1=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;2,2","7/9/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;2,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_56FB16683040","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,0=Air/3,1=Air/3,2=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2","4/12/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2","R0;MirrorX","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_636CA9B9F841","Left:;Right:3,0=Air/3,1=Air/3,2=Air;Up:;Down:1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","1,0;2,0;3,0;2,1;3,1;3,2","10/6/0","1,0;2,0;3,0;2,1;3,1;3,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_65D391A441A9","Left:0,0=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-1@1 headroom=2?","0,2;1,2","0,2;1,2","0,1;1,1","2;3","0,0;1,0;2,0;3,0;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_6B2FBAEF9D6E","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:;Up:0,3=Air/1,3=Air/2,3=Air;Down:0,0=Air/1,0=Air/2,0=Air","2-2@1 headroom=2?;3-3@3 headroom=0?","2,2","2,2","2,1;3,3","0;1","0,0;1,0;2,0;0,1;1,1;0,2;1,2;2,2;0,3;1,3;2,3","5/11/0","0,0;1,0;2,0;0,1;1,1;0,2;1,2;2,2;0,3;1,3;2,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_6F5D1DF424AA","Left:0,1=Air/0,2=Air/0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","0-3@0 headroom=3?","0,1;1,1;2,1;3,1","0,1;1,1;2,1;3,1","0,0;3,0","","0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","4/12/0","0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0;MirrorX","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_7566868B5E69","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=OneWayPlatform/2,3=OneWayPlatform/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","1-2@3 headroom=0?","","","","0;3","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;3,3","0/14/2","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;3,3","R0;MirrorX","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_79BE181EF233","Left:0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","2-3@0 headroom=3?;1-1@1 headroom=2?;0-0@2 headroom=1?","2,1;3,1;1,2;0,3","2,1;3,1;1,2;0,3","3,0;1,1;0,2","","2,1;3,1;1,2;2,2;3,2;0,3;1,3;2,3;3,3","7/9/0","2,1;3,1;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_7B01ADE7ECF7","Left:0,0=Air/0,1=Air/0,2=Air;Right:3,0=Air/3,1=Air/3,2=Air;Up:;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-3@3 headroom=0?","","","0,3;3,3","","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;3,2","5/11/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;0,2;1,2;3,2","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN"
"RMAP07_822BA4E06903","Left:;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:1,3=Air/2,3=Air/3,3=Air;Down:1,0=Air/2,0=Air/3,0=Air","1-1@2 headroom=1?;0-0@3 headroom=0?","1,3","1,3","1,2;0,3","2;3","1,0;2,0;3,0;1,1;2,1;3,1;2,2;3,2;1,3;2,3;3,3","5/11/0","1,0;2,0;3,0;1,1;2,1;3,1;2,2;3,2;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_87129E67AB3F","Left:0,1=Air/0,2=Air/0,3=Air;Right:3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:","0-1@0 headroom=3?;3-3@0 headroom=3?;2-2@1 headroom=2?","0,1;1,1;3,1;2,2","0,1;1,1;3,1;2,2","0,0;3,0;2,1","","0,1;1,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","5/11/0","0,1;1,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_87138F3D0B1B","Left:0,0=Air/0,1=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","0-1@2 headroom=1?","0,3;1,3","0,3;1,3","0,2;1,2","2;3","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;2,1;3,1;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_8A1BF4189067","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air/3,0=Air","2-2@2 headroom=1?","2,3","2,3","2,2","0;1;3","0,0;1,0;2,0;3,0;0,1;1,1;3,1;0,2;1,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;3,0;0,1;1,1;3,1;0,2;1,2;3,2;0,3;1,3;2,3;3,3","R0;MirrorY","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_8B83971CF6C7","Left:0,2=Air/0,3=Air;Right:3,0=Air/3,1=Air/3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:1,0=Air/2,0=Air/3,0=Air","0-0@1 headroom=2?","0,2","0,2","0,1","1;2;3","1,0;2,0;3,0;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","1,0;2,0;3,0;1,1;2,1;3,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_9150F779FA44","Left:0,0=Air/0,1=Air/0,2=Air/0,3=Air;Right:3,2=Air/3,3=Air;Up:0,3=Air/1,3=Air/2,3=Air/3,3=Air;Down:0,0=Air/1,0=Air/2,0=Air","3-3@1 headroom=2?","3,2","3,2","3,1","0;1;2","0,0;1,0;2,0;0,1;1,1;2,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","2/14/0","0,0;1,0;2,0;0,1;1,1;2,1;0,2;1,2;2,2;3,2;0,3;1,3;2,3;3,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
"RMAP07_95DB020014CC","Left:0,1=Air/0,2=Air/0,3=Air;Right:;Up:0,3=Air/1,3=Air/2,3=Air;Down:","0-0@0 headroom=3?;1-1@1 headroom=2?;2-2@2 headroom=1?;3-3@3 headroom=0?","0,1;1,2;2,3","0,1;1,2;2,3","0,0;1,1;2,2;3,3","","0,1;0,2;1,2;0,3;1,3;2,3","10/6/0","0,1;0,2;1,2;0,3;1,3;2,3","R0","EDGE_NEIGHBOR_PORT_CONTEXT_REQUIRED;HEADROOM_OUTSIDE_4X4_UNKNOWN;JUMP_ARC_AND_PLAYER_PROFILE_CONTEXT_REQUIRED"
