X,Y,BaseCell,Chunk
10,8,Air,C0_1
11,8,Air,C0_1
0,9,Air,C0_1
1,9,Air,C0_1
2,9,Air,C0_1
3,9,Air,C0_1
4,9,Air,C0_1
5,9,Air,C0_1
6,9,Air,C0_1
7,9,Air,C0_1
8,9,Air,C0_1
9,9,Air,C0_1
10,9,Air,C0_1
11,9,Air,C0_1
0,10,Air,C0_1
1,10,Air,C0_1
2,10,Air,C0_1
3,10,Air,C0_1
4,10,Air,C0_1
5,10,Air,C0_1
6,10,Air,C0_1
7,10,Air,C0_1
8,10,Air,C0_1
9,10,Air,C0_1
10,10,Air,C0_1
11,10,Air,C0_1
0,11,Air,C0_1
1,11,Air,C0_1
2,11,Air,C0_1
3,11,Air,C0_1
4,11,Air,C0_1
5,11,Air,C0_1
6,11,Air,C0_1
7,11,Air,C0_1
8,11,Air,C0_1
9,11,Air,C0_1
10,11,Air,C0_1
11,11,Air,C0_1
0,12,Air,C0_1
1,12,Air,C0_1
2,12,Air,C0_1
3,12,Air,C0_1
4,12,Air,C0_1
5,12,Air,C0_1
6,12,Air,C0_1
7,12,Air,C0_1
8,12,Air,C0_1
9,12,Air,C0_1
10,12,Air,C0_1
11,12,Air,C0_1
0,13,Air,C0_1
1,13,Air,C0_1
2,13,Air,C0_1
3,13,Air,C0_1
4,13,Air,C0_1
5,13,Air,C0_1
6,13,Air,C0_1
7,13,Air,C0_1
8,13,Air,C0_1
9,13,Solid,C0_1
10,13,Solid,C0_1
11,13,Air,C0_1
0,14,Air,C0_1
1,14,Solid,C0_1
2,14,Solid,C0_1
3,14,Air,C0_1
4,14,Air,C0_1
5,14,Air,C0_1
6,14,Air,C0_1
7,14,Air,C0_1
8,14,Air,C0_1
9,14,Air,C0_1
10,14,Air,C0_1
11,14,Air,C0_1
0,15,Air,C0_1
1,15,Air,C0_1
2,15,Air,C0_1
3,15,Air,C0_1
4,15,Air,C0_1
5,15,Air,C0_1
6,15,Air,C0_1
7,15,Air,C0_1
8,15,Air,C0_1
9,15,Air,C0_1
10,15,Air,C0_1
11,15,Air,C0_1
12,8,Solid,C1_1
13,8,Solid,C1_1
14,8,Solid,C1_1
15,8,Solid,C1_1
16,8,Solid,C1_1
17,8,Solid,C1_1
18,8,Solid,C1_1
19,8,Solid,C1_1
20,8,Solid,C1_1
21,8,Solid,C1_1
22,8,Solid,C1_1
23,8,Solid,C1_1
12,9,Air,C1_1
13,9,Air,C1_1
14,9,Air,C1_1
15,9,Air,C1_1
16,9,Air,C1_1
17,9,Air,C1_1
18,9,Air,C1_1
19,9,Air,C1_1
20,9,Air,C1_1
21,9,Air,C1_1
22,9,Air,C1_1
23,9,Air,C1_1
12,10,Air,C1_1
13,10,Air,C1_1
14,10,Air,C1_1
15,10,Air,C1_1
16,10,Air,C1_1
17,10,Air,C1_1
18,10,Air,C1_1
19,10,Air,C1_1
20,10,Air,C1_1
21,10,Air,C1_1
22,10,Air,C1_1
23,10,Air,C1_1
12,11,Air,C1_1
13,11,Air,C1_1
14,11,Air,C1_1
15,11,Air,C1_1
16,11,Air,C1_1
17,11,Air,C1_1
18,11,Air,C1_1
19,11,Air,C1_1
20,11,Air,C1_1
21,11,Air,C1_1
22,11,Air,C1_1
23,11,Air,C1_1
12,12,Air,C1_1
13,12,Air,C1_1
14,12,Air,C1_1
15,12,Air,C1_1
16,12,Air,C1_1
17,12,Air,C1_1
18,12,Air,C1_1
19,12,Air,C1_1
20,12,Air,C1_1
21,12,Air,C1_1
22,12,Air,C1_1
23,12,Solid,C1_1
12,13,Air,C1_1
13,13,Solid,C1_1
14,13,Air,C1_1
15,13,Air,C1_1
16,13,Air,C1_1
17,13,Air,C1_1
18,13,Air,C1_1
19,13,Air,C1_1
20,13,Solid,C1_1
21,13,Air,C1_1
22,13,Air,C1_1
23,13,Air,C1_1
12,14,Air,C1_1
13,14,Solid,C1_1
14,14,Air,C1_1
15,14,Air,C1_1
16,14,Air,C1_1
17,14,Air,C1_1
18,14,Air,C1_1
19,14,Solid,C1_1
20,14,Air,C1_1
21,14,Air,C1_1
22,14,Air,C1_1
23,14,Air,C1_1
12,15,Air,C1_1
13,15,Air,C1_1
14,15,Air,C1_1
15,15,Air,C1_1
16,15,Solid,C1_1
17,15,Air,C1_1
18,15,Air,C1_1
19,15,Air,C1_1
20,15,Air,C1_1
21,15,Air,C1_1
22,15,Air,C1_1
23,15,Air,C1_1
24,8,Air,C2_1
25,8,Air,C2_1
26,8,Air,C2_1
27,8,Air,C2_1
28,8,Air,C2_1
29,8,Air,C2_1
30,8,Air,C2_1
31,8,Air,C2_1
32,8,Air,C2_1
33,8,Air,C2_1
34,8,Air,C2_1
35,8,Air,C2_1
24,9,Air,C2_1
25,9,Air,C2_1
26,9,Air,C2_1
27,9,Air,C2_1
28,9,Air,C2_1
29,9,Air,C2_1
30,9,Air,C2_1
31,9,Air,C2_1
32,9,Air,C2_1
33,9,Air,C2_1
34,9,Air,C2_1
35,9,Air,C2_1
24,10,Air,C2_1
25,10,Air,C2_1
26,10,Air,C2_1
27,10,Air,C2_1
28,10,Air,C2_1
29,10,Air,C2_1
30,10,Air,C2_1
31,10,Air,C2_1
32,10,Air,C2_1
33,10,Air,C2_1
34,10,Air,C2_1
35,10,Air,C2_1
24,11,Air,C2_1
25,11,Air,C2_1
26,11,Air,C2_1
27,11,Air,C2_1
28,11,Air,C2_1
29,11,Air,C2_1
30,11,Air,C2_1
31,11,Air,C2_1
32,11,Air,C2_1
33,11,Air,C2_1
34,11,Air,C2_1
35,11,Air,C2_1
24,12,Air,C2_1
25,12,Air,C2_1
26,12,Air,C2_1
27,12,Air,C2_1
28,12,Air,C2_1
29,12,Air,C2_1
30,12,Air,C2_1
31,12,Air,C2_1
32,12,Air,C2_1
33,12,Air,C2_1
34,12,Air,C2_1
35,12,Air,C2_1
24,13,Air,C2_1
25,13,Air,C2_1
26,13,Air,C2_1
27,13,Air,C2_1
28,13,Air,C2_1
29,13,Air,C2_1
30,13,Air,C2_1
31,13,Air,C2_1
32,13,Air,C2_1
33,13,Air,C2_1
34,13,Air,C2_1
35,13,Air,C2_1
24,14,Air,C2_1
25,14,Air,C2_1
26,14,Air,C2_1
27,14,Air,C2_1
28,14,Air,C2_1
29,14,Air,C2_1
30,14,Air,C2_1
31,14,Air,C2_1
32,14,Air,C2_1
33,14,Air,C2_1
34,14,Air,C2_1
35,14,Air,C2_1
24,15,Air,C2_1
25,15,Air,C2_1
26,15,Air,C2_1
27,15,Air,C2_1
28,15,Air,C2_1
29,15,Air,C2_1
30,15,Air,C2_1
31,15,Air,C2_1
32,15,Air,C2_1
33,15,Air,C2_1
34,15,Air,C2_1
35,15,Air,C2_1
0,16,Solid,C0_2
1,16,Solid,C0_2
2,16,Solid,C0_2
3,16,Solid,C0_2
4,16,Solid,C0_2
5,16,Solid,C0_2
6,16,Solid,C0_2
7,16,Solid,C0_2
8,16,Solid,C0_2
9,16,Solid,C0_2
10,16,Solid,C0_2
11,16,Solid,C0_2
0,17,Air,C0_2
1,17,Air,C0_2
2,17,Air,C0_2
3,17,Air,C0_2
4,17,Air,C0_2
5,17,Air,C0_2
6,17,Air,C0_2
7,17,Air,C0_2
8,17,Air,C0_2
9,17,Air,C0_2
10,17,Air,C0_2
11,17,Air,C0_2
0,18,Air,C0_2
1,18,Air,C0_2
2,18,Air,C0_2
3,18,Air,C0_2
4,18,Air,C0_2
5,18,Air,C0_2
6,18,Air,C0_2
7,18,Air,C0_2
8,18,Air,C0_2
9,18,Air,C0_2
10,18,Air,C0_2
11,18,Solid,C0_2
0,19,Air,C0_2
1,19,Air,C0_2
2,19,Air,C0_2
3,19,Air,C0_2
4,19,Air,C0_2
5,19,Air,C0_2
6,19,Air,C0_2
7,19,Air,C0_2
8,19,Air,C0_2
9,19,Air,C0_2
10,19,Air,C0_2
11,19,Solid,C0_2
0,20,Air,C0_2
1,20,Air,C0_2
2,20,Air,C0_2
3,20,Air,C0_2
4,20,Air,C0_2
5,20,Air,C0_2
6,20,Air,C0_2
7,20,Air,C0_2
8,20,Air,C0_2
9,20,Air,C0_2
10,20,Air,C0_2
11,20,Air,C0_2
0,21,Air,C0_2
1,21,Air,C0_2
2,21,Air,C0_2
3,21,Air,C0_2
4,21,Air,C0_2
5,21,Air,C0_2
6,21,Air,C0_2
7,21,Air,C0_2
8,21,Air,C0_2
9,21,Air,C0_2
10,21,Air,C0_2
11,21,Air,C0_2
0,22,Air,C0_2
1,22,Air,C0_2
2,22,Air,C0_2
3,22,Air,C0_2
4,22,Air,C0_2
5,22,Air,C0_2
6,22,Air,C0_2
7,22,Air,C0_2
8,22,Air,C0_2
9,22,Air,C0_2
10,22,Air,C0_2
11,22,Air,C0_2
0,23,Air,C0_2
1,23,Air,C0_2
2,23,Air,C0_2
3,23,Air,C0_2
4,23,Air,C0_2
5,23,Air,C0_2
6,23,Air,C0_2
7,23,Air,C0_2
8,23,Air,C0_2
9,23,Air,C0_2
10,23,Air,C0_2
11,23,Air,C0_2
12,16,Solid,C1_2
13,16,Solid,C1_2
14,16,Solid,C1_2
15,16,Solid,C1_2
16,16,Solid,C1_2
17,16,Solid,C1_2
18,16,Solid,C1_2
19,16,Solid,C1_2
20,16,Solid,C1_2
21,16,Solid,C1_2
22,16,Solid,C1_2
23,16,Solid,C1_2
12,17,Air,C1_2
13,17,Air,C1_2
14,17,Air,C1_2
15,17,Air,C1_2
16,17,Air,C1_2
17,17,Air,C1_2
18,17,Air,C1_2
19,17,Air,C1_2
20,17,Air,C1_2
21,17,Air,C1_2
22,17,Air,C1_2
23,17,Air,C1_2
12,18,Air,C1_2
13,18,Air,C1_2
14,18,Air,C1_2
15,18,Air,C1_2
16,18,Air,C1_2
17,18,Air,C1_2
18,18,Air,C1_2
19,18,Air,C1_2
20,18,Air,C1_2
21,18,Air,C1_2
22,18,Air,C1_2
23,18,Air,C1_2
12,19,Air,C1_2
13,19,Air,C1_2
14,19,Air,C1_2
15,19,Air,C1_2
16,19,Air,C1_2
17,19,Air,C1_2
18,19,Air,C1_2
19,19,Air,C1_2
20,19,Air,C1_2
21,19,Air,C1_2
22,19,Air,C1_2
23,19,Air,C1_2
12,20,Air,C1_2
13,20,OneWayPlatform,C1_2
14,20,OneWayPlatform,C1_2
15,20,Air,C1_2
16,20,Air,C1_2
17,20,Air,C1_2
18,20,Air,C1_2
19,20,Air,C1_2
20,20,Air,C1_2
21,20,Air,C1_2
22,20,Air,C1_2
23,20,Air,C1_2
12,21,Air,C1_2
13,21,Air,C1_2
14,21,Air,C1_2
15,21,Air,C1_2
16,21,Air,C1_2
17,21,Air,C1_2
18,21,Air,C1_2
19,21,Air,C1_2
20,21,Air,C1_2
21,21,Solid,C1_2
22,21,Solid,C1_2
23,21,Air,C1_2
12,22,Air,C1_2
13,22,Air,C1_2
14,22,Air,C1_2
15,22,Air,C1_2
16,22,Air,C1_2
17,22,Air,C1_2
18,22,Air,C1_2
19,22,Air,C1_2
20,22,Air,C1_2
21,22,Air,C1_2
22,22,Air,C1_2
23,22,Air,C1_2
12,23,Air,C1_2
13,23,Air,C1_2
14,23,Air,C1_2
15,23,Air,C1_2
16,23,Air,C1_2
17,23,Air,C1_2
18,23,Air,C1_2
19,23,Air,C1_2
20,23,Air,C1_2
21,23,Air,C1_2
22,23,Air,C1_2
23,23,Air,C1_2
24,16,Solid,C2_2
25,16,Solid,C2_2
26,16,Solid,C2_2
27,16,Solid,C2_2
28,16,Solid,C2_2
29,16,Solid,C2_2
30,16,Solid,C2_2
31,16,Solid,C2_2
32,16,Solid,C2_2
33,16,Solid,C2_2
34,16,Solid,C2_2
35,16,Solid,C2_2
24,17,Air,C2_2
25,17,Air,C2_2
26,17,Air,C2_2
27,17,Air,C2_2
28,17,Air,C2_2
29,17,Air,C2_2
30,17,Air,C2_2
31,17,Air,C2_2
32,17,Air,C2_2
33,17,Air,C2_2
34,17,Air,C2_2
35,17,Air,C2_2
24,18,Air,C2_2
25,18,Air,C2_2
26,18,Air,C2_2
27,18,Air,C2_2
28,18,Air,C2_2
29,18,Air,C2_2
30,18,Air,C2_2
31,18,Air,C2_2
32,18,Air,C2_2
33,18,Air,C2_2
34,18,Air,C2_2
35,18,Air,C2_2
24,19,Air,C2_2
25,19,Air,C2_2
26,19,Air,C2_2
27,19,Air,C2_2
28,19,Air,C2_2
29,19,Air,C2_2
30,19,Air,C2_2
31,19,Air,C2_2
32,19,Air,C2_2
33,19,Air,C2_2
34,19,Air,C2_2
35,19,Air,C2_2
24,20,Air,C2_2
25,20,Air,C2_2
26,20,Air,C2_2
27,20,Air,C2_2
28,20,Air,C2_2
29,20,Air,C2_2
30,20,Air,C2_2
31,20,Air,C2_2
32,20,Air,C2_2
33,20,Air,C2_2
34,20,Air,C2_2
35,20,Air,C2_2
24,21,Air,C2_2
25,21,Air,C2_2
26,21,Solid,C2_2
27,21,Air,C2_2
28,21,Air,C2_2
29,21,Air,C2_2
30,21,Air,C2_2
31,21,Air,C2_2
32,21,Air,C2_2
33,21,Solid,C2_2
34,21,Air,C2_2
35,21,Air,C2_2
24,22,Air,C2_2
25,22,Solid,C2_2
26,22,Air,C2_2
27,22,Air,C2_2
28,22,Air,C2_2
29,22,Air,C2_2
30,22,Air,C2_2
31,22,Air,C2_2
32,22,Air,C2_2
33,22,Air,C2_2
34,22,Solid,C2_2
35,22,Air,C2_2
24,23,Air,C2_2
25,23,Air,C2_2
26,23,Air,C2_2
27,23,Air,C2_2
28,23,Air,C2_2
29,23,Air,C2_2
30,23,Air,C2_2
31,23,Air,C2_2
32,23,Air,C2_2
33,23,Air,C2_2
34,23,Air,C2_2
35,23,Air,C2_2
