ComparisonScope,SourceId,SourceMaskReference,FinalCandidateId,Decision
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0014","0x0014","RMAP07_BA09823B32F1","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0014","0x0014","RMAP07_BA09823B32F1","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0014","0x0014","RMAP07_29E3E69359AF","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0014","0x0014","RMAP07_286521366D7E","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0014","0x0014","RMAP07_9B12418EC848","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0018","0x0018","RMAP07_27786F255580","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0018","0x0018","RMAP07_27786F255580","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0018","0x0018","RMAP07_0A655882772A","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_001B","0x001B","RMAP11_041A70A53FB5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0021","0x0021","RMAP11_E7DFA906C0BB","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0022","0x0022","RMAP11_C138B99F3305","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0024","0x0024","RMAP11_1A3DAC029006","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0028","0x0028","RMAP11_EA1B9498E3D0","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0030","0x0030","RMAP07_65D391A441A9","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0041","0x0041","RMAP11_253DE1A10D94","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0042","0x0042","RMAP11_E3249F31D673","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0044","0x0044","RMAP11_C189F31FF115","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0046","0x0046","RMAP11_54D9535F2C9A","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0048","0x0048","RMAP11_0CC4F118283D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_004F","0x004F","RMAP07_87129E67AB3F","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0050","0x0050","RMAP11_77E485E9AA19","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0060","0x0060","RMAP11_ADE9F281FBF3","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0061","0x0061","RMAP11_C36CC5D767FC","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0064","0x0064","RMAP11_5DFF5B1B969D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_006F","0x006F","RMAP11_ABBCB5066017","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0070","0x0070","RMAP11_6CB811954CC2","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0081","0x0081","RMAP11_F9E772DB0338","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0082","0x0082","RMAP07_29E3E69359AF","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0088","0x0088","RMAP07_9150F779FA44","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0088","0x0088","RMAP07_9150F779FA44","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0088","0x0088","RMAP07_8B83971CF6C7","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0088","0x0088","RMAP07_33DA78CFFC2B","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0088","0x0088","RMAP07_A97A420107D6","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0090","0x0090","RMAP11_4ECAD891BD9D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00A0","0x00A0","RMAP11_409337B57969","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00C0","0x00C0","RMAP07_383820A9B74A","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00C0","0x00C0","RMAP07_383820A9B74A","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00C0","0x00C0","RMAP07_65D391A441A9","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00C0","0x00C0","RMAP07_87138F3D0B1B","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_00EF","0x00EF","RMAP11_9473254B6E5D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0102","0x0102","RMAP11_7DFF049FCC44","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0108","0x0108","RMAP11_6DC7FEDE4A71","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0110","0x0110","RMAP11_F00A8A4105A9","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0120","0x0120","RMAP11_8FD658AA88AB","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0180","0x0180","RMAP11_59AA1F585FB2","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0201","0x0201","RMAP11_E7345864DD29","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0202","0x0202","RMAP11_E89E8E452B69","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0203","0x0203","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0204","0x0204","RMAP11_C0C2FC8CDCF7","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0208","0x0208","RMAP11_E7C36CD78975","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0210","0x0210","RMAP11_55513D6CB77A","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0220","0x0220","RMAP07_26DF04E23AA9","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0229","0x0229","RMAP11_6AAB1CA33AA1","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_022A","0x022A","RMAP11_EB4ECFC8D8A8","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0240","0x0240","RMAP11_EAAEB09A6D65","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0273","0x0273","RMAP11_C318ED60933E","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0280","0x0280","RMAP11_F9BF275D046F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_028B","0x028B","RMAP11_310BC5FA97B9","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0300","0x0300","RMAP07_87138F3D0B1B","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_032E","0x032E","RMAP11_6B346E3BF16F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_037F","0x037F","RMAP11_D3E1E5E1784B","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0401","0x0401","RMAP11_75B8D048DD98","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0402","0x0402","RMAP11_9C1CAA1D3173","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0404","0x0404","RMAP11_8658014B7324","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0408","0x0408","RMAP11_167489D71161","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_040F","0x040F","RMAP11_854217BA344E","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0410","0x0410","RMAP11_138AE74D761B","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0420","0x0420","RMAP11_97D1F3B0115D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0421","0x0421","RMAP11_E93615ECCE33","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0422","0x0422","RMAP11_F20D3DF9552A","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0424","0x0424","RMAP11_9CE32AC65278","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0440","0x0440","RMAP07_8A1BF4189067","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0440","0x0440","RMAP07_8A1BF4189067","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0440","0x0440","RMAP07_26DF04E23AA9","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0440","0x0440","RMAP07_8A1BF4189067","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0440","0x0440","RMAP07_26DF04E23AA9","RETAINED_RMAP07_FIRST_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0448","0x0448","RMAP11_F5CCB4BA0F81","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_044C","0x044C","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_045D","0x045D","RMAP11_804FB558396D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_045F","0x045F","RMAP11_6BBAC74F32ED","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0471","0x0471","RMAP11_90F6372EEDB5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0480","0x0480","RMAP11_9F78F05499E5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0493","0x0493","RMAP11_0C2A8029160B","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_04C0","0x04C0","RMAP11_A1A1A960CB6B","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_04C1","0x04C1","RMAP11_753091A0F398","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0500","0x0500","RMAP11_9452FE7C2804","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0526","0x0526","RMAP11_DD817546EEF5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0540","0x0540","RMAP11_ECC0EA3E5B62","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0542","0x0542","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0579","0x0579","RMAP11_5E2ABAFF4671","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0600","0x0600","RMAP11_62A800CFE174","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0644","0x0644","RMAP11_FA505EB1BCA5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0648","0x0648","RMAP11_DC168ADA903C","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_06E3","0x06E3","RMAP11_D28E2A055FDD","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_07F3","0x07F3","RMAP11_83E5BC2E4D88","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0801","0x0801","RMAP11_E80322ED5BBE","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0802","0x0802","RMAP11_349A7C04360C","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0804","0x0804","RMAP11_49F5024BBF51","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0808","0x0808","RMAP11_6E4802E2F39F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0810","0x0810","RMAP11_598518A3ABA1","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0820","0x0820","RMAP11_B8713C35B4BB","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0833","0x0833","RMAP11_9BC0DDCB3B8F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0840","0x0840","RMAP11_C6BCA6F08F7F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0855","0x0855","RMAP11_3F89A25FDDF0","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0880","0x0880","RMAP11_D8E2F2259BD1","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0893","0x0893","RMAP11_ABD9F046FE9D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0990","0x0990","RMAP11_43AF5317A786","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0A00","0x0A00","RMAP11_BC78C2916D59","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0A2E","0x0A2E","RMAP11_0A01A0E1AB73","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0AA3","0x0AA3","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0AAE","0x0AAE","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0AB0","0x0AB0","RMAP11_11E4550E7EFA","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0AF1","0x0AF1","RMAP11_4081FE771097","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0B0F","0x0B0F","RMAP11_421E7F659C10","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0B88","0x0B88","RMAP11_869CD6DB7795","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0BE2","0x0BE2","RMAP11_D7B499733004","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0BFF","0x0BFF","RMAP11_2C0EF9CC1D7D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0C00","0x0C00","RMAP11_F046F5AF37CB","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0C19","0x0C19","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0C8D","0x0C8D","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0C9B","0x0C9B","RMAP11_171BBC6B3EE5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0C9D","0x0C9D","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0CC2","0x0CC2","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0CD8","0x0CD8","RMAP11_07BF4C2812DF","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0CE8","0x0CE8","RMAP11_A14AF5F1E030","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D01","0x0D01","RMAP11_C6FC8D5DF919","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D41","0x0D41","RMAP11_FFC8EFB7CAEC","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D43","0x0D43","RMAP11_0D9269962289","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D77","0x0D77","RMAP11_5978850B5DF8","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D80","0x0D80","RMAP11_4893083029EE","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0D83","0x0D83","RMAP11_12393C3A2754","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0E06","0x0E06","RMAP11_C61188D37444","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0E41","0x0E41","RMAP11_D912CC19FDC5","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0E8F","0x0E8F","RMAP11_05DC9EC7AA5F","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0EB3","0x0EB3","RMAP11_F7B32048E5D1","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0EC2","0x0EC2","RMAP11_F5CEFEC3AE0D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0ECE","0x0ECE","RMAP11_406552B64E43","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0F2A","0x0F2A","RMAP11_320BE3D1EAC3","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0F40","0x0F40","RMAP11_B4E6356AD63D","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_0FCF","0x0FCF","RMAP11_89F41EB663F6","RETAINED_FINAL_POOL"
"RUN06_VIS01_500_MASK_TO_RMAP11_FINAL_16_CELL","VIS01_MP_100B","0x100B","RMAP11_BBC946EA3A6C","RETAINED_FINAL_POOL"
