access_id,site_id,side,flow,required,condition,source_node_id,world_x,world_y
"RMAP15_SITE_EXIT_PORT_ENTRY","RMAP15_SITE_EXIT","Left","In","True","BOSS_COMPLETE","27c240714909ea80879f433650a042eb740f8b586e9b43a6376e2a188dba3c67","350","297"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","Left","In","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","503","133"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","Left","In","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","503","134"
"RMAP15_SITE_FORGE_PORT_ENTRY","RMAP15_SITE_FORGE","Left","In","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","503","135"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","Right","Out","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","522","133"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","Right","Out","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","522","134"
"RMAP15_SITE_FORGE_PORT_EXIT","RMAP15_SITE_FORGE","Right","Out","True","ALL_RESOURCES","25106024ba2b119900ae0ddd27b4ed5900cd904288ad09482650f35774c4eb1c","522","135"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","Left","In","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","245","30"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","Left","In","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","245","31"
"RMAP15_SITE_MOONCOREORE_PORT_ENTRY","RMAP15_SITE_MOONCOREORE","Left","In","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","245","32"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","Right","Out","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","264","30"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","Right","Out","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","264","31"
"RMAP15_SITE_MOONCOREORE_PORT_EXIT","RMAP15_SITE_MOONCOREORE","Right","Out","True","NONE","074b9996b4a439df4de40e48099d1df36afbea6dc71dfd35dbd88b2d72278db2","264","32"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","Left","In","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","533","311"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","Left","In","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","533","312"
"RMAP15_SITE_SEALBOSS_PORT_ENTRY","RMAP15_SITE_SEALBOSS","Left","In","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","533","313"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","Right","Out","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","560","311"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","Right","Out","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","560","312"
"RMAP15_SITE_SEALBOSS_PORT_EXIT","RMAP15_SITE_SEALBOSS","Right","Out","True","ALL_RESOURCES_AND_FORGE","3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105","560","313"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","Left","Both","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","416","340"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","Left","Both","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","416","341"
"RMAP15_SITE_START_PORT_ENTRY","RMAP15_SITE_START","Left","Both","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","416","342"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","Right","Out","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","431","340"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","Right","Out","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","431","341"
"RMAP15_SITE_START_PORT_EXIT","RMAP15_SITE_START","Right","Out","True","NONE","9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47","431","342"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","Left","In","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","492","277"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","Left","In","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","492","278"
"RMAP15_SITE_VILLAGE_PORT_ENTRY","RMAP15_SITE_VILLAGE","Left","In","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","492","279"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","Right","Out","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","515","277"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","Right","Out","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","515","278"
"RMAP15_SITE_VILLAGE_PORT_EXIT","RMAP15_SITE_VILLAGE","Right","Out","True","OPTIONAL_VILLAGE","VILLAGE_OPTIONAL","515","279"
