microchunk_id,display_name_ko,width_tiles,height_tiles,usage_class,biome_ids,route_roles,allowed_transforms,selection_weight,threat,cognitive,chain,tile_data_complete,prefab_id,active,notes
MC_BOUND_CRATER_ROOT_H_CLIFF_01,Crater-Root BOUND_CLIFF HORIZONTAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_06 authored boundary
MC_BOUND_CRATER_ROOT_V_CLIFF_01,Crater-Root BOUND_CLIFF VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_06 authored boundary
MC_BOUND_CRATER_ROOT_H_TUNNEL_01,Crater-Root BOUND_TUNNEL HORIZONTAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_06 authored boundary
MC_BOUND_CRATER_ROOT_V_TUNNEL_01,Crater-Root BOUND_TUNNEL VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_CASSIA_ROOT,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_06 authored boundary
MC_BOUND_CRATER_MILL_V_RUIN_01,Crater-Mill BOUND_RUIN VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_ABANDONED_MILL,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_07 authored boundary
MC_BOUND_CRATER_MILL_H_SOFT_01,Crater-Mill BOUND_SOFT_BLEND HORIZONTAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_ABANDONED_MILL,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_07 authored boundary
MC_BOUND_CRATER_MILL_V_SOFT_01,Crater-Mill BOUND_SOFT_BLEND VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_ABANDONED_MILL,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_07 authored boundary
MC_BOUND_CRATER_DOUGH_H_CLIFF_01,Crater-Dough BOUND_CLIFF HORIZONTAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_MOON_DOUGH,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_08 authored boundary
MC_BOUND_CRATER_DOUGH_V_CLIFF_01,Crater-Dough BOUND_CLIFF VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_08 authored boundary
MC_BOUND_CRATER_DOUGH_V_LAYER_01,Crater-Dough BOUND_LAYER VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_08 authored boundary
MC_BOUND_CRATER_DOUGH_H_SOFT_01,Crater-Dough BOUND_SOFT_BLEND HORIZONTAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_MOON_DOUGH,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_08 authored boundary
MC_BOUND_CRATER_DOUGH_V_SOFT_01,Crater-Dough BOUND_SOFT_BLEND VERTICAL,12,8,BOUNDARY,BIO_MOON_CRATER|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_08 authored boundary
MC_BOUND_ROOT_MILL_H_RUIN_01,Root-Mill BOUND_RUIN HORIZONTAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_MILL_V_RUIN_01,Root-Mill BOUND_RUIN VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_MILL_H_TUNNEL_01,Root-Mill BOUND_TUNNEL HORIZONTAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_MILL_V_TUNNEL_01,Root-Mill BOUND_TUNNEL VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_MILL_H_SOFT_01,Root-Mill BOUND_SOFT_BLEND HORIZONTAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_MILL_V_SOFT_01,Root-Mill BOUND_SOFT_BLEND VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_ABANDONED_MILL,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_09 authored boundary
MC_BOUND_ROOT_DOUGH_H_TUNNEL_01,Root-Dough BOUND_TUNNEL HORIZONTAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_10 authored boundary
MC_BOUND_ROOT_DOUGH_V_TUNNEL_01,Root-Dough BOUND_TUNNEL VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_10 authored boundary
MC_BOUND_ROOT_DOUGH_V_LAYER_01,Root-Dough BOUND_LAYER VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_10 authored boundary
MC_BOUND_ROOT_DOUGH_H_SOFT_01,Root-Dough BOUND_SOFT_BLEND HORIZONTAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,BOUNDARY|HORIZONTAL,R0|MIRROR_X,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_10 authored boundary
MC_BOUND_ROOT_DOUGH_V_SOFT_01,Root-Dough BOUND_SOFT_BLEND VERTICAL,12,8,BOUNDARY,BIO_CASSIA_ROOT|BIO_MOON_DOUGH,BOUNDARY|VERTICAL,R0|MIRROR_Y,100,0,1,0,1,PREFAB_MC_GRAY,1,MAP08_10 authored boundary
