microchunk_id,socket_id,side,band_id,traversal_kind,direction,mandatory_allowed,tool_requirement,edge_signature_id,route_layer,minimum_safe_tiles,notes
MC_GRAY_DEADEND_LEFT_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,0,NONE,EDGE_H_MID_WALK,OPTIONAL,2,
MC_BOUND_CRATER_ROOT_H_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_H_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_MILL_H_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_MILL_H_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_SPECIAL_EVENT_ROOM_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_SPECIAL_EVENT_ROOM_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_SPECIAL_FORGE_CORE_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_SPECIAL_FORGE_CORE_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_VILLAGE_PLAZA_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_VILLAGE_PLAZA_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_VILLAGE_ROAD_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_VILLAGE_ROAD_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_SOFT_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_SOFT_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_ROOT_H_CLIFF_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_H_CLIFF_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_CLIFF_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_CLIFF_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_ROOT_H_TUNNEL_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_H_TUNNEL_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_TUNNEL_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_ROOT_V_TUNNEL_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_MILL_V_RUIN_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_MILL_V_RUIN_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_MILL_H_SOFT_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_MILL_H_SOFT_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_MILL_V_SOFT_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_MILL_V_SOFT_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_H_CLIFF_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_H_CLIFF_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_CLIFF_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_CLIFF_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_LAYER_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_LAYER_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_H_SOFT_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_H_SOFT_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_SOFT_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_CRATER_DOUGH_V_SOFT_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_RUIN_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_RUIN_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_RUIN_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_RUIN_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_TUNNEL_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_TUNNEL_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_TUNNEL_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_TUNNEL_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_SOFT_01,SOCK_L,L,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_H_SOFT_01,SOCK_R,R,BAND_H_MID,WALK,BIDIRECTIONAL,1,NONE,EDGE_H_MID_WALK,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_SOFT_01,SOCK_U,U,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
MC_BOUND_ROOT_MILL_V_SOFT_01,SOCK_D,D,BAND_V_CENTER,CLIMB,BIDIRECTIONAL,1,NONE,EDGE_V_CENTER_CLIMB,MANDATORY,2,
