cluster_id,chunk_x,chunk_y,chunk_role,entry_side,exit_side,is_entry_chunk,is_exit_chunk,canonical_digest
TC_DOUGH_QUIET_RECOVERY_PAD,0,0,Entry,R,L,true,false,83557cb4969aaf040a2e602e9d7fd8e21207b796120aba1d1dfe75fc8a12aa38
TC_DOUGH_QUIET_RECOVERY_PAD,1,0,Exit,R,L,false,true,c9f83aced65cbf7eb918a29ee9609da69cf35b87fa00cfdf81e18d9ca9ca2afd
TC_DOUGH_QUIET_SOFT_SHELF,0,0,Entry,L,R,true,false,486ddd6de018ecadbbd72e24ef0067fcda89accdcc6c1870b66ec78788abbea6
TC_DOUGH_QUIET_SOFT_SHELF,1,0,Exit,L,R,false,true,01d5e9676ecf6cd6480599e931d4465241933de4686a27aabc561c95a5ed8d98
TC_MILL_BUFFER_ENTRY_BEAM,0,0,Entry,L,R,true,false,9b0c231f7af6f5c364df4e5c2868d1ff3f8a4f169990cf8d50538a5293828abb
TC_MILL_BUFFER_ENTRY_BEAM,1,0,Exit,L,R,false,true,af50c937c405d974d42eecefc194965f65b83e3996e297fdde963a53fb22bf9f
TC_MILL_BUFFER_EXIT_SHAFT,0,0,Entry,D,U,true,false,608265085b36492bf03c5417d56645851efedebf3943226456cc25f8cd46f4e5
TC_MILL_BUFFER_EXIT_SHAFT,0,1,Core,D,U,false,false,51c7f649af93cdc05c0033043c491b6bc03323a700a2d7ba0fc493c256deabb8
TC_MILL_BUFFER_EXIT_SHAFT,0,2,Exit,D,U,false,true,1bf258f433443094e57658741f60384c03f803b748c638528ad03b27335bee53
TC_MILL_BUFFER_RECOVERY_PLATFORM,0,0,Entry,L,U,true,false,8163e6de6cbb311d15cc8b293901077775cf38a2597789aa38390b449befd72b
TC_MILL_BUFFER_RECOVERY_PLATFORM,1,0,Core,L,U,false,false,d398f3c85decdb5dda1cdd2f15f956a809edbca04bf0b72668cfedbb9d136c77
TC_MILL_BUFFER_RECOVERY_PLATFORM,1,1,Exit,L,U,false,true,d98d26759a1dc1d45e6cd6b65b955c40657dc50a3b5f0a1243cd0162b677861e
TC_MILL_PROD_BEAM_OVERHANG,0,0,Entry,L,R,true,false,2cee0ab586342279462af842d0433b1bfa4b3384191e573f946b08966c1e9a91
TC_MILL_PROD_BEAM_OVERHANG,1,0,Core,L,R,false,false,420925da0002047a78857b06af9788528761f112e7caa4ac4209a21bdb6fd5ca
TC_MILL_PROD_BEAM_OVERHANG,2,0,Exit,L,R,false,true,5febcf8348a281c75c6a10538eb5cd5b5da2d2318f32fde83f64f81ffe65f564
TC_MILL_PROD_BROKEN_PILLAR,0,0,Entry,D,U,true,false,f04b2413716b95c870fb0a7e05e88a39d017fde4895bb223f2617f3ac36ef35d
TC_MILL_PROD_BROKEN_PILLAR,0,1,BuildUp,D,U,false,false,d45c747126703efde522af6bbf9f2c469fb779cb7cea31e6548c7cc18db7d839
TC_MILL_PROD_BROKEN_PILLAR,1,1,Core,D,U,false,false,27183f7ef358f52f42c1acf561f14a8a2852c6f461b420e9cbbe0be2533ea280
TC_MILL_PROD_BROKEN_PILLAR,1,2,Exit,D,U,false,true,87ad095132f4f62206a546c8757105b1d038154dcc60fcf391702683d78d3da4
TC_MILL_PROD_FALL_RECOVERY,1,0,Recovery,U,L,false,false,fc6087496f53bf910315e7a59e02fdfdf1b8e236a57b1ab065362e01e0367c69
TC_MILL_PROD_FALL_RECOVERY,0,1,Entry,U,L,true,false,a199fd4cd9f556b8e1360e8d68a7fd3ff3398acded6b88398ce0fd4c25a8f109
TC_MILL_PROD_FALL_RECOVERY,1,1,BuildUp,U,L,false,false,53f08a653083bd67fbee8ddd0ddc7bf0c736aa1d985ec8efdfdf1eb7dd1edb90
TC_MILL_PROD_FALL_RECOVERY,2,1,Core,U,L,false,false,e19ae57dcaa7c13531cbdc046115f880f7603f627005387864a3766bd18aee50
TC_MILL_PROD_FALL_RECOVERY,1,2,Exit,U,L,false,true,7a29a1685173a886db0079b4257d35d2f0d55e0f89f5ad22742fc9947d6c1023
TC_MILL_PROD_GEAR_GALLERY,1,0,Core,L,R,false,false,0eca45cd1220fa6f87fbbea5a883edfa480f605d36d3ec27d35229380b3cecf9
TC_MILL_PROD_GEAR_GALLERY,2,0,Recovery,L,R,false,false,d690b265856d7b4e524be25e1a51959e337250fd9ec408d0aabaea2ad12d7495
TC_MILL_PROD_GEAR_GALLERY,3,0,Exit,L,R,false,true,589e559ceb5fee58fc4f35d2402818988e1d65feda084e9c4b884a8a61a546e9
TC_MILL_PROD_GEAR_GALLERY,0,1,Entry,L,R,true,false,af96016544a6018a092da95541f50254a14c77f47f410e35fd24ef965544f970
TC_MILL_PROD_GEAR_GALLERY,1,1,BuildUp,L,R,false,false,df06fd0646ec4013d5391329823eaf8c3d0427daab8d2b080a88b087b2e37031
TC_MILL_PROD_ORTHOGONAL_SHAFT,0,0,Entry,L,R,true,false,4088df56dae49e63709ca4795d9ccfea3c13d7773bd47940e8ca0692caf494a0
TC_MILL_PROD_ORTHOGONAL_SHAFT,1,0,BuildUp,L,R,false,false,b487e19f986f7201c71469f74f76782c3bd63dedfc70c9505c73ae4d5a975514
TC_MILL_PROD_ORTHOGONAL_SHAFT,1,1,Core,L,R,false,false,530ed2f52611d47e7882ebc0101ee23a0697816260818e41bad869239e878eb1
TC_MILL_PROD_ORTHOGONAL_SHAFT,2,1,Exit,L,R,false,true,5dcb2c1087ea04a3c81457119952df7b270eac82ad947fddc29422c1935a725b
TC_MILL_PROD_RUST_LEDGE,0,0,Entry,L,U,true,false,f4bb94a30134552dd065a185b32dc3f20be9f54fd722ce127cd3cf0aec86c29f
TC_MILL_PROD_RUST_LEDGE,1,0,BuildUp,L,U,false,false,608a6456bc675bc4c52146a980c15daf5b22c231da349443e783b7e71303a5af
TC_MILL_PROD_RUST_LEDGE,2,0,Core,L,U,false,false,1fd78a1f1d63e8fd1776f42689b41c229281168256e087a8e4253df479c0879b
TC_MILL_PROD_RUST_LEDGE,2,1,Exit,L,U,false,true,872ccea8724253473134c46d878ec4b9f18c7055113fc1d771e4795fe71f6439
TC_MILL_QUIET_BEAM_WALK,0,0,Entry,L,R,true,false,b74666a5505de1962d0cc3d00210b1082b3694bb14ab54618389f485684a47d2
TC_MILL_QUIET_BEAM_WALK,1,0,Exit,L,R,false,true,160ef70fd6af1e64c92f53f2abf5689f7d55f4eb42b0ec3e7f779a9917ff08d1
TC_MILL_QUIET_GEAR_SHADOW,0,0,Entry,R,L,true,false,e5d763e8d5248e4e4b7cab9d82a206cd98688db3a86279edc8d00be954a87ea6
TC_MILL_QUIET_GEAR_SHADOW,1,0,Exit,R,L,false,true,6f5162f48cb12725922a8200857b1b2b0842813e5f3aed2ab10ab87361d2951b
TC_MILL_QUIET_RUST_BALCONY,0,0,Entry,D,U,true,false,7d9ed6bbfde8fa651333d602ebdffd69c9ec176f18e2d9bfe9c00d653bc057a8
TC_MILL_QUIET_RUST_BALCONY,0,1,Exit,D,U,false,true,470f020758f40e91673c4e4be898c600a7117e9321162a2fa68569652e7234c2
