pattern_id,schema_version,source_starter_pattern_id,source_starter_digest,biome_id,pattern_role,silhouette_family,allowed_transform_tokens,selection_weight,tile_shell_digest,cell_record_digest,tag_record_digest,missing_asset_policy,runtime_binding_state,created_utc_excluded_from_canonical_digest,canonical_digest
MP_DOUGH_SOFT_POCKET,map21_02.moonpalace_micropattern.v1,MP_DOUGH_SOFT_POCKET,ab4653395881570008003ab664cdb65fcaaeeffd5c2f43d90aaf9ba83f64eb11,MoonDough,GeometrySilhouette,SOFT_POCKET,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,f9c1b2317d578cdb176d9d422b6520a7ba3e1562af6cd3857b5b243d64a7ae2b,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,89b300f45064c5dfd1f6f5cc6e4e24424116f3c27a8ed83760e83d1ff7118273
MP_DOUGH_STICKY_SHELF,map21_02.moonpalace_micropattern.v1,MP_DOUGH_STICKY_SHELF,364e9ca9f61da8f32fa081ea6ea7fe2b9b742aa31f0873c3cb4387f964a371d6,MoonDough,GeometrySilhouette,STICKY_SHELF,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,57203408172049c6c3d965684d9533d428af7b07dab7ae44cac2f0ac52cda621,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,4a37677d7fd4506af1a194b05bab31d34b045d913cd3e351af50f66640ab7373
MP_MILL_BEAM_GRIP,map21_02.moonpalace_micropattern.v1,MP_MILL_BEAM_GRIP,ac7249523b635cbe64f94a593ba87daf908abd3d558731d0dc3bcce50dca3d20,AbandonedMill,SurfaceAffordance,BEAM_GRIP,MIRROR_Y|R0,500,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,81d2abf66923c4be75297caabbe31dc7e053e33117ba89407dcd9dbf67fb7366,6cc5f2395cf8c79c5b69b3bd1f451239464373a8ee8868b0eb0c36314fb6cfcb,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,618996e4e062cf17c8e4729d6771d189dee35e1fda6d793840ba5285d2047807
MP_MILL_BEAM_OVERHANG,map21_02.moonpalace_micropattern.v1,MP_MILL_BEAM_OVERHANG,23c5a585bdf624cd1ff371a0b97e7a608436d81ae961233e110199a6fa15948d,AbandonedMill,GeometrySilhouette,BEAM_OVERHANG,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,bdead3b8488371835b092cde92100d484afc86c6a2af0611408a07762039b3ed,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,0cf9b6931d4bc84a7205b667ec6f52d428a514fd734d06d161901546d002eda3
MP_MILL_BROKEN_PILLAR,map21_02.moonpalace_micropattern.v1,MP_MILL_BROKEN_PILLAR,fb2aaf00da7cceeb55639c42213e47d03a4be0ed0a8f89a11a3d5f001d319c45,AbandonedMill,GeometrySilhouette,BROKEN_PILLAR,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,b5d9e245ff07b044a7287ddc075ee4ac572546497bc274252181f4846919cf00,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,cd53bb72ec676f730490147601b6eed549457e4df736d316955863ad1cbae9f2
MP_MILL_GEAR_SOCKET,map21_02.moonpalace_micropattern.v1,MP_MILL_GEAR_SOCKET,cd815c437843469f0675e84f6c04a2f6bd953582bd3c0f5b1918717ed9daa839,AbandonedMill,MaterialHazardMarker,GEAR_SOCKET,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,dad22a868cb19dc3d654850d377f018db7a88b8019046598fae18300fdd5d317,45b9e7fbad6d756393cee955f297c3de682b108ae245bac50d1d90d3000371d3,PreserveMissingDataAndFallback,MissingData,true,6d54b1db7375c1551ceda1b2ebb32f8b61d37906cf76a8961312aea6162e514e
MP_MILL_ORTHOGONAL_CARVE,map21_02.moonpalace_micropattern.v1,MP_MILL_ORTHOGONAL_CARVE,7ac37bf71f1b773b8de576e40b4b39f25e93f59a2c972ba51d1cb292746c238d,AbandonedMill,GeometrySilhouette,ORTHOGONAL_CARVE,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,addddb6338bdb08ff3890b6d7fd34d2b66804a77c39a549f4d3a8e3071324c5e,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,a5b75be7b69184ac26b53eb61d6f04bf92cc0722267255c7e62150a16c241b33
MP_MILL_RUST_PATCH,map21_02.moonpalace_micropattern.v1,MP_MILL_RUST_PATCH,d78ae1f29a66199ce54640c31793c6af11806b341f3dcf56e5dee835e6dcc443,AbandonedMill,MaterialHazardMarker,RUST_PATCH,MIRROR_X|R0,500,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,c691772523c41cbe90dc45a834d29d19e86c57ddc11333ffcd31aab02eb95c46,42d8bba64cab8110b34242d8e1600d1495d4deea8244036a093f53c0b6f51739,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,cdea8280dc37dd592f67d353b7a5bd79baa96a66e2e705b31681cb51fc2e28bb
MP_ROOT_ARCH,map21_02.moonpalace_micropattern.v1,MP_ROOT_ARCH,a612280e1ebe36bc6e746a1385728a5007c946a41aca0ffdeef0d78aca8c003d,CassiaRoot,GeometrySilhouette,ARCH,MIRROR_Y|R0,500,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,72067c764b79583dc7064cf40df567df76f7f9ec6db8904e90c3a087038c4d3d,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,60bf641625aaf54b914bea562115fad29640b0549d420e06672926d477384575
MP_ROOT_CLIMB_VINES,map21_02.moonpalace_micropattern.v1,MP_ROOT_CLIMB_VINES,73162dd262ab7369c774747f19d62a6c32731bf92e8d70398eb4f684111b2553,CassiaRoot,SurfaceAffordance,CLIMB_VINES,MIRROR_X|R0,500,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,d7288bd6cb2fe2519f567d67063553be1ce1a50bb0c975be52f0c1e753ae4f5e,6c0f3ba4d14e2cc1f53c7d357e390bc61cbc6f998f39a0dfeea7cf59b309e5cd,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,486f6b5b4cb6181b06b791bd59f0a26a4b8544b5529940819b0fa448fba5f1d6
MP_ROOT_HOLLOW_POCKET,map21_02.moonpalace_micropattern.v1,MP_ROOT_HOLLOW_POCKET,76f68bf6f537eea9497f45182bcdd1a4348599ad7a9794363f0b435c7a386142,CassiaRoot,GeometrySilhouette,HOLLOW_POCKET,MIRROR_X|MIRROR_Y|R0|R180,250,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,9eb4addcae2a1689c99b878b37fcfe8973bacdd6c84715e4369d8f29e8101a1c,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,baf61875619fc9a00f152404cb25ed5087e012ce1645565989e1c1a9d311ae7b
MP_ROOT_SAP_PATCH,map21_02.moonpalace_micropattern.v1,MP_ROOT_SAP_PATCH,f19ce8e5137a3ad05d6279f0d8e87c375e0670ac0ef5edfd82488c2ee00a01de,CassiaRoot,MaterialHazardMarker,SAP_PATCH,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,ce90ea88bc9630aefc6fd929f29a6c05db78fd7d74bff5dfefa6c7296c016786,70720a4d99de69c193f1ea40d669a5df7f77f3e068f13561705ed930aeeab973,PreserveMissingDataAndFallback,NeedsRuntimeBinding,true,eff2dab61e8b7bcb5c1f712cb724c0f1d9b201dec191cf5a0a03c4df0a179eb8
MP_ROOT_SPROUT_MARK,map21_02.moonpalace_micropattern.v1,MP_ROOT_SPROUT_MARK,fa5fb83981316314b4d42727d62a6bc8936e8a6f745dc665f544e6ae9be89dee,CassiaRoot,MaterialHazardMarker,SPROUT_MARK,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,28d6e3f5722290292c0463523db8e9251ed7843d0b051e92d4105da1f517827c,a23c136ed92d955518c652f5bd3e7943ba714bc49446801f44a3c92ee89f7ec9,PreserveMissingDataAndFallback,MissingData,true,bfba896fc1200a5948ffa5323984d076ac83cddde4ce0277e11cae70ce9bd866
MP_ROOT_VERTICAL_TUNNEL,map21_02.moonpalace_micropattern.v1,MP_ROOT_VERTICAL_TUNNEL,796c8e8e0e81c501dddd52319ab9ec2a49cf2d9639e3315d82eb80c541f61871,CassiaRoot,GeometrySilhouette,VERTICAL_TUNNEL,R0,1000,04eefb76556b4874c4a60838149d523e084e0d315fc2d833a9458c9fc6ad2514,80c2fb7e59a54fb970104682e8cdb795b510790e6c3d8569b46b07a067ba085d,013cae9917f33e34c9ca57c30fb7d498d5c79130558f87fd3ddc665c03caf52e,PreserveMissingDataAndFallback,MissingData,true,3084d5255535bc5fab9d9375bedf74c8ee301fa600723b709bdf2cd6a7d6a86d
