pattern_id,x,y,tag_kind,tag_token,runtime_binding_state,risk_level,visual_priority,canonical_digest
MP_DOUGH_FERMENT_PATCH,2,1,Material,MAT_DOUGH_FERMENT,MissingData,Low,30,b995296fc1c720dd474edf442dde65c7d3db4b586bb7a7ae92327078ff6ed277
MP_DOUGH_FERMENT_PATCH,1,2,Material,MAT_DOUGH_FERMENT,MissingData,Low,30,a84b7d11d670fa891e9b7c1ccf8e79388a8d71c68a578304d31b87c903424ab4
MP_DOUGH_FERMENT_PATCH,1,2,Hazard,HZ_FERMENT_BUBBLE,NeedsRuntimeBinding,High,50,7184b44549ca3073351ee10d8d9736e3981bbe7756e1b675c9e30df8689ed3ca
MP_DOUGH_FERMENT_PATCH,2,2,Material,MAT_DOUGH_FERMENT,MissingData,Low,30,d0985d7a5743d168ba0d063a09ce3519f75551cf3cd5b0230ffd3e0391424054
MP_DOUGH_FERMENT_PATCH,2,2,Hazard,HZ_FERMENT_BUBBLE,NeedsRuntimeBinding,High,50,ad25e05963a58ca8e9246d338240657e61903d6e47728a05f421453085ed6485
MP_DOUGH_RECOVERY_PAD,0,0,Material,MAT_DOUGH_SOFT,MissingData,Low,30,22a13820a96967e3d1333f4123f5d56d388c82472435eeb9546fb8fc7c968a87
MP_DOUGH_RECOVERY_PAD,1,0,Material,MAT_DOUGH_SOFT,MissingData,Low,30,0a2698ccfab4236fa300726467bb28de0927d101e12db5a9bca76244cedf280f
MP_DOUGH_RECOVERY_PAD,1,0,Marker,MARK_RECOVERY_PAD,AuthoringOnly,Low,60,0bff006a78668e1a2b790883a538973af438375c0030696bdc5b411e2ac86303
MP_DOUGH_RECOVERY_PAD,2,0,Material,MAT_DOUGH_SOFT,MissingData,Low,30,1e210d7309238f49aba548caacdb853a0921995ff93cd737cd2e99bda9951ef7
MP_DOUGH_RECOVERY_PAD,2,0,Marker,MARK_RECOVERY_PAD,AuthoringOnly,Low,60,031cb4aec9477d39e22ab129cde1c96a29954814ffb46c04230124d30dd293a9
MP_DOUGH_RECOVERY_PAD,3,0,Material,MAT_DOUGH_SOFT,MissingData,Low,30,62985af06c40ccc4a4ab3490734c9eea208ea88fba4f901397df54c5d2057cb7
MP_MILL_BEAM_GRIP,0,2,Surface,SURF_MILL_BEAM,AuthoringOnly,Low,20,d0bdf8328d190054d1b0846e1bf3385ce0a82a9082e625d154b3fe3267c66513
MP_MILL_BEAM_GRIP,0,2,Affordance,AFF_GRAB,NeedsRuntimeBinding,Medium,40,7e94333065c70a6f0980c421768006f75aebf2fb6ca3b87febfc61caa667296e
MP_MILL_BEAM_GRIP,1,2,Surface,SURF_MILL_BEAM,AuthoringOnly,Low,20,64dbedff89f31593a4940246a5c7164b595ec82d73c6b8ccc4efe851bc2f82c0
MP_MILL_BEAM_GRIP,2,2,Surface,SURF_MILL_BEAM,AuthoringOnly,Low,20,389fb03ff0216d56fe680a54111a2e9541cc10845beb16e1f3e20c1cf6533a08
MP_MILL_BEAM_GRIP,3,2,Surface,SURF_MILL_BEAM,AuthoringOnly,Low,20,a9057c178be460eb4a065af236cef7bfa9489a0a64e18b1d468057d4d43a373b
MP_MILL_BEAM_GRIP,3,2,Affordance,AFF_GRAB,NeedsRuntimeBinding,Medium,40,1a26d1c8885c922be2777aa2e823ed5ae538aaa22ec605642bc0248d8397a90e
MP_MILL_GEAR_SOCKET,1,1,Material,MAT_MILL_IRON,MissingData,Low,30,31849b8637bc9ee0f90a5de150f6b8ae127c96f79f2737a797d65bd06c6e8be2
MP_MILL_GEAR_SOCKET,1,1,Marker,MARK_GEAR_SOCKET,AuthoringOnly,Low,60,d758497a1f99257dac33f9cf7a030d78ccd76f5668b1355455ee9731062f51ce
MP_MILL_GEAR_SOCKET,2,1,Material,MAT_MILL_IRON,MissingData,Low,30,c690e426c0f1979b7dcbe7f154729173a6dc88d058cb71a79677c855cfb412e3
MP_MILL_GEAR_SOCKET,1,2,Material,MAT_MILL_IRON,MissingData,Low,30,67585bd8cc1349111d3bae44f31b2ccee066180da9d66ac87b53682f72b632a7
MP_MILL_GEAR_SOCKET,2,2,Material,MAT_MILL_IRON,MissingData,Low,30,f92d8b47c296c11425495d401cdd9ced4be84f13ea03644dfe38a1a80dfe9109
MP_MILL_GEAR_SOCKET,2,2,Marker,MARK_GEAR_SOCKET,AuthoringOnly,Low,60,b77d61d96a38057ed3051897bfde6a9abeea807c66df81a4e14ddfde38bba69f
MP_MILL_RUST_PATCH,0,0,Material,MAT_MILL_RUST,MissingData,Low,30,8564e167d419973c5b4c416b298028273d856774d52c427921df906b17e9d43a
MP_MILL_RUST_PATCH,1,0,Hazard,HZ_SHARP_DEBRIS,NeedsRuntimeBinding,High,50,f1ea927dc8bf96111f3625174db47eae2b4142d3cd7b2afb0011ff66302e3cb9
MP_MILL_RUST_PATCH,2,0,Hazard,HZ_SHARP_DEBRIS,NeedsRuntimeBinding,High,50,c50d5e91aae0a08e728aa6218340bba26999dc3062453320b20880e23e28ea5c
MP_MILL_RUST_PATCH,1,1,Material,MAT_MILL_RUST,MissingData,Low,30,128d7f4b5dd44540b7bc28009b4ec8fa05a37a084cc49047471fbbcb2d2e9c7b
MP_MILL_RUST_PATCH,2,2,Material,MAT_MILL_RUST,MissingData,Low,30,6ceb47720ff4de56c8eddd8019f0285855a1a9974e7219edc2872cfe82a980bc
MP_MILL_RUST_PATCH,3,3,Material,MAT_MILL_RUST,MissingData,Low,30,10ad6a50b0725754712102e3e5ef7f5736bea107e6f82f00483d140853cc1376
MP_ROOT_CLIMB_VINES,1,0,Surface,SURF_ROOT_BARK,AuthoringOnly,Low,20,e9367408ca10447fe19458adf1a2fbd76ac750bef0f227fe53e477a55c9c8de3
MP_ROOT_CLIMB_VINES,1,0,Affordance,AFF_CLIMB,NeedsRuntimeBinding,Medium,40,9654770dc5d0b28f7a583c479c2c85ad4daaacb7f8d6f3a1d2495b8e751f359a
MP_ROOT_CLIMB_VINES,1,1,Surface,SURF_ROOT_BARK,AuthoringOnly,Low,20,cf893f4b7cae41841f792380232e41975bbfe48ff0ff993b6847920c971a7649
MP_ROOT_CLIMB_VINES,1,1,Affordance,AFF_CLIMB,NeedsRuntimeBinding,Medium,40,307f724bd32d8c13d2ce9c1a8ae1d43528959ae66053724b627a632d6376f468
MP_ROOT_CLIMB_VINES,1,2,Surface,SURF_ROOT_BARK,AuthoringOnly,Low,20,ac67301c60472a865a177eb8ec6601a43e0a35a6fce5044557412d5f6fae2f61
MP_ROOT_CLIMB_VINES,1,2,Affordance,AFF_CLIMB,NeedsRuntimeBinding,Medium,40,b13df1de91d7e5e4e0df057c613b545522ddc006d4140c44e5dbcc52649a2367
MP_ROOT_CLIMB_VINES,1,3,Surface,SURF_ROOT_BARK,AuthoringOnly,Low,20,e554d3d77e4713d06fc8dac908a180a782a69c739459efe4b8215e2b50e9ebb5
MP_ROOT_CLIMB_VINES,1,3,Affordance,AFF_CLIMB,NeedsRuntimeBinding,Medium,40,54e8cb1048f1eccd2c356400605b8e2da7bd1a64fd829cac46b4ce409ce7f772
MP_ROOT_SAP_PATCH,1,1,Material,MAT_CASSIA_SAP,MissingData,Low,30,7280c85a95360d04caba6265dba6761388ac9520c727830eabb9ade94eec6cf1
MP_ROOT_SAP_PATCH,1,1,Hazard,HZ_STICKY_SAP,NeedsRuntimeBinding,High,50,00b704d1455c4d1ddb7b50195c066ffd5cf0bf64fab4376fcaad28889c07bc98
MP_ROOT_SAP_PATCH,2,1,Material,MAT_CASSIA_SAP,MissingData,Low,30,fba28f6a077dacbf0d1e9ec78a94256ccec3b29facbbb05d35879e68181c0690
MP_ROOT_SAP_PATCH,2,1,Hazard,HZ_STICKY_SAP,NeedsRuntimeBinding,High,50,0e170835bb8cd6538b88f895059679828dbaf1ea56eccdac2e765f93bd196037
MP_ROOT_SAP_PATCH,1,2,Material,MAT_CASSIA_SAP,MissingData,Low,30,f2dcf05573ccd43657a43f65c5d8126b7a3c9538c754a76e7fd3d8e89224be46
MP_ROOT_SAP_PATCH,2,2,Material,MAT_CASSIA_SAP,MissingData,Low,30,1f7f5970b1162756857f6c163063dd7415f34e5ab640c89ea2532eed3271b1f9
MP_ROOT_SPROUT_MARK,1,0,Material,MAT_ROOT_FIBER,MissingData,Low,30,8f8f2c48ab17328c9844051c2fad8502cc6c5eee143f3026163ecb93ed49c610
MP_ROOT_SPROUT_MARK,2,0,Material,MAT_ROOT_FIBER,MissingData,Low,30,97ecbb160a721bd29e5c7db5eda6c5a133fa8000d7c56302c3d79afd2f49ae0e
MP_ROOT_SPROUT_MARK,1,1,Marker,MARK_ROOT_SPROUT,AuthoringOnly,Low,60,c638f903aaa343aed8d8c532a2c6972db95959b574a729e33b94dfde4b444cf5
MP_ROOT_SPROUT_MARK,2,1,Marker,MARK_ROOT_SPROUT,AuthoringOnly,Low,60,06bc23b7042d5fe5310b7a262db3e411a9e9c80569ed93ab511b04301a8e2598
