placement_index,pattern_x,pattern_y,chunk_id,candidate_id,production_pattern_family_id,transform,biome_id,terrain_cluster_id,spine_variant_id
14,2,1,VIS01_CHUNK_00,VIS01_MP_8400,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_ROOT_PROD_SAP_LEDGE,TC_MILL_PROD_RUST_LEDGE/TC_MILL_PROD_RUST_LEDGE_BASE
15,3,1,VIS01_CHUNK_01,VIS01_MP_15D0,MP_MILL_RUST_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
16,4,1,VIS01_CHUNK_01,VIS01_MP_0090,MP_ROOT_SPROUT_MARK,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
17,5,1,VIS01_CHUNK_01,VIS01_MP_0000,MP_MILL_GEAR_SOCKET,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_PROD_SOFT_POCKET,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_ALT
18,6,1,VIS01_CHUNK_02,VIS01_MP_3380,MP_MILL_BEAM_GRIP,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
19,7,1,VIS01_CHUNK_02,VIS01_MP_0090,MP_CRATER_ROCK_SHELF,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
20,8,1,VIS01_CHUNK_02,VIS01_MP_0120,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_BUFFER_EXIT_SHELF,TC_MILL_QUIET_RUST_BALCONY/TC_MILL_QUIET_RUST_BALCONY_BASE
21,9,1,VIS01_CHUNK_03,VIS01_MP_F300,MP_CRATER_GRIP_RIDGE,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
22,10,1,VIS01_CHUNK_03,VIS01_MP_C000,MP_MILL_ORTHOGONAL_CARVE,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
23,11,1,VIS01_CHUNK_03,VIS01_MP_6020,MP_MILL_RUST_PATCH,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_PROD_STICKY_SHELF,TC_ROOT_BUFFER_EXIT_TUNNEL/TC_ROOT_BUFFER_EXIT_TUNNEL_ALT
24,0,2,VIS01_CHUNK_04,VIS01_MP_0802,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
25,1,2,VIS01_CHUNK_04,VIS01_MP_0404,MP_ROOT_CLIMB_VINES,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
26,2,2,VIS01_CHUNK_04,VIS01_MP_0648,MP_CRATER_METEOR_CUE,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
27,3,2,VIS01_CHUNK_05,VIS01_MP_0005,MP_ROOT_SPROUT_MARK,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
28,4,2,VIS01_CHUNK_05,VIS01_MP_0090,MP_CRATER_DUST_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
29,5,2,VIS01_CHUNK_05,VIS01_MP_0540,MP_ROOT_CLIMB_VINES,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
30,6,2,VIS01_CHUNK_06,VIS01_MP_0CE8,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
31,7,2,VIS01_CHUNK_06,VIS01_MP_04C0,MP_DOUGH_RECOVERY_PAD,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
32,8,2,VIS01_CHUNK_06,VIS01_MP_0B88,MP_DOUGH_BOUNCE_CUP,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
33,9,2,VIS01_CHUNK_07,VIS01_MP_0280,MP_DOUGH_BOUNCE_STRIP,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
34,10,2,VIS01_CHUNK_07,VIS01_MP_04C1,MP_MILL_GEAR_SOCKET,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
35,11,2,VIS01_CHUNK_07,VIS01_MP_0CD8,MP_ROOT_SAP_PATCH,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
36,0,3,VIS01_CHUNK_04,VIS01_MP_6020,MP_CRATER_DUST_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
37,1,3,VIS01_CHUNK_04,VIS01_MP_5540,MP_CRATER_GRIP_RIDGE,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
38,2,3,VIS01_CHUNK_04,VIS01_MP_0070,MP_CRATER_BOWL,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_QUIET_SOFT_SHELF,TC_MILL_PROD_GEAR_GALLERY/TC_MILL_PROD_GEAR_GALLERY_BASE
39,3,3,VIS01_CHUNK_05,VIS01_MP_9200,MP_DOUGH_RECOVERY_PAD,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
40,4,3,VIS01_CHUNK_05,VIS01_MP_0810,MP_ROOT_SPROUT_MARK,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
41,5,3,VIS01_CHUNK_05,VIS01_MP_CEC0,MP_DOUGH_BOUNCE_STRIP,IDENTITY_NO_ROTATION,MoonCrater,TC_ROOT_QUIET_ROOT_BRIDGE,TC_CRATER_PROD_BROKEN_SLOPE/TC_CRATER_PROD_BROKEN_SLOPE_ALT
42,6,3,VIS01_CHUNK_06,VIS01_MP_E8E0,MP_ROOT_HOLLOW_POCKET,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
43,7,3,VIS01_CHUNK_06,VIS01_MP_0180,MP_CRATER_ROCK_SHELF,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
44,8,3,VIS01_CHUNK_06,VIS01_MP_4200,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,CassiaRoot,TC_MILL_BUFFER_EXIT_SHAFT,TC_ROOT_PROD_FORK_RECOVERY/TC_ROOT_PROD_FORK_RECOVERY_BASE
45,9,3,VIS01_CHUNK_07,VIS01_MP_AAA0,MP_DOUGH_STICKY_SHELF,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
46,10,3,VIS01_CHUNK_07,VIS01_MP_0440,MP_CRATER_BOWL,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
47,11,3,VIS01_CHUNK_07,VIS01_MP_5540,MP_CRATER_BROKEN_SLOPE,IDENTITY_NO_ROTATION,AbandonedMill,TC_CRATER_BUFFER_ENTRY_RAMP,TC_CRATER_QUIET_SHALLOW_BOWL/TC_CRATER_QUIET_SHALLOW_BOWL_ALT
48,0,4,VIS01_CHUNK_08,VIS01_MP_0202,MP_MILL_ORTHOGONAL_CARVE,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
49,1,4,VIS01_CHUNK_08,VIS01_MP_0D01,MP_MILL_BEAM_GRIP,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
50,2,4,VIS01_CHUNK_08,VIS01_MP_0108,MP_ROOT_HOLLOW_POCKET,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
51,3,4,VIS01_CHUNK_09,VIS01_MP_0500,MP_ROOT_SAP_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
52,4,4,VIS01_CHUNK_09,VIS01_MP_0D80,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
53,5,4,VIS01_CHUNK_09,VIS01_MP_0003,MP_ROOT_SPROUT_MARK,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
54,6,4,VIS01_CHUNK_10,VIS01_MP_0046,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
55,7,4,VIS01_CHUNK_10,VIS01_MP_00C0,MP_DOUGH_RECOVERY_PAD,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
56,8,4,VIS01_CHUNK_10,VIS01_MP_04C0,MP_MILL_BROKEN_PILLAR,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
57,9,4,VIS01_CHUNK_11,VIS01_MP_0240,MP_DOUGH_BOUNCE_STRIP,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
58,10,4,VIS01_CHUNK_11,VIS01_MP_000C,MP_CRATER_BOWL,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
59,11,4,VIS01_CHUNK_11,VIS01_MP_0208,MP_CRATER_ROCK_SHELF,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
60,0,5,VIS01_CHUNK_08,VIS01_MP_1080,MP_DOUGH_SOFT_POCKET,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
61,1,5,VIS01_CHUNK_08,VIS01_MP_0000,MP_ROOT_CLIMB_VINES,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
62,2,5,VIS01_CHUNK_08,VIS01_MP_2400,MP_MILL_ORTHOGONAL_CARVE,IDENTITY_NO_ROTATION,MoonDough,TC_CRATER_PROD_BOWL_CROSS,TC_MILL_PROD_BROKEN_PILLAR/TC_MILL_PROD_BROKEN_PILLAR_BASE
63,3,5,VIS01_CHUNK_09,VIS01_MP_0540,MP_DOUGH_RECOVERY_PAD,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
64,4,5,VIS01_CHUNK_09,VIS01_MP_8010,MP_MILL_BROKEN_PILLAR,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
65,5,5,VIS01_CHUNK_09,VIS01_MP_B130,MP_MILL_GEAR_SOCKET,IDENTITY_NO_ROTATION,MoonCrater,TC_CRATER_QUIET_SHADOW_SHELF,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_ALT
66,6,5,VIS01_CHUNK_10,VIS01_MP_1020,MP_CRATER_METEOR_CUE,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
67,7,5,VIS01_CHUNK_10,VIS01_MP_0090,MP_MILL_BEAM_OVERHANG,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
68,8,5,VIS01_CHUNK_10,VIS01_MP_2040,MP_ROOT_ARCH,IDENTITY_NO_ROTATION,CassiaRoot,TC_ROOT_BUFFER_EXIT_TUNNEL,TC_MILL_PROD_ORTHOGONAL_SHAFT/TC_MILL_PROD_ORTHOGONAL_SHAFT_BASE
69,9,5,VIS01_CHUNK_11,VIS01_MP_F300,MP_ROOT_CLIMB_VINES,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
70,10,5,VIS01_CHUNK_11,VIS01_MP_0810,MP_CRATER_BOWL,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
71,11,5,VIS01_CHUNK_11,VIS01_MP_9D90,MP_CRATER_BROKEN_SLOPE,IDENTITY_NO_ROTATION,AbandonedMill,TC_DOUGH_BUFFER_ENTRY_CUP,TC_CRATER_BUFFER_EXIT_LEDGE/TC_CRATER_BUFFER_EXIT_LEDGE_ALT
72,0,6,VIS01_CHUNK_12,VIS01_MP_0424,MP_ROOT_ARCH,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
73,1,6,VIS01_CHUNK_12,VIS01_MP_0D80,MP_MILL_GEAR_SOCKET,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
74,2,6,VIS01_CHUNK_12,VIS01_MP_0081,MP_DOUGH_BOUNCE_STRIP,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
75,3,6,VIS01_CHUNK_13,VIS01_MP_0402,MP_MILL_GEAR_SOCKET,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
76,4,6,VIS01_CHUNK_13,VIS01_MP_0C9D,MP_MILL_RUST_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
77,5,6,VIS01_CHUNK_13,VIS01_MP_0041,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
78,6,6,VIS01_CHUNK_14,VIS01_MP_0648,MP_CRATER_BOWL,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
79,7,6,VIS01_CHUNK_14,VIS01_MP_0090,MP_CRATER_BROKEN_SLOPE,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
80,8,6,VIS01_CHUNK_14,VIS01_MP_0402,MP_MILL_ORTHOGONAL_CARVE,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
81,9,6,VIS01_CHUNK_15,VIS01_MP_0006,MP_MILL_RUST_PATCH,IDENTITY_NO_ROTATION,AbandonedMill,TC_ROOT_PROD_CANOPY_SWITCHBACK,TC_ROOT_PROD_ARCH_FLOW/TC_ROOT_PROD_ARCH_FLOW_ALT
82,10,6,VIS01_CHUNK_15,VIS01_MP_0808,MP_CRATER_METEOR_CUE,IDENTITY_NO_ROTATION,AbandonedMill,TC_ROOT_PROD_CANOPY_SWITCHBACK,TC_ROOT_PROD_ARCH_FLOW/TC_ROOT_PROD_ARCH_FLOW_ALT
83,11,6,VIS01_CHUNK_15,VIS01_MP_0500,MP_ROOT_SAP_PATCH,IDENTITY_NO_ROTATION,AbandonedMill,TC_ROOT_PROD_CANOPY_SWITCHBACK,TC_ROOT_PROD_ARCH_FLOW/TC_ROOT_PROD_ARCH_FLOW_ALT
84,0,7,VIS01_CHUNK_12,VIS01_MP_00A0,MP_CRATER_DUST_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
85,1,7,VIS01_CHUNK_12,VIS01_MP_0050,MP_ROOT_CLIMB_VINES,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
86,2,7,VIS01_CHUNK_12,VIS01_MP_4040,MP_DOUGH_FERMENT_PATCH,IDENTITY_NO_ROTATION,MoonDough,TC_DOUGH_PROD_BOUNCE_CUP,TC_ROOT_PROD_HOLLOW_POCKET/TC_ROOT_PROD_HOLLOW_POCKET_BASE
87,3,7,VIS01_CHUNK_13,VIS01_MP_C000,MP_CRATER_BROKEN_SLOPE,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
88,4,7,VIS01_CHUNK_13,VIS01_MP_4100,MP_DOUGH_BOUNCE_CUP,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
89,5,7,VIS01_CHUNK_13,VIS01_MP_0240,MP_ROOT_VERTICAL_TUNNEL,IDENTITY_NO_ROTATION,MoonCrater,TC_DOUGH_QUIET_RECOVERY_PAD,TC_CRATER_BUFFER_ENTRY_RAMP/TC_CRATER_BUFFER_ENTRY_RAMP_ALT
90,6,7,VIS01_CHUNK_14,VIS01_MP_0050,MP_ROOT_HOLLOW_POCKET,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
91,7,7,VIS01_CHUNK_14,VIS01_MP_0880,MP_MILL_BEAM_OVERHANG,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
92,8,7,VIS01_CHUNK_14,VIS01_MP_0990,MP_ROOT_ARCH,IDENTITY_NO_ROTATION,CassiaRoot,TC_DOUGH_PROD_RECOVERY_PAD_CHAIN,TC_DOUGH_QUIET_FERMENT_POCKET/TC_DOUGH_QUIET_FERMENT_POCKET_BASE
