rank,candidate_id,mask_u16_hex,open_count,solid_count,density,largest_open_component,open_component_count,north_socket_bits,south_socket_bits,west_socket_bits,east_socket_bits,floor_support_bits,ceiling_gap_bits,left_wall_bits,right_wall_bits,silhouette_signature,socket_signature,mirror_family_signature,density_bucket,edge_socket_bucket,support_affordance_class,hazard_detail_eligibility,role_tags,chunk_path_allowed,score
25,VIS01_MP_0048,0x0048,14,2,0.1250,14,1,0xF,0x7,0xF,0xE,0xF,0xF,0x0,0x1,R1100-C0011,NF-S7-WF-EE,MF_0021,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
26,VIS01_MP_0050,0x0050,14,2,0.1250,14,1,0xF,0xF,0xD,0xF,0xF,0xF,0x2,0x0,R0200-C1010,NF-SF-WD-EF,MF_0050,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
27,VIS01_MP_0041,0x0041,14,2,0.1250,14,1,0xF,0xE,0xE,0xF,0xF,0xF,0x1,0x0,R1100-C1010,NF-SE-WE-EF,MF_0028,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
28,VIS01_MP_0009,0x0009,14,2,0.1250,14,1,0xF,0x6,0xE,0xE,0xF,0xF,0x1,0x1,R2000-C1001,NF-S6-WE-EE,MF_0009,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
29,VIS01_MP_0044,0x0044,14,2,0.1250,14,1,0xF,0xB,0xF,0xF,0xF,0xF,0x0,0x0,R1100-C0020,NF-SB-WF-EF,MF_0022,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
30,VIS01_MP_0840,0x0840,14,2,0.1250,14,1,0xF,0xF,0xF,0xB,0xF,0xF,0x0,0x4,R0110-C0011,NF-SF-WF-EB,MF_0120,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
31,VIS01_MP_0180,0x0180,14,2,0.1250,14,1,0xF,0xF,0xB,0xD,0xF,0xF,0x4,0x2,R0110-C1001,NF-SF-WB-ED,MF_0180,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
32,VIS01_MP_0108,0x0108,14,2,0.1250,14,1,0xF,0x7,0xB,0xE,0xF,0xF,0x4,0x1,R1010-C1001,NF-S7-WB-EE,MF_0108,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
33,VIS01_MP_4400,0x4400,14,2,0.1250,14,1,0xB,0xF,0xF,0xF,0xF,0xB,0x0,0x0,R0011-C0020,NB-SF-WF-EF,MF_2200,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
34,VIS01_MP_1080,0x1080,14,2,0.1250,14,1,0xE,0xF,0x7,0xD,0xF,0xE,0x8,0x2,R0101-C1001,NE-SF-W7-ED,MF_1080,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
35,VIS01_MP_5000,0x5000,14,2,0.1250,14,1,0xA,0xF,0x7,0xF,0xF,0xA,0x8,0x0,R0002-C1010,NA-SF-W7-EF,MF_5000,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
36,VIS01_MP_8800,0x8800,14,2,0.1250,14,1,0x7,0xF,0xF,0x3,0xF,0x7,0x0,0xC,R0011-C0002,N7-SF-WF-E3,MF_1100,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
37,VIS01_MP_1010,0x1010,14,2,0.1250,14,1,0xE,0xF,0x5,0xF,0xF,0xE,0xA,0x0,R0101-C2000,NE-SF-W5-EF,MF_1010,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
38,VIS01_MP_8040,0x8040,14,2,0.1250,14,1,0x7,0xF,0xF,0x7,0xF,0x7,0x0,0x8,R0101-C0011,N7-SF-WF-E7,MF_1020,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
39,VIS01_MP_8080,0x8080,14,2,0.1250,14,1,0x7,0xF,0xF,0x5,0xF,0x7,0x0,0xA,R0101-C0002,N7-SF-WF-E5,MF_1010,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
40,VIS01_MP_4040,0x4040,14,2,0.1250,14,1,0xB,0xF,0xF,0xF,0xF,0xB,0x0,0x0,R0101-C0020,NB-SF-WF-EF,MF_2020,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
41,VIS01_MP_8100,0x8100,14,2,0.1250,14,1,0x7,0xF,0xB,0x7,0xF,0x7,0x4,0x8,R0011-C1001,N7-SF-WB-E7,MF_1800,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
42,VIS01_MP_C000,0xC000,14,2,0.1250,14,1,0x3,0xF,0xF,0x7,0xF,0x3,0x0,0x8,R0002-C0011,N3-SF-WF-E7,MF_3000,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
43,VIS01_MP_4100,0x4100,14,2,0.1250,14,1,0xB,0xF,0xB,0xF,0xF,0xB,0x4,0x0,R0011-C1010,NB-SF-WB-EF,MF_2800,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
44,VIS01_MP_1100,0x1100,14,2,0.1250,14,1,0xE,0xF,0x3,0xF,0xF,0xE,0xC,0x0,R0011-C2000,NE-SF-W3-EF,MF_1100,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
45,VIS01_MP_1040,0x1040,14,2,0.1250,14,1,0xE,0xF,0x7,0xF,0xF,0xE,0x8,0x0,R0101-C1010,NE-SF-W7-EF,MF_1040,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
46,VIS01_MP_8400,0x8400,14,2,0.1250,14,1,0x7,0xF,0xF,0x7,0xF,0x7,0x0,0x8,R0011-C0011,N7-SF-WF-E7,MF_1200,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
47,VIS01_MP_9000,0x9000,14,2,0.1250,14,1,0x6,0xF,0x7,0x7,0xF,0x6,0x8,0x8,R0002-C1001,N6-SF-W7-E7,MF_9000,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
48,VIS01_MP_1800,0x1800,14,2,0.1250,14,1,0xE,0xF,0x7,0xB,0xF,0xE,0x8,0x4,R0011-C1001,NE-SF-W7-EB,MF_1800,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
49,VIS01_MP_4080,0x4080,14,2,0.1250,14,1,0xB,0xF,0xF,0xD,0xF,0xB,0x0,0x2,R0101-C0011,NB-SF-WF-ED,MF_2010,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
50,VIS01_MP_8010,0x8010,14,2,0.1250,14,1,0x7,0xF,0xD,0x7,0xF,0x7,0x2,0x8,R0101-C1001,N7-SF-WD-E7,MF_1080,QUIET_13_16,SIDES_4_FULL_1,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
51,VIS01_MP_0420,0x0420,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0110-C0110,NF-SF-WF-EF,MF_0240,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
52,VIS01_MP_0600,0x0600,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0020-C0110,NF-SF-WF-EF,MF_0600,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
53,VIS01_MP_0060,0x0060,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0200-C0110,NF-SF-WF-EF,MF_0060,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
54,VIS01_MP_0082,0x0082,14,2,0.1250,14,1,0xF,0xD,0xF,0xD,0xF,0xF,0x0,0x2,R1100-C0101,NF-SD-WF-ED,MF_0014,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
55,VIS01_MP_000A,0x000A,14,2,0.1250,14,1,0xF,0x5,0xF,0xE,0xF,0xF,0x0,0x1,R2000-C0101,NF-S5-WF-EE,MF_0005,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
56,VIS01_MP_0210,0x0210,14,2,0.1250,14,1,0xF,0xF,0xD,0xF,0xF,0xF,0x2,0x0,R0110-C1100,NF-SF-WD-EF,MF_0210,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
57,VIS01_MP_0204,0x0204,14,2,0.1250,14,1,0xF,0xB,0xF,0xF,0xF,0xF,0x0,0x0,R1010-C0110,NF-SB-WF-EF,MF_0204,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
58,VIS01_MP_0201,0x0201,14,2,0.1250,14,1,0xF,0xE,0xE,0xF,0xF,0xF,0x1,0x0,R1010-C1100,NF-SE-WE-EF,MF_0201,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
59,VIS01_MP_0202,0x0202,14,2,0.1250,14,1,0xF,0xD,0xF,0xF,0xF,0xF,0x0,0x0,R1010-C0200,NF-SD-WF-EF,MF_0202,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
60,VIS01_MP_0802,0x0802,14,2,0.1250,14,1,0xF,0xD,0xF,0xB,0xF,0xF,0x0,0x4,R1010-C0101,NF-SD-WF-EB,MF_0104,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
61,VIS01_MP_0A00,0x0A00,14,2,0.1250,14,1,0xF,0xF,0xF,0xB,0xF,0xF,0x0,0x4,R0020-C0101,NF-SF-WF-EB,MF_0500,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
62,VIS01_MP_0208,0x0208,14,2,0.1250,14,1,0xF,0x7,0xF,0xE,0xF,0xF,0x0,0x1,R1010-C0101,NF-S7-WF-EE,MF_0208,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
63,VIS01_MP_0220,0x0220,14,2,0.1250,14,1,0xF,0xF,0xF,0xF,0xF,0xF,0x0,0x0,R0110-C0200,NF-SF-WF-EF,MF_0220,QUIET_13_16,SIDES_4_FULL_4,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
64,VIS01_MP_0402,0x0402,14,2,0.1250,14,1,0xF,0xD,0xF,0xF,0xF,0xF,0x0,0x0,R1010-C0110,NF-SD-WF-EF,MF_0204,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
65,VIS01_MP_00A0,0x00A0,14,2,0.1250,14,1,0xF,0xF,0xF,0xD,0xF,0xF,0x0,0x2,R0200-C0101,NF-SF-WF-ED,MF_0050,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
66,VIS01_MP_0006,0x0006,14,2,0.1250,14,1,0xF,0x9,0xF,0xF,0xF,0xF,0x0,0x0,R2000-C0110,NF-S9-WF-EF,MF_0006,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
67,VIS01_MP_0003,0x0003,14,2,0.1250,14,1,0xF,0xC,0xE,0xF,0xF,0xF,0x1,0x0,R2000-C1100,NF-SC-WE-EF,MF_0003,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
68,VIS01_MP_0028,0x0028,14,2,0.1250,14,1,0xF,0x7,0xF,0xE,0xF,0xF,0x0,0x1,R1100-C0101,NF-S7-WF-EE,MF_0028,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
69,VIS01_MP_0042,0x0042,14,2,0.1250,14,1,0xF,0xD,0xF,0xF,0xF,0xF,0x0,0x0,R1100-C0110,NF-SD-WF-EF,MF_0024,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
70,VIS01_MP_0030,0x0030,14,2,0.1250,14,1,0xF,0xF,0xD,0xF,0xF,0xF,0x2,0x0,R0200-C1100,NF-SF-WD-EF,MF_0030,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;VERTICAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
71,VIS01_MP_0024,0x0024,14,2,0.1250,14,1,0xF,0xB,0xF,0xF,0xF,0xF,0x0,0x0,R1100-C0110,NF-SB-WF-EF,MF_0024,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
72,VIS01_MP_0021,0x0021,14,2,0.1250,14,1,0xF,0xE,0xE,0xF,0xF,0xF,0x1,0x0,R1100-C1100,NF-SE-WE-EF,MF_0021,QUIET_13_16,SIDES_4_FULL_2,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;CONNECTED_OPEN;LOW_DENSITY,true,1676
73,VIS01_MP_0022,0x0022,14,2,0.1250,14,1,0xF,0xD,0xF,0xF,0xF,0xF,0x0,0x0,R1100-C0200,NF-SD-WF-EF,MF_0022,QUIET_13_16,SIDES_4_FULL_3,FULL_FLOOR_SUPPORT,STRUCTURE_ONLY,CHUNK_PATH;HORIZONTAL_THROUGH;CONNECTED_OPEN;LOW_DENSITY,true,1676
