SourceId,SourceMaskReference,OriginalReference,Transform,FinalCandidateId,Decision
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_168CCC357CD5","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_C65915EF6FA4","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_D1CC491A6240","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_D1CC491A6240","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_D1CC491A6240","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_D1CC491A6240","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_822BA4E06903","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_9C2627C00B8C","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_C1EDFA4D95F8","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_6B2FBAEF9D6E","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_9C2627C00B8C","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_822BA4E06903","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_6B2FBAEF9D6E","RETAINED_RMAP07_FIRST_POOL"
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_C1EDFA4D95F8","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0000","0x0000","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_991204FBA2B6","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_991204FBA2B6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0003","0x0003","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_6524E405A6E7","RETAINED_FINAL_POOL"
"VIS01_MP_0005","0x0005","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_782C6350D0BD","RETAINED_FINAL_POOL"
"VIS01_MP_0006","0x0006","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_62EFACCCD8AD","RETAINED_FINAL_POOL"
"VIS01_MP_0009","0x0009","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_D28E0A939044","RETAINED_FINAL_POOL"
"VIS01_MP_000A","0x000A","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_62866FCA4CE5","RETAINED_FINAL_POOL"
"VIS01_MP_000C","0x000C","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_97714620E60F","RETAINED_FINAL_POOL"
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_8B83971CF6C7","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0011","0x0011","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_8B83971CF6C7","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_9150F779FA44","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_A97A420107D6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_33DA78CFFC2B","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_BA09823B32F1","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0014","0x0014","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_BA09823B32F1","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_29E3E69359AF","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_286521366D7E","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_9B12418EC848","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0018","0x0018","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_27786F255580","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0018","0x0018","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_27786F255580","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0018","0x0018","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_0A655882772A","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_001B","0x001B","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_041A70A53FB5","RETAINED_FINAL_POOL"
"VIS01_MP_0021","0x0021","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_E7DFA906C0BB","RETAINED_FINAL_POOL"
"VIS01_MP_0022","0x0022","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_C138B99F3305","RETAINED_FINAL_POOL"
"VIS01_MP_0024","0x0024","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_1A3DAC029006","RETAINED_FINAL_POOL"
"VIS01_MP_0028","0x0028","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_EA1B9498E3D0","RETAINED_FINAL_POOL"
"VIS01_MP_0030","0x0030","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_65D391A441A9","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0041","0x0041","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_253DE1A10D94","RETAINED_FINAL_POOL"
"VIS01_MP_0042","0x0042","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_E3249F31D673","RETAINED_FINAL_POOL"
"VIS01_MP_0044","0x0044","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_C189F31FF115","RETAINED_FINAL_POOL"
"VIS01_MP_0046","0x0046","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_54D9535F2C9A","RETAINED_FINAL_POOL"
"VIS01_MP_0048","0x0048","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_0CC4F118283D","RETAINED_FINAL_POOL"
"VIS01_MP_004F","0x004F","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_87129E67AB3F","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0050","0x0050","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_77E485E9AA19","RETAINED_FINAL_POOL"
"VIS01_MP_0060","0x0060","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_ADE9F281FBF3","RETAINED_FINAL_POOL"
"VIS01_MP_0061","0x0061","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_C36CC5D767FC","RETAINED_FINAL_POOL"
"VIS01_MP_0064","0x0064","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_5DFF5B1B969D","RETAINED_FINAL_POOL"
"VIS01_MP_006F","0x006F","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_ABBCB5066017","RETAINED_FINAL_POOL"
"VIS01_MP_0070","0x0070","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_6CB811954CC2","RETAINED_FINAL_POOL"
"VIS01_MP_0081","0x0081","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_F9E772DB0338","RETAINED_FINAL_POOL"
"VIS01_MP_0082","0x0082","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_29E3E69359AF","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_9150F779FA44","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0088","0x0088","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_9150F779FA44","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_8B83971CF6C7","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_33DA78CFFC2B","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_A97A420107D6","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_0090","0x0090","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_4ECAD891BD9D","RETAINED_FINAL_POOL"
"VIS01_MP_00A0","0x00A0","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_409337B57969","RETAINED_FINAL_POOL"
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_383820A9B74A","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_00C0","0x00C0","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_383820A9B74A","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_65D391A441A9","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_87138F3D0B1B","RETAINED_RMAP07_FIRST_POOL"
"VIS01_MP_00EF","0x00EF","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_9473254B6E5D","RETAINED_FINAL_POOL"
"VIS01_MP_0102","0x0102","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_7DFF049FCC44","RETAINED_FINAL_POOL"
"VIS01_MP_0108","0x0108","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_6DC7FEDE4A71","RETAINED_FINAL_POOL"
"VIS01_MP_0110","0x0110","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_F00A8A4105A9","RETAINED_FINAL_POOL"
"VIS01_MP_0120","0x0120","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_8FD658AA88AB","RETAINED_FINAL_POOL"
"VIS01_MP_0180","0x0180","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_59AA1F585FB2","RETAINED_FINAL_POOL"
"VIS01_MP_0201","0x0201","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_E7345864DD29","RETAINED_FINAL_POOL"
"VIS01_MP_0202","0x0202","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_E89E8E452B69","RETAINED_FINAL_POOL"
"VIS01_MP_0203","0x0203","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","","EXCLUDED_AFTER_FIXED_500_CAP_AND_RMAP07_RETENTION"
"VIS01_MP_0204","0x0204","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_C0C2FC8CDCF7","RETAINED_FINAL_POOL"
"VIS01_MP_0208","0x0208","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_E7C36CD78975","RETAINED_FINAL_POOL"
"VIS01_MP_0210","0x0210","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_55513D6CB77A","RETAINED_FINAL_POOL"
"VIS01_MP_0220","0x0220","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_26DF04E23AA9","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_0229","0x0229","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_6AAB1CA33AA1","RETAINED_FINAL_POOL"
"VIS01_MP_022A","0x022A","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_EB4ECFC8D8A8","RETAINED_FINAL_POOL"
"VIS01_MP_0240","0x0240","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_EAAEB09A6D65","RETAINED_FINAL_POOL"
"VIS01_MP_0273","0x0273","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_C318ED60933E","RETAINED_FINAL_POOL"
"VIS01_MP_0280","0x0280","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_F9BF275D046F","RETAINED_FINAL_POOL"
"VIS01_MP_028B","0x028B","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_310BC5FA97B9","RETAINED_FINAL_POOL"
"VIS01_MP_0300","0x0300","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP07_87138F3D0B1B","MERGED_WITH_RETAINED_RMAP07_16_CELL_GEOMETRY"
"VIS01_MP_032E","0x032E","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_6B346E3BF16F","RETAINED_FINAL_POOL"
"VIS01_MP_037F","0x037F","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_D3E1E5E1784B","RETAINED_FINAL_POOL"
"VIS01_MP_0401","0x0401","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_75B8D048DD98","RETAINED_FINAL_POOL"
"VIS01_MP_0402","0x0402","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_9C1CAA1D3173","RETAINED_FINAL_POOL"
"VIS01_MP_0404","0x0404","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_8658014B7324","RETAINED_FINAL_POOL"
"VIS01_MP_0408","0x0408","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_167489D71161","RETAINED_FINAL_POOL"
"VIS01_MP_040F","0x040F","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_854217BA344E","RETAINED_FINAL_POOL"
"VIS01_MP_0410","0x0410","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_138AE74D761B","RETAINED_FINAL_POOL"
"VIS01_MP_0420","0x0420","Assets/_Game/Map/Runtime/WorldGeneration/MoonPalace/Visualization/MoonPalaceMicroPatternCandidateLibrary.cs","R0","RMAP11_97D1F3B0115D","RETAINED_FINAL_POOL"
