cluster_id,spine_variant_id,high_route_id,edge_order,edge_id
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,HIGH_DOUGH_QUIET_SHELF,0,EDGE_DOUGH_QUIET_SHELF_ALT_HIGH_00
TC_DOUGH_QUIET_SHELF,SPINE_DOUGH_QUIET_SHELF_ALT,HIGH_DOUGH_QUIET_SHELF,1,EDGE_DOUGH_QUIET_SHELF_ALT_HIGH_01
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,HIGH_DOUGH_SOFT_POCKET,0,EDGE_DOUGH_SOFT_POCKET_ALT_HIGH_00
TC_DOUGH_SOFT_POCKET,SPINE_DOUGH_SOFT_POCKET_ALT,HIGH_DOUGH_SOFT_POCKET,1,EDGE_DOUGH_SOFT_POCKET_ALT_HIGH_01
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,HIGH_DOUGH_STICKY_RISE_RECOVERY,0,EDGE_DOUGH_STICKY_RISE_RECOVERY_ALT_HIGH_00
TC_DOUGH_STICKY_RISE_RECOVERY,SPINE_DOUGH_STICKY_RISE_RECOVERY_ALT,HIGH_DOUGH_STICKY_RISE_RECOVERY,1,EDGE_DOUGH_STICKY_RISE_RECOVERY_ALT_HIGH_01
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,HIGH_MILL_BEAM_OVERHANG,0,EDGE_MILL_BEAM_OVERHANG_ALT_HIGH_00
TC_MILL_BEAM_OVERHANG,SPINE_MILL_BEAM_OVERHANG_ALT,HIGH_MILL_BEAM_OVERHANG,1,EDGE_MILL_BEAM_OVERHANG_ALT_HIGH_01
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,HIGH_MILL_BROKEN_PILLAR,0,EDGE_MILL_BROKEN_PILLAR_ALT_HIGH_00
TC_MILL_BROKEN_PILLAR,SPINE_MILL_BROKEN_PILLAR_ALT,HIGH_MILL_BROKEN_PILLAR,1,EDGE_MILL_BROKEN_PILLAR_ALT_HIGH_01
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,HIGH_MILL_ORTHOGONAL_SHAFT_RECOVERY,0,EDGE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT_HIGH_00
TC_MILL_ORTHOGONAL_SHAFT_RECOVERY,SPINE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT,HIGH_MILL_ORTHOGONAL_SHAFT_RECOVERY,1,EDGE_MILL_ORTHOGONAL_SHAFT_RECOVERY_ALT_HIGH_01
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,HIGH_MILL_QUIET_BEAM,0,EDGE_MILL_QUIET_BEAM_ALT_HIGH_00
TC_MILL_QUIET_BEAM,SPINE_MILL_QUIET_BEAM_ALT,HIGH_MILL_QUIET_BEAM,1,EDGE_MILL_QUIET_BEAM_ALT_HIGH_01
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,HIGH_ROOT_FORKED_CANOPY_RECOVERY,0,EDGE_ROOT_FORKED_CANOPY_RECOVERY_ALT_HIGH_00
TC_ROOT_FORKED_CANOPY_RECOVERY,SPINE_ROOT_FORKED_CANOPY_RECOVERY_ALT,HIGH_ROOT_FORKED_CANOPY_RECOVERY,1,EDGE_ROOT_FORKED_CANOPY_RECOVERY_ALT_HIGH_01
TC_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_ALT,HIGH_ROOT_HOLLOW_POCKET,0,EDGE_ROOT_HOLLOW_POCKET_ALT_HIGH_00
TC_ROOT_HOLLOW_POCKET,SPINE_ROOT_HOLLOW_POCKET_ALT,HIGH_ROOT_HOLLOW_POCKET,1,EDGE_ROOT_HOLLOW_POCKET_ALT_HIGH_01
TC_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_ALT,HIGH_ROOT_QUIET_ARCH,0,EDGE_ROOT_QUIET_ARCH_ALT_HIGH_00
TC_ROOT_QUIET_ARCH,SPINE_ROOT_QUIET_ARCH_ALT,HIGH_ROOT_QUIET_ARCH,1,EDGE_ROOT_QUIET_ARCH_ALT_HIGH_01
TC_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_ALT,HIGH_ROOT_VERTICAL_TUNNEL,0,EDGE_ROOT_VERTICAL_TUNNEL_ALT_HIGH_00
TC_ROOT_VERTICAL_TUNNEL,SPINE_ROOT_VERTICAL_TUNNEL_ALT,HIGH_ROOT_VERTICAL_TUNNEL,1,EDGE_ROOT_VERTICAL_TUNNEL_ALT_HIGH_01
