cluster_id,role_anchor_id,role_kind,local_x,local_y
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_ENTRY,ENTRY,0,1
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_EXIT,EXIT,58,0
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_RECOVERY,RECOVERY,54,1
TC_ROOT_FORKED_CANOPY_RECOVERY,ROLE_ROOT_FORKED_CANOPY_RECOVERY_REWARD,REWARD,29,2
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_BUILD_UP,BUILD_UP,4,1
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_CORE,CORE,14,1
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_ENTRY,ENTRY,0,1
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_EXIT,EXIT,34,7
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_RECOVERY,RECOVERY,30,1
TC_ROOT_HOLLOW_POCKET,ROLE_ROOT_HOLLOW_POCKET_REWARD,REWARD,17,2
TC_ROOT_QUIET_ARCH,ROLE_ROOT_QUIET_ARCH_BUILD_UP,BUILD_UP,4,1
TC_ROOT_QUIET_ARCH,ROLE_ROOT_QUIET_ARCH_CORE,CORE,14,1
TC_ROOT_QUIET_ARCH,ROLE_ROOT_QUIET_ARCH_ENTRY,ENTRY,0,1
TC_ROOT_QUIET_ARCH,ROLE_ROOT_QUIET_ARCH_EXIT,EXIT,23,1
TC_ROOT_QUIET_ARCH,ROLE_ROOT_QUIET_ARCH_RECOVERY,RECOVERY,18,1
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_BUILD_UP,BUILD_UP,4,1
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_CORE,CORE,14,1
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_ENTRY,ENTRY,1,7
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_EXIT,EXIT,46,0
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_RECOVERY,RECOVERY,42,1
TC_ROOT_VERTICAL_TUNNEL,ROLE_ROOT_VERTICAL_TUNNEL_REWARD,REWARD,17,2
