id,recipe,x,y,width,height,parent,depth,mirror
SV5_INFILL_ROOM_00cf93b8e5daaa4b04e1,SMALL_CAVE,104,100,20,12,SV5_OPTIONAL_09,1,True
SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1,LANDING,196,24,16,16,SV5_OPTIONAL_06,1,True
SV5_INFILL_ROOM_00e46d5d0ba666a9579a,EMPTY_ROOM,144,24,16,12,SV5_INFILL_ROOM_03f794e9844c481d8faa,3,True
SV5_INFILL_ROOM_00e5c1799c48f53348c3,DEAD_END,536,88,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_00e883e8005721574f5b,EMPTY_ROOM,120,332,16,12,SV5_INFILL_ROOM_0909a36ec6e7704afdde,4,False
SV5_INFILL_ROOM_00fe6dfb4eef486a889c,LANDING,572,88,16,16,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_0101a927b6208b1c30a1,EMPTY_ROOM,72,316,16,12,SV5_INFILL_ROOM_020c68eab2640b2d5781,2,False
SV5_INFILL_ROOM_01122f644626dea695c0,EMPTY_ROOM,36,268,16,12,SV5_OPTIONAL_11,1,True
SV5_INFILL_ROOM_012515d71cbb8a4aa159,DEAD_END,492,24,16,12,SV5_INFILL_ROOM_04b3ee2d2f798b163c8e,2,True
SV5_INFILL_ROOM_01436909100db22b451e,EMPTY_ROOM,144,236,16,12,SV5_OPTIONAL_10,1,True
SV5_INFILL_ROOM_014900279cc1ebc8f1c2,EMPTY_ROOM,584,308,16,12,SV5_OPTIONAL_02,1,True
SV5_INFILL_ROOM_014ea698f88348a9d9a6,DEAD_END,584,244,16,12,SV5_OPTIONAL_03,1,False
SV5_INFILL_ROOM_014ff8b35cb7a06ee610,LANDING,96,188,16,16,SV5_OPTIONAL_09,1,True
SV5_INFILL_ROOM_015c9cef18a476102e65,EMPTY_ROOM,84,216,16,12,SV5_INFILL_ROOM_0c97bc8d682a1b5e9ce0,3,True
SV5_INFILL_ROOM_015e047734bb1781d7ff,LANDING,48,104,16,16,SV5_INFILL_ROOM_0cf3150abb2be197bdc3,3,True
SV5_INFILL_ROOM_016130f8c175d446c415,LANDING,8,76,16,16,SV5_INFILL_ROOM_041cc40ca34ac9669c39,4,True
SV5_INFILL_ROOM_016e566fdda939779b86,DEAD_END,584,348,16,12,SV5_OPTIONAL_03,1,True
SV5_INFILL_ROOM_0172fae7eed3ae487f8f,SMALL_CAVE,144,160,20,12,SV5_OPTIONAL_09,1,False
SV5_INFILL_ROOM_0185002ddaf865f0355b,DEAD_END,4,132,16,12,SV5_INFILL_ROOM_029b432f4140a9c49192,4,True
SV5_INFILL_ROOM_018765724e6a988ed29c,LANDING,516,388,16,16,SV5_INFILL_ROOM_04683155dc682c4ccd05,4,False
SV5_INFILL_ROOM_0193b889fad304bdfe2d,DEAD_END,444,76,16,12,SV5_INFILL_ROOM_0081ac017846ab0e0d78,4,True
SV5_INFILL_ROOM_019f7dfb6c5038fd6bbb,EMPTY_ROOM,184,8,16,12,SV5_OPTIONAL_06,1,True
SV5_INFILL_ROOM_01ab2e7fdecd01da9567,EMPTY_ROOM,172,340,16,12,SV5_INFILL_ROOM_0017896242681bbba695,6,False
SV5_INFILL_ROOM_01ab4f357f1a1a51e05d,EMPTY_ROOM,224,20,16,12,SV5_OPTIONAL_06,1,False
SV5_INFILL_ROOM_01ba3c3a3c17419084a1,DEAD_END,108,160,16,12,SV5_OPTIONAL_09,1,True
SV5_INFILL_ROOM_01bb1b07c551a2aea448,EMPTY_ROOM,72,360,16,12,SV5_INFILL_ROOM_033878718f1e33807663,2,False
SV5_INFILL_ROOM_01c1477b3c55cfc6e110,EMPTY_ROOM,200,128,16,12,SV5_INFILL_ROOM_02587486b3c152380c1b,3,False
SV5_INFILL_ROOM_01ddd88472d49aff5c99,SMALL_CAVE,20,60,20,12,SV5_INFILL_ROOM_05c86cf090f60cb83689,7,True
SV5_INFILL_ROOM_01dff27f34909d8482fd,DEAD_END,304,344,16,12,SV5_INFILL_ROOM_045401b7a790b2dc7e82,11,False
SV5_INFILL_ROOM_01f1deda8d91f26fc910,DEAD_END,168,280,16,12,SV5_INFILL_ROOM_182a17cb890b879d85a4,2,False
SV5_INFILL_ROOM_01fd763216564c4ab82e,EMPTY_ROOM,76,52,16,12,SV5_INFILL_ROOM_0004120110f44eef5c72,5,True
SV5_INFILL_ROOM_020c68eab2640b2d5781,SMALL_CAVE,48,320,20,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_0211dda6690845617294,EMPTY_ROOM,188,52,16,12,SV5_OPTIONAL_06,1,True
SV5_INFILL_ROOM_02131663b956c4b63225,LANDING,140,4,16,16,SV5_INFILL_ROOM_0024793eb465e7cf43f8,3,True
SV5_INFILL_ROOM_021b4048fa47706aeaf6,EMPTY_ROOM,56,168,16,12,SV5_INFILL_ROOM_03e607e34238c975c8c8,3,True
SV5_INFILL_ROOM_02284733d117494c6d27,DEAD_END,44,348,16,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_02310f3878fc359b92be,EMPTY_ROOM,24,256,16,12,SV5_INFILL_ROOM_0074c7f66d6a87c31d5f,2,True
SV5_INFILL_ROOM_02317cbd349a906d55ab,LANDING,180,296,16,16,SV5_INFILL_ROOM_02bb77b38d2830e3098a,2,False
SV5_INFILL_ROOM_0233efc146f9a48950d8,DEAD_END,448,380,16,12,SV5_OPTIONAL_01,1,False
SV5_INFILL_ROOM_0249a8d4b3775d965893,EMPTY_ROOM,224,76,16,12,SV5_OPTIONAL_06,1,False
SV5_INFILL_ROOM_02515634e73d42bbbebe,DEAD_END,196,192,16,12,SV5_INFILL_ROOM_0096ec3a665cb4efc92b,2,False
SV5_INFILL_ROOM_02587486b3c152380c1b,DEAD_END,172,136,16,12,SV5_INFILL_ROOM_1c4c6b34887f12eefac3,2,False
SV5_INFILL_ROOM_026b4248321dee685078,SMALL_CAVE,600,100,20,12,SV5_INFILL_ROOM_00fe6dfb4eef486a889c,2,False
SV5_INFILL_ROOM_0274815fcd6818f05a6a,SMALL_CAVE,88,148,20,12,SV5_OPTIONAL_09,1,True
SV5_INFILL_ROOM_028a34c9c8e65cb1c636,EMPTY_ROOM,216,252,16,12,SV5_OPTIONAL_11,1,False
SV5_INFILL_ROOM_029b432f4140a9c49192,EMPTY_ROOM,36,128,16,12,SV5_INFILL_ROOM_055856717f4139baf16b,3,True
SV5_INFILL_ROOM_02ae7414022cdad35012,LANDING,488,92,16,16,SV5_INFILL_ROOM_174a5fe09e7fd27dfbba,3,True
SV5_INFILL_ROOM_02b3ff92c2cf8349563c,EMPTY_ROOM,364,392,16,12,SV5_OPTIONAL_TO_VILLAGE,1,False
SV5_INFILL_ROOM_02bb145ab70126550c47,EMPTY_ROOM,216,232,16,12,SV5_OPTIONAL_11,1,False
SV5_INFILL_ROOM_02bb77b38d2830e3098a,EMPTY_ROOM,144,296,16,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_02c005e09e1c31c6fd00,SMALL_CAVE,100,308,20,12,SV5_INFILL_ROOM_0101a927b6208b1c30a1,3,False
SV5_INFILL_ROOM_02c450bd7f02577d51cc,SMALL_CAVE,16,96,20,12,SV5_INFILL_ROOM_015e047734bb1781d7ff,4,True
SV5_INFILL_ROOM_02c9b2d6e7ba5ded15f4,SMALL_CAVE,72,84,20,12,SV5_INFILL_ROOM_05ca1ce41aa5fccf5e3e,2,True
SV5_INFILL_ROOM_02df71f8b6dc6956e1bd,LANDING,228,276,16,16,SV5_INFILL_ROOM_088b52ae78584124831f,4,False
SV5_INFILL_ROOM_030a02d7aa5a692e4bf7,DEAD_END,8,356,16,12,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_0315a5303806deccb68e,SMALL_CAVE,328,376,20,12,SV5_OPTIONAL_TO_VILLAGE,1,True
SV5_INFILL_ROOM_031d1d62b78c134dc1c8,DEAD_END,128,312,16,12,SV5_INFILL_ROOM_02c005e09e1c31c6fd00,4,False
SV5_INFILL_ROOM_033678ff7e9c05d21528,SMALL_CAVE,144,116,20,12,SV5_OPTIONAL_09,1,False
SV5_INFILL_ROOM_033878718f1e33807663,SMALL_CAVE,44,368,20,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_0338f39aba7496f3ee5e,EMPTY_ROOM,468,348,16,12,SV5_INFILL_ROOM_05300313b23b3b52092c,3,False
SV5_INFILL_ROOM_03457115457eb0b59c96,SMALL_CAVE,28,160,20,12,SV5_INFILL_ROOM_021b4048fa47706aeaf6,4,True
SV5_INFILL_ROOM_0348461d960659e46de4,SMALL_CAVE,100,4,20,12,SV5_INFILL_ROOM_02131663b956c4b63225,4,True
SV5_INFILL_ROOM_03514fe3df18dd932b15,DEAD_END,132,364,16,12,SV5_INFILL_ROOM_0093b9c559d99efd34f8,8,True
SV5_INFILL_ROOM_03850b67c3244694a906,LANDING,4,204,16,16,SV5_INFILL_ROOM_0eed68767be005747705,4,True
SV5_INFILL_ROOM_0385fb7a684e6007e3c3,LANDING,168,112,16,16,SV5_INFILL_ROOM_033678ff7e9c05d21528,2,False
SV5_INFILL_ROOM_03b08efc4624bc79bd40,EMPTY_ROOM,12,376,16,12,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_03bff8d63e21cbc62be9,LANDING,224,48,16,16,SV5_OPTIONAL_06,1,False
SV5_INFILL_ROOM_03e607e34238c975c8c8,SMALL_CAVE,76,164,20,12,SV5_INFILL_ROOM_01ba3c3a3c17419084a1,2,True
SV5_INFILL_ROOM_03eb84acec7e9db8f52e,EMPTY_ROOM,52,216,16,12,SV5_INFILL_ROOM_015c9cef18a476102e65,4,True
SV5_INFILL_ROOM_03f794e9844c481d8faa,SMALL_CAVE,168,28,20,12,SV5_INFILL_ROOM_00d2b967a3d3b2f6b4b1,2,True
SV5_INFILL_ROOM_03ffbc2c3bc5f015a247,EMPTY_ROOM,228,168,16,12,SV5_INFILL_ROOM_046d6d59228be1a29d93,4,False
SV5_INFILL_ROOM_041cc40ca34ac9669c39,DEAD_END,40,80,16,12,SV5_INFILL_ROOM_02c9b2d6e7ba5ded15f4,3,True
SV5_INFILL_ROOM_042225214705273a5475,DEAD_END,436,28,16,12,SV5_INFILL_ROOM_0740dfaa546673a8b5c1,4,True
SV5_INFILL_ROOM_04306d96a9442be86a73,EMPTY_ROOM,208,208,16,12,SV5_INFILL_ROOM_0033f24aa202678fd527,2,False
SV5_INFILL_ROOM_04411f6d27775360dabd,LANDING,184,316,16,16,SV5_INFILL_ROOM_0506fdfb6b446fb73eeb,6,False
SV5_INFILL_ROOM_04458846b0c9a081817d,SMALL_CAVE,188,84,20,12,SV5_OPTIONAL_07,1,False
SV5_INFILL_ROOM_045401b7a790b2dc7e82,EMPTY_ROOM,280,348,16,12,SV5_INFILL_ROOM_0a107f903c1e96b3791e,10,False
SV5_INFILL_ROOM_04683155dc682c4ccd05,EMPTY_ROOM,488,384,16,12,SV5_INFILL_ROOM_009ef3f64388d61dce55,3,False
SV5_INFILL_ROOM_046863d4c69cd86e081e,EMPTY_ROOM,520,72,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_046d6d59228be1a29d93,EMPTY_ROOM,196,168,16,12,SV5_INFILL_ROOM_04aa6c25103dea14b6e1,3,False
SV5_INFILL_ROOM_0478d2bded42dc4c9dba,DEAD_END,492,352,16,12,SV5_OPTIONAL_02,1,True
SV5_INFILL_ROOM_04a89a1ea13d228de7cf,SMALL_CAVE,16,40,20,12,SV5_INFILL_ROOM_1021773e205f6254b33f,7,True
SV5_INFILL_ROOM_04aa6c25103dea14b6e1,LANDING,172,160,16,16,SV5_INFILL_ROOM_0172fae7eed3ae487f8f,2,False
SV5_INFILL_ROOM_04b3ee2d2f798b163c8e,EMPTY_ROOM,524,20,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_050679a438450aaa44e4,EMPTY_ROOM,100,360,16,12,SV5_INFILL_ROOM_01bb1b07c551a2aea448,3,False
SV5_INFILL_ROOM_0506fdfb6b446fb73eeb,DEAD_END,160,316,16,12,SV5_INFILL_ROOM_031d1d62b78c134dc1c8,5,False
SV5_INFILL_ROOM_050904725fdcd82ff28e,SMALL_CAVE,572,72,20,12,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_050dc7e3b0d32cf22249,EMPTY_ROOM,16,20,16,12,SV5_INFILL_ROOM_071e519de6c295adb1fe,7,True
SV5_INFILL_ROOM_05300313b23b3b52092c,LANDING,436,348,16,16,SV5_INFILL_ROOM_002847beba22c27fafc7,2,False
SV5_INFILL_ROOM_0555f7159cc5807eccd0,LANDING,140,208,16,16,SV5_OPTIONAL_10,1,True
SV5_INFILL_ROOM_055856717f4139baf16b,LANDING,68,124,16,16,SV5_INFILL_ROOM_005a04bda9ede05b1190,2,True
SV5_INFILL_ROOM_0573f914122762e2eb87,EMPTY_ROOM,416,248,16,12,SV5_OPTIONAL_TO_VILLAGE,1,True
SV5_INFILL_ROOM_057683d5fe82e4d2d316,SMALL_CAVE,220,348,20,12,SV5_INFILL_ROOM_062a3c2e546c33beff13,8,False
SV5_INFILL_ROOM_0584c23697100b09d0ae,SMALL_CAVE,164,48,20,12,SV5_INFILL_ROOM_0211dda6690845617294,2,True
SV5_INFILL_ROOM_05885ce148e473a135b3,DEAD_END,536,152,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_0591ab8eb2a9227b48a9,DEAD_END,584,292,16,12,SV5_OPTIONAL_03,1,False
SV5_INFILL_ROOM_05c2f6d74e4669826a3f,LANDING,248,364,16,16,SV5_INFILL_ROOM_0721ca040a4fb03db0b5,4,True
SV5_INFILL_ROOM_05c86cf090f60cb83689,SMALL_CAVE,44,60,20,12,SV5_INFILL_ROOM_01fd763216564c4ab82e,6,True
SV5_INFILL_ROOM_05ca1ce41aa5fccf5e3e,SMALL_CAVE,96,80,20,12,SV5_OPTIONAL_08,1,True
SV5_INFILL_ROOM_06221a856d3548df6440,EMPTY_ROOM,536,44,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_062a3c2e546c33beff13,EMPTY_ROOM,192,344,16,12,SV5_INFILL_ROOM_01ab2e7fdecd01da9567,7,False
SV5_INFILL_ROOM_062bdedbace97bb71fc4,LANDING,568,388,16,16,SV5_INFILL_ROOM_0038cd07afe0acfefffa,6,False
SV5_INFILL_ROOM_068c7c9992134cb31e50,DEAD_END,220,364,16,12,SV5_INFILL_ROOM_05c2f6d74e4669826a3f,5,True
SV5_INFILL_ROOM_069bc950dfc606260497,DEAD_END,416,272,16,12,SV5_OPTIONAL_TO_VILLAGE,1,True
SV5_INFILL_ROOM_06b5e74710bf880c80b2,DEAD_END,120,248,16,12,SV5_OPTIONAL_11,1,False
SV5_INFILL_ROOM_06d7a128bf1180015fa4,LANDING,16,220,16,16,SV5_INFILL_ROOM_00a7e77543f9bf76279e,6,True
SV5_INFILL_ROOM_071e519de6c295adb1fe,LANDING,52,16,16,16,SV5_INFILL_ROOM_0b37330b20cc0a7ce9c9,6,True
SV5_INFILL_ROOM_0721ca040a4fb03db0b5,SMALL_CAVE,268,364,20,12,SV5_INFILL_ROOM_004a21fe679a80497ef7,3,True
SV5_INFILL_ROOM_0740dfaa546673a8b5c1,DEAD_END,456,24,16,12,SV5_INFILL_ROOM_012515d71cbb8a4aa159,3,True
SV5_INFILL_ROOM_077c8203eda478d84a8a,SMALL_CAVE,180,364,20,12,SV5_INFILL_ROOM_068c7c9992134cb31e50,6,True
SV5_INFILL_ROOM_07ae130cd11db41e86f7,DEAD_END,224,128,16,12,SV5_INFILL_ROOM_01c1477b3c55cfc6e110,4,False
SV5_INFILL_ROOM_07af10cb4acde894de2d,SMALL_CAVE,132,48,20,12,SV5_INFILL_ROOM_0584c23697100b09d0ae,3,True
SV5_INFILL_ROOM_07e007d06ec3f751ba08,EMPTY_ROOM,604,64,16,12,SV5_INFILL_ROOM_050904725fdcd82ff28e,2,False
SV5_INFILL_ROOM_07fb3ac254e765673737,SMALL_CAVE,576,124,20,12,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_085ccdd2aab522478401,EMPTY_ROOM,604,116,16,12,SV5_INFILL_ROOM_07fb3ac254e765673737,2,False
SV5_INFILL_ROOM_08841863b709bc42cfdb,DEAD_END,444,396,16,12,SV5_OPTIONAL_01,1,False
SV5_INFILL_ROOM_088b52ae78584124831f,DEAD_END,196,272,16,12,SV5_INFILL_ROOM_01f1deda8d91f26fc910,3,False
SV5_INFILL_ROOM_088f25cbc663d6d3b7a4,DEAD_END,364,364,16,12,SV5_OPTIONAL_00,1,True
SV5_INFILL_ROOM_0906eed53b6b0073b19f,EMPTY_ROOM,208,304,16,12,SV5_INFILL_ROOM_02317cbd349a906d55ab,3,False
SV5_INFILL_ROOM_0909a36ec6e7704afdde,LANDING,100,332,16,16,SV5_INFILL_ROOM_1b1a069b5675bac4c797,3,False
SV5_INFILL_ROOM_090d026d03e4c895fe2f,SMALL_CAVE,60,152,20,12,SV5_INFILL_ROOM_0274815fcd6818f05a6a,2,True
SV5_INFILL_ROOM_0975974720d7a7ab44f2,EMPTY_ROOM,436,100,16,12,SV5_INFILL_ROOM_0c69ae74af31ab21da75,5,True
SV5_INFILL_ROOM_09beaf6f785387326af3,EMPTY_ROOM,112,232,16,12,SV5_INFILL_ROOM_01436909100db22b451e,2,True
SV5_INFILL_ROOM_09cb99c9abddc7fd396e,SMALL_CAVE,592,228,20,12,SV5_OPTIONAL_03,1,False
SV5_INFILL_ROOM_0a0176e55952a06363c6,DEAD_END,156,248,16,12,SV5_OPTIONAL_11,1,False
SV5_INFILL_ROOM_0a107f903c1e96b3791e,EMPTY_ROOM,256,344,16,12,SV5_INFILL_ROOM_057683d5fe82e4d2d316,9,False
SV5_INFILL_ROOM_0a31f8299bcf4e6b93c9,DEAD_END,88,240,16,12,SV5_INFILL_ROOM_09beaf6f785387326af3,3,True
SV5_INFILL_ROOM_0a36c81afd9dafbde939,SMALL_CAVE,504,36,20,12,SV5_INFILL_ROOM_06221a856d3548df6440,2,True
SV5_INFILL_ROOM_0a876125fd11905b88fc,DEAD_END,228,196,16,12,SV5_INFILL_ROOM_02515634e73d42bbbebe,3,False
SV5_INFILL_ROOM_0ae6927cb63168de9a09,EMPTY_ROOM,132,172,16,12,SV5_OPTIONAL_09,1,False
SV5_INFILL_ROOM_0b37330b20cc0a7ce9c9,DEAD_END,76,12,16,12,SV5_INFILL_ROOM_0348461d960659e46de4,5,True
SV5_INFILL_ROOM_0b825bde62b1eee79257,LANDING,16,308,16,16,SV5_OPTIONAL_12,1,True
SV5_INFILL_ROOM_0c69ae74af31ab21da75,DEAD_END,456,100,16,12,SV5_INFILL_ROOM_02ae7414022cdad35012,4,True
SV5_INFILL_ROOM_0c74848c713648c23e1f,EMPTY_ROOM,416,32,16,12,SV5_INFILL_ROOM_042225214705273a5475,5,True
SV5_INFILL_ROOM_0c97bc8d682a1b5e9ce0,LANDING,108,208,16,16,SV5_INFILL_ROOM_0555f7159cc5807eccd0,2,True
SV5_INFILL_ROOM_0cf3150abb2be197bdc3,SMALL_CAVE,76,108,20,12,SV5_INFILL_ROOM_00cf93b8e5daaa4b04e1,2,True
SV5_INFILL_ROOM_0d63595f6cd949c1a932,DEAD_END,596,4,16,12,SV5_OPTIONAL_05,1,False
SV5_INFILL_ROOM_0d6757c798ece8ef8ef4,EMPTY_ROOM,500,76,16,12,SV5_INFILL_ROOM_046863d4c69cd86e081e,2,True
SV5_INFILL_ROOM_0d8cf875280fe40a6142,SMALL_CAVE,48,304,20,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_0dab25b86c4a80f558fb,LANDING,596,40,16,16,SV5_INFILL_ROOM_00b4a4fe56b192880b8c,2,False
SV5_INFILL_ROOM_0dbd53f17d6303f0e39e,LANDING,416,100,16,16,SV5_INFILL_ROOM_0975974720d7a7ab44f2,6,True
SV5_INFILL_ROOM_0e03c89fc44cb27c66ab,DEAD_END,536,184,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_0e1d0458b0d793642356,EMPTY_ROOM,420,68,16,12,SV5_INFILL_ROOM_0193b889fad304bdfe2d,5,True
SV5_INFILL_ROOM_0e316ce78212c7a7aa18,DEAD_END,64,196,16,12,SV5_INFILL_ROOM_014ff8b35cb7a06ee610,2,True
SV5_INFILL_ROOM_0eaf7a838d77541f94b1,DEAD_END,4,168,16,12,SV5_INFILL_ROOM_03457115457eb0b59c96,5,True
SV5_INFILL_ROOM_0eec20aa3a5b45e6fa41,LANDING,416,48,16,16,SV5_INFILL_ROOM_11ea6749b4a84e4590a4,5,True
SV5_INFILL_ROOM_0eed68767be005747705,LANDING,36,204,16,16,SV5_INFILL_ROOM_0e316ce78212c7a7aa18,3,True
SV5_INFILL_ROOM_0f17f69a0304b7b0be0e,EMPTY_ROOM,392,324,16,12,SV5_OPTIONAL_RETURN_TO_START,1,False
SV5_INFILL_ROOM_0f5736599d7acc3ea0a8,DEAD_END,536,120,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_0f8b0d9ffd48309ac358,SMALL_CAVE,452,364,20,12,SV5_INFILL_ROOM_39e7fd02f83a59cef59e,3,True
SV5_INFILL_ROOM_0fbf6eda874a033c0543,LANDING,324,344,16,16,SV5_INFILL_ROOM_01dff27f34909d8482fd,12,False
SV5_INFILL_ROOM_1021773e205f6254b33f,DEAD_END,48,36,16,12,SV5_INFILL_ROOM_12b7e28ceac0decd5997,6,True
SV5_INFILL_ROOM_10723a60cc9b706bf1c1,EMPTY_ROOM,564,344,16,12,SV5_INFILL_ROOM_016e566fdda939779b86,2,True
SV5_INFILL_ROOM_11ea6749b4a84e4590a4,LANDING,436,44,16,16,SV5_INFILL_ROOM_19a08e580d8eca79134f,4,True
SV5_INFILL_ROOM_12b7e28ceac0decd5997,SMALL_CAVE,72,28,20,12,SV5_INFILL_ROOM_007c17890d68e31350a9,5,True
SV5_INFILL_ROOM_136a2d749c8d7eddcf7e,EMPTY_ROOM,132,144,16,12,SV5_OPTIONAL_09,1,False
SV5_INFILL_ROOM_136ff74ff913d769873e,EMPTY_ROOM,584,260,16,12,SV5_OPTIONAL_03,1,False
SV5_INFILL_ROOM_150d787e360e62610bbb,EMPTY_ROOM,280,16,16,12,SV5_INFILL_ROOM_2192769697c59dae3b85,2,True
SV5_INFILL_ROOM_151318558e48aa217292,EMPTY_ROOM,536,200,16,12,SV5_OPTIONAL_04,1,True
SV5_INFILL_ROOM_16870ede36f0a6d666e9,DEAD_END,4,260,16,12,SV5_INFILL_ROOM_02310f3878fc359b92be,3,True
SV5_INFILL_ROOM_16de283f3026f06e031f,DEAD_END,572,108,16,12,SV5_OPTIONAL_04,1,False
SV5_INFILL_ROOM_16ef78d2a7097c01be03,EMPTY_ROOM,504,364,16,12,SV5_OPTIONAL_02,1,True
SV5_INFILL_ROOM_174a5fe09e7fd27dfbba,LANDING,512,96,16,16,SV5_INFILL_ROOM_00e5c1799c48f53348c3,2,True
SV5_INFILL_ROOM_182a17cb890b879d85a4,EMPTY_ROOM,148,280,16,12,SV5_OPTIONAL_12,1,False
SV5_INFILL_ROOM_190cf8428ea073484d80,DEAD_END,156,64,16,12,SV5_OPTIONAL_07,1,True
SV5_INFILL_ROOM_194f12f3b9fdea3e9c6d,DEAD_END,228,308,16,12,SV5_INFILL_ROOM_0906eed53b6b0073b19f,4,False
SV5_INFILL_ROOM_19964c61275fdbcb2d6a,EMPTY_ROOM,32,144,16,12,SV5_INFILL_ROOM_090d026d03e4c895fe2f,3,True
SV5_INFILL_ROOM_19a08e580d8eca79134f,SMALL_CAVE,468,40,20,12,SV5_INFILL_ROOM_0a36c81afd9dafbde939,3,True
SV5_INFILL_ROOM_1a82971bf4756de9b6e1,DEAD_END,388,364,16,12,SV5_OPTIONAL_00,1,False
