port_id,place_id,boundary_cells,anchor_x,anchor_y,direction,flow,clearance,condition,source_access_id,source_node_id,status,plan_digest
RMAP15_SITE_SEALBOSS_PORT_EXIT,RMAP15_SITE_SEALBOSS,560:311|560:312|560:313,560,312,Right,OUT,ONE_TILE_ENVELOPE,ALL_RESOURCES_AND_FORGE,RMAP15_SITE_SEALBOSS_PORT_EXIT,3a940bd17917accb8b86ed854685e791096281c72956719915c96ba4eba00b22|44a22e8a2bf4736c80a7476cdfcc927f62cfa6a507e5e5c2b962578b1291e105,PRESERVED_CORE_BINDING,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_START_PORT_ENTRY,RMAP15_SITE_START,416:340|416:341|416:342,416,341,Left,BOTH,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_START_PORT_ENTRY,9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47,PRESERVED_CORE_BINDING_AND_OPTIONAL_CIRCUIT,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_START_PORT_EXIT,RMAP15_SITE_START,431:340|431:341|431:342,431,341,Right,OUT,ONE_TILE_ENVELOPE,NONE,RMAP15_SITE_START_PORT_EXIT,9f205e3136515f7b3ccb77c93c7238adefb24933728722c9e29b0a0d6b6fcd47,UNUSED_WITH_REASON:RMAP16_PROTECTED_APPROACH_HAS_NO_DISTINCT_SAFE_BRANCH,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_VILLAGE_PORT_ENTRY,RMAP15_SITE_VILLAGE,492:277|492:278|492:279,492,278,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_VILLAGE,RMAP15_SITE_VILLAGE_PORT_ENTRY,VILLAGE_OPTIONAL,USED_BY_SV5_06_OPTIONAL_RETURN,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
RMAP15_SITE_VILLAGE_PORT_EXIT,RMAP15_SITE_VILLAGE,515:277|515:278|515:279,515,278,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_VILLAGE,RMAP15_SITE_VILLAGE_PORT_EXIT,VILLAGE_OPTIONAL,USED_BY_SV5_06_OPTIONAL_RETURN,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_00_CD742119708C091F_PORT_IN,SV5_PLACE_00_CD742119708C091F,64:284,64,284,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_00_CD742119708C091F,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_00_CD742119708C091F_PORT_OUT,SV5_PLACE_00_CD742119708C091F,123:284,123,284,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_00_CD742119708C091F,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_01_90434AD281C2436C_PORT_IN,SV5_PLACE_01_90434AD281C2436C,172:244,172,244,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_01_90434AD281C2436C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_01_90434AD281C2436C_PORT_OUT,SV5_PLACE_01_90434AD281C2436C,207:244,207,244,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_01_90434AD281C2436C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_02_248027C6A8E3699F_PORT_IN,SV5_PLACE_02_248027C6A8E3699F,440:280,440,280,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_02_248027C6A8E3699F,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_02_248027C6A8E3699F_PORT_OUT,SV5_PLACE_02_248027C6A8E3699F,463:280,463,280,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_02_248027C6A8E3699F,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_03_0F8471A53F911F6D_PORT_IN,SV5_PLACE_03_0F8471A53F911F6D,584:220,584,220,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_03_0F8471A53F911F6D,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_03_0F8471A53F911F6D_PORT_OUT,SV5_PLACE_03_0F8471A53F911F6D,619:220,619,220,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_03_0F8471A53F911F6D,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_04_CB2B17D440D58981_PORT_IN,SV5_PLACE_04_CB2B17D440D58981,44:396,44,396,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_04_CB2B17D440D58981,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_04_CB2B17D440D58981_PORT_OUT,SV5_PLACE_04_CB2B17D440D58981,79:396,79,396,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_04_CB2B17D440D58981,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_05_D9CF52573FB5C952_PORT_IN,SV5_PLACE_05_D9CF52573FB5C952,248:400,248,400,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_05_D9CF52573FB5C952,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_05_D9CF52573FB5C952_PORT_OUT,SV5_PLACE_05_D9CF52573FB5C952,271:400,271,400,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_05_D9CF52573FB5C952,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_06_26E6723B2540BBB9_PORT_IN,SV5_PLACE_06_26E6723B2540BBB9,388:396,388,396,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_06_26E6723B2540BBB9,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_06_26E6723B2540BBB9_PORT_OUT,SV5_PLACE_06_26E6723B2540BBB9,423:396,423,396,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_06_26E6723B2540BBB9,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_07_5EB723EDC1DC3862_PORT_IN,SV5_PLACE_07_5EB723EDC1DC3862,532:364,532,364,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_07_5EB723EDC1DC3862,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_07_5EB723EDC1DC3862_PORT_OUT,SV5_PLACE_07_5EB723EDC1DC3862,555:364,555,364,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_07_5EB723EDC1DC3862,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_08_3479F08218885852_PORT_IN,SV5_PLACE_08_3479F08218885852,136:84,136,84,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_08_3479F08218885852,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_08_3479F08218885852_PORT_OUT,SV5_PLACE_08_3479F08218885852,147:84,147,84,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_08_3479F08218885852,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_09_0BAFE3A7FA93D31C_PORT_IN,SV5_PLACE_09_0BAFE3A7FA93D31C,180:72,180,72,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_09_0BAFE3A7FA93D31C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_09_0BAFE3A7FA93D31C_PORT_OUT,SV5_PLACE_09_0BAFE3A7FA93D31C,195:72,195,72,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_09_0BAFE3A7FA93D31C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_10_F83FE72914C9299C_PORT_IN,SV5_PLACE_10_F83FE72914C9299C,352:22,352,22,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_10_F83FE72914C9299C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_10_F83FE72914C9299C_PORT_OUT,SV5_PLACE_10_F83FE72914C9299C,363:22,363,22,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_10_F83FE72914C9299C,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_11_E64745F7462770DD_PORT_IN,SV5_PLACE_11_E64745F7462770DD,560:8,560,8,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_11_E64745F7462770DD,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_11_E64745F7462770DD_PORT_OUT,SV5_PLACE_11_E64745F7462770DD,579:8,579,8,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_11_E64745F7462770DD,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_12_391D0CF7A4422180_PORT_IN,SV5_PLACE_12_391D0CF7A4422180,132:196,132,196,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_12_391D0CF7A4422180,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_12_391D0CF7A4422180_PORT_OUT,SV5_PLACE_12_391D0CF7A4422180,143:196,143,196,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_12_391D0CF7A4422180,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_13_97A1D09E3197EA92_PORT_IN,SV5_PLACE_13_97A1D09E3197EA92,224:114,224,114,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_13_97A1D09E3197EA92,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_13_97A1D09E3197EA92_PORT_OUT,SV5_PLACE_13_97A1D09E3197EA92,239:114,239,114,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_13_97A1D09E3197EA92,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_16_1B9B7A51A39C0013_PORT_IN,SV5_PLACE_16_1B9B7A51A39C0013,48:252,48,252,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_16_1B9B7A51A39C0013,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_16_1B9B7A51A39C0013_PORT_OUT,SV5_PLACE_16_1B9B7A51A39C0013,107:252,107,252,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_16_1B9B7A51A39C0013,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_32_1DC2EC5502596EA9_PORT_IN,SV5_PLACE_32_1DC2EC5502596EA9,160:284,160,284,Left,IN,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_32_1DC2EC5502596EA9,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
SV5_PLACE_32_1DC2EC5502596EA9_PORT_OUT,SV5_PLACE_32_1DC2EC5502596EA9,219:284,219,284,Right,OUT,ONE_TILE_ENVELOPE,OPTIONAL_ACTIONLESS,,SV5_PLACE_32_1DC2EC5502596EA9,PLANNED,ec00522aa6b6e8da780a2d0ae593a8805e80ddf196b16cd60bb5ec124574217b
