recipe_id,link_order,source_link_id,sample_order,phase,foot_x,foot_y,body_x,body_y,head_x,head_y,body_clear,head_clear,contract_accepted
JUMP012_MIXED_R0,2,JS_LINK_02,0,TAKEOFF,13,4,13,4,13,5,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,1,AIR,13,5,13,5,13,6,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,2,AIR,13,6,13,6,13,7,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,3,AIR,13,7,13,7,13,8,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,4,AIR,14,8,14,8,14,9,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,5,AIR,15,8,15,8,15,9,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,6,AIR,16,7,16,7,16,8,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,7,AIR,17,6,17,6,17,7,true,true,true
JUMP012_MIXED_R0,2,JS_LINK_02,8,LANDING,18,5,18,5,18,6,true,true,true
JUMP012_MIXED_R0,3,JS_LINK_03,0,TAKEOFF,18,5,18,5,18,6,true,true,true
JUMP012_MIXED_R0,3,JS_LINK_03,1,AIR,17,6,17,6,17,7,true,true,true
JUMP012_MIXED_R0,3,JS_LINK_03,2,HANG,16,6,16,6,16,7,true,true,true
JUMP012_MIXED_R0,3,JS_LINK_03,3,PULL_UP,15,7,15,7,15,8,true,true,true
JUMP012_MIXED_R0,4,JS_LINK_04,0,TAKEOFF,14,7,14,7,14,8,true,true,true
JUMP012_MIXED_R0,4,JS_LINK_04,1,AIR,13,8,13,8,13,9,true,true,true
JUMP012_MIXED_R0,4,JS_LINK_04,2,AIR,12,8,12,8,12,9,true,true,true
JUMP012_MIXED_R0,4,JS_LINK_04,3,LANDING,11,7,11,7,11,8,true,true,true
JUMP012_MIXED_R0,5,JS_LINK_05,0,TAKEOFF,9,7,9,7,9,8,true,true,true
JUMP012_MIXED_R0,5,JS_LINK_05,1,AIR,8,8,8,8,8,9,true,true,true
JUMP012_MIXED_R0,5,JS_LINK_05,2,AIR,7,8,7,8,7,9,true,true,true
JUMP012_MIXED_R0,5,JS_LINK_05,3,LANDING,6,8,6,8,6,9,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,0,TAKEOFF,5,8,5,8,5,9,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,1,AIR,5,9,5,9,5,10,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,2,AIR,5,10,5,10,5,11,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,3,AIR,4,11,4,11,4,12,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,4,AIR,3,11,3,11,3,12,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,5,AIR,2,10,2,10,2,11,true,true,true
JUMP012_MIXED_R0,6,JS_LINK_06,6,LANDING,1,9,1,9,1,10,true,true,true
JUMP012_MIXED_R0,7,JS_LINK_07,0,TAKEOFF,1,9,1,9,1,10,true,true,true
JUMP012_MIXED_R0,7,JS_LINK_07,1,AIR,2,10,2,10,2,11,true,true,true
JUMP012_MIXED_R0,7,JS_LINK_07,2,LANDING,3,10,3,10,3,11,true,true,true
JUMP012_MIXED_R0,8,JS_LINK_08,0,TAKEOFF,4,10,4,10,4,11,true,true,true
JUMP012_MIXED_R0,8,JS_LINK_08,1,AIR,5,11,5,11,5,12,true,true,true
JUMP012_MIXED_R0,8,JS_LINK_08,2,AIR,6,12,6,12,6,13,true,true,true
JUMP012_MIXED_R0,8,JS_LINK_08,3,LANDING,7,11,7,11,7,12,true,true,true
