route_ownership,owner_id,from_pattern_slot,to_pattern_slot,direction
MAIN,MAIN,65:11,66:11,East
MAIN,MAIN,66:11,67:11,East
MAIN,MAIN,67:11,68:11,East
MAIN,MAIN,68:11,69:11,East
MAIN,MAIN,69:11,70:11,East
MAIN,MAIN,70:11,71:11,East
MAIN,MAIN,71:11,72:11,East
MAIN,MAIN,72:11,73:11,East
MAIN,MAIN,73:11,74:11,East
MAIN,MAIN,74:11,75:11,East
MAIN,MAIN,75:11,76:11,East
MAIN,MAIN,76:11,77:11,East
MAIN,MAIN,21:12,21:13,North
MAIN,MAIN,61:12,61:11,South
MAIN,MAIN,21:13,21:14,North
MAIN,MAIN,61:13,61:12,South
MAIN,MAIN,21:14,21:15,North
MAIN,MAIN,61:14,61:13,South
MAIN,MAIN,21:15,21:16,North
MAIN,MAIN,61:15,61:14,South
MAIN,MAIN,21:16,21:17,North
MAIN,MAIN,60:16,61:16,East
MAIN,MAIN,61:16,61:15,South
MAIN,MAIN,21:17,21:18,North
MAIN,MAIN,60:17,60:16,South
MAIN,MAIN,21:18,21:19,North
MAIN,MAIN,60:18,60:17,South
MAIN,MAIN,21:19,22:19,East
MAIN,MAIN,22:19,23:19,East
MAIN,MAIN,23:19,24:19,East
MAIN,MAIN,24:19,25:19,East
MAIN,MAIN,25:19,26:19,East
MAIN,MAIN,26:19,27:19,East
MAIN,MAIN,27:19,28:19,East
MAIN,MAIN,28:19,29:19,East
MAIN,MAIN,29:19,30:19,East
MAIN,MAIN,30:19,31:19,East
MAIN,MAIN,31:19,32:19,East
MAIN,MAIN,32:19,33:19,East
MAIN,MAIN,33:19,34:19,East
MAIN,MAIN,34:19,35:19,East
MAIN,MAIN,35:19,36:19,East
MAIN,MAIN,36:19,37:19,East
MAIN,MAIN,37:19,38:19,East
MAIN,MAIN,38:19,39:19,East
MAIN,MAIN,39:19,40:19,East
MAIN,MAIN,40:19,41:19,East
MAIN,MAIN,41:19,42:19,East
MAIN,MAIN,42:19,43:19,East
MAIN,MAIN,43:19,44:19,East
MAIN,MAIN,44:19,45:19,East
MAIN,MAIN,45:19,46:19,East
MAIN,MAIN,46:19,47:19,East
MAIN,MAIN,47:19,48:19,East
MAIN,MAIN,48:19,49:19,East
MAIN,MAIN,49:19,50:19,East
MAIN,MAIN,50:19,51:19,East
MAIN,MAIN,51:19,52:19,East
MAIN,MAIN,52:19,53:19,East
MAIN,MAIN,53:19,54:19,East
MAIN,MAIN,54:19,55:19,East
MAIN,MAIN,55:19,56:19,East
MAIN,MAIN,56:19,57:19,East
MAIN,MAIN,57:19,58:19,East
MAIN,MAIN,58:19,59:19,East
MAIN,MAIN,59:19,60:19,East
MAIN,MAIN,60:19,60:18,South
SPLIT_REJOIN,S1,34:19,34:20,North
SPLIT_REJOIN,S1,34:20,34:21,North
SPLIT_REJOIN,S1,38:20,38:19,South
SPLIT_REJOIN,S1,34:21,35:21,East
SPLIT_REJOIN,S1,35:21,36:21,East
SPLIT_REJOIN,S1,36:21,37:21,East
SPLIT_REJOIN,S1,37:21,38:21,East
SPLIT_REJOIN,S1,38:21,38:20,South
SPLIT_REJOIN,S2,54:19,54:20,North
SPLIT_REJOIN,S2,54:20,54:21,North
SPLIT_REJOIN,S2,58:20,58:19,South
SPLIT_REJOIN,S2,54:21,55:21,East
SPLIT_REJOIN,S2,55:21,56:21,East
SPLIT_REJOIN,S2,56:21,57:21,East
SPLIT_REJOIN,S2,57:21,58:21,East
SPLIT_REJOIN,S2,58:21,58:20,South
