SourcePatternId,SourceMaskReference,OriginalReference,Transform,CandidateId,IntentTags,UnresolvedDirectionalTags,TagConflicts
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_29E3E69359AF","OptionalOnly;QuietFill","",""
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_2CFD0D58C833","StepFloor;GrabbableCorner;HazardAllowed;MechanismAllowed","",""
"RMAP07_LEDGE_A","0x0037","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_2F23C3C10EA1","ShortLedge;Landing;RequiredOk","","REQUIRED_OK_VS_SECRET_SHELL_REVIEW_REQUIRED"
"RMAP07_LEDGE_CONFLICT","0x0037","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_2F23C3C10EA1","ShortLedge;SecretShell","","REQUIRED_OK_VS_SECRET_SHELL_REVIEW_REQUIRED"
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_320A7626ED6B","ShortLedge;OneTilePassage;SecretShell","",""
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_320A7626ED6B","ShortLedge;OneTilePassage;SecretShell","",""
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_33DA78CFFC2B","OptionalOnly;QuietFill","",""
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_33DA78CFFC2B","OptionalOnly;QuietFill","",""
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_348D65F87C81","Takeoff;Landing;RequiredOk;RewardAllowed","",""
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_348D65F87C81","Takeoff;Landing;RequiredOk;RewardAllowed","",""
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_383820A9B74A","OptionalOnly;QuietFill","",""
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_3B5442059382","ShortLedge;OneTilePassage;SecretShell","",""
"RMAP07_ONEWAY_B","0x0000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_3B5442059382","ShortLedge;OneTilePassage;SecretShell","",""
"RMAP07_LEDGE_A","0x0037","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_42843FC69DA9","ShortLedge;Landing;RequiredOk","","REQUIRED_OK_VS_SECRET_SHELL_REVIEW_REQUIRED"
"RMAP07_LEDGE_CONFLICT","0x0037","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_42843FC69DA9","ShortLedge;SecretShell","","REQUIRED_OK_VS_SECRET_SHELL_REVIEW_REQUIRED"
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_43484FA21CDD","FlatFloor;Takeoff;LeftEntry;RightExit;RequiredOk","",""
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_47E93B2F5E41","StepFloor;GrabbableCorner;HazardAllowed;MechanismAllowed","",""
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_4CDE75B5AA5B","LongLedge;RunApproach;OptionalOnly","",""
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_4DD6D5BB9D7D","FlatFloor;Takeoff;RequiredOk","LEFT_EXIT_UNREPRESENTABLE;RIGHT_ENTRY_UNREPRESENTABLE",""
"RMAP07_CEILING_ROUGH","0xDB00","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_54B83B76755C","LowCeiling;SecretShell;RewardAllowed","",""
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_56FB16683040","LowCeiling;OneTilePassage;MechanismAllowed","",""
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_56FB16683040","LowCeiling;OneTilePassage;MechanismAllowed","",""
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_636CA9B9F841","FlatFloor;Takeoff;RequiredOk","LEFT_EXIT_UNREPRESENTABLE;RIGHT_ENTRY_UNREPRESENTABLE",""
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_65D391A441A9","OptionalOnly;QuietFill","",""
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_6B2FBAEF9D6E","GrabbableCorner;LadderAllowed","RIGHT_ENTRY_UNREPRESENTABLE",""
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_6B2FBAEF9D6E","GrabbableCorner;RightExit;PillarAllowed","",""
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_6F5D1DF424AA","LowCeiling;OneTilePassage;MechanismAllowed","",""
"RMAP07_CEILING_FLAT","0xF000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_6F5D1DF424AA","LowCeiling;OneTilePassage;MechanismAllowed","",""
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_7566868B5E69","Takeoff;Landing;RequiredOk;RewardAllowed","",""
"RMAP07_ONEWAY_A","0x0000","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_7566868B5E69","Takeoff;Landing;RequiredOk;RewardAllowed","",""
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_79BE181EF233","StepFloor;Landing;RunApproach;HazardAllowed","",""
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_7B01ADE7ECF7","LongLedge;RunApproach;OptionalOnly","",""
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_822BA4E06903","GrabbableCorner;LeftEntry;LadderAllowed","",""
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_822BA4E06903","GrabbableCorner;PillarAllowed","LEFT_EXIT_UNREPRESENTABLE",""
"RMAP07_LEDGE_B","0x00EF","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_87129E67AB3F","LongLedge;RunApproach;OptionalOnly","",""
"VIS01_MP_00C0","0x00C0","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_87138F3D0B1B","OptionalOnly;QuietFill","",""
"VIS01_MP_0440","0x0440","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_8A1BF4189067","OptionalOnly;QuietFill","",""
"VIS01_MP_0440","0x0440","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_8A1BF4189067","OptionalOnly;QuietFill","",""
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_8B83971CF6C7","OptionalOnly;QuietFill","",""
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_8B83971CF6C7","OptionalOnly;QuietFill","",""
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_9150F779FA44","OptionalOnly;QuietFill","",""
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_9150F779FA44","OptionalOnly;QuietFill","",""
"RMAP07_SLOPE_A","0x8EFC","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_95DB020014CC","FlatFloor;Takeoff;LeftEntry;RightExit;RequiredOk","",""
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"RMAP07_VOID","","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorX","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"VIS01_MP_0000","0x0000","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_991204FBA2B6","OptionalOnly;QuietFill","",""
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_9B12418EC848","OptionalOnly;QuietFill","",""
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_9C2627C00B8C","GrabbableCorner;LadderAllowed","RIGHT_ENTRY_UNREPRESENTABLE",""
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_9C2627C00B8C","GrabbableCorner;RightExit;PillarAllowed","",""
"VIS01_MP_0011","0x0011","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","MirrorY","RMAP07_A97A420107D6","OptionalOnly;QuietFill","",""
"VIS01_MP_0088","0x0088","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R180","RMAP07_A97A420107D6","OptionalOnly;QuietFill","",""
"RMAP07_COMPLEX_A","0x4EF3","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_B37CA5628B6C","StepFloor;GrabbableCorner;HazardAllowed;MechanismAllowed","",""
"VIS01_MP_0014","0x0014","MapDesign/MCP/GENERATED/VIS01/moonpalace_vis01_pattern_candidates_500.json","R0","RMAP07_BA09823B32F1","OptionalOnly;QuietFill","",""
"RMAP07_WALL_A","0x111F","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_C1EDFA4D95F8","GrabbableCorner;LeftEntry;LadderAllowed","",""
"RMAP07_WALL_B","0x888F","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_C1EDFA4D95F8","GrabbableCorner;PillarAllowed","LEFT_EXIT_UNREPRESENTABLE",""
"RMAP07_SLOPE_B","0xC8F7","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_C65915EF6FA4","StepFloor;Landing;RunApproach;HazardAllowed","",""
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","R0","RMAP07_D1CC491A6240","VerticalClearance;UpEntry;DownExit;LadderAllowed;PillarAllowed","",""
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","MirrorX","RMAP07_D1CC491A6240","VerticalClearance;UpEntry;DownExit;LadderAllowed;PillarAllowed","",""
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","MirrorY","RMAP07_D1CC491A6240","VerticalClearance;LadderAllowed;PillarAllowed","DOWN_ENTRY_UNREPRESENTABLE;UP_EXIT_UNREPRESENTABLE",""
"RMAP07_VERTICAL","0x9999","RMAP07_AUTHORED_TYPED_V1","R180","RMAP07_D1CC491A6240","VerticalClearance;LadderAllowed;PillarAllowed","DOWN_ENTRY_UNREPRESENTABLE;UP_EXIT_UNREPRESENTABLE",""
