case_id,recipe_id,case_kind,main_link_order,effective_takeoff_x,effective_takeoff_y,effective_landing_x,effective_landing_y,terminal_body_x,terminal_body_y,geometry_patch_id,source_id,target_id,checkpoint_link_order,outcome,actual_player,actual_driver,actual_rigidbody2d,actual_collider2d,used_grab,used_one_way,used_item,reverse_required,teleports_after_start,fixed_steps,measured_rise_cells,first_catch_matched,grabbed_platform
MAIN_R0_04,JUMP012_MIXED_R0,MAIN_LINK,4,14,7,11,7,11,7,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_04,MAIN_TARGET_04,-1,PASS,true,true,true,true,false,true,false,false,0,49,0,true,false
MAIN_R0_05,JUMP012_MIXED_R0,MAIN_LINK,5,9,7,6,8,6,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_05,MAIN_TARGET_05,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
MAIN_R0_06,JUMP012_MIXED_R0,MAIN_LINK,6,5,8,1,9,1,9,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_06,MAIN_TARGET_06,-1,PASS,true,true,true,true,false,true,false,false,0,49,1,true,false
MAIN_R0_07,JUMP012_MIXED_R0,MAIN_LINK,7,1,9,3,10,3,10,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_07,MAIN_TARGET_07,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
MAIN_R0_08,JUMP012_MIXED_R0,MAIN_LINK,8,4,10,7,11,7,11,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_08,MAIN_TARGET_08,-1,PASS,true,true,true,true,false,true,false,false,0,37,1,true,false
RECOVERY_MX_00,JUMP012_MIXED_MX,RECOVERY,0,21,2,17,3,21,2,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,RECOVERY_ROUTE_00,0,PASS,true,true,true,true,false,true,false,false,0,46,0,true,false
RECOVERY_MX_01,JUMP012_MIXED_MX,RECOVERY,1,15,3,11,4,15,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_01,RECOVERY_ROUTE_01,1,PASS,true,true,true,true,false,true,false,false,0,46,0,true,false
RECOVERY_MX_02,JUMP012_MIXED_MX,RECOVERY,2,10,4,6,5,10,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_02,RECOVERY_ROUTE_02,2,PASS,true,true,true,true,false,true,false,false,0,61,0,true,false
RECOVERY_MX_03,JUMP012_MIXED_MX,RECOVERY,3,5,5,8,7,5,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_03,RECOVERY_ROUTE_03,3,PASS,true,true,true,true,false,true,false,false,0,35,0,true,false
RECOVERY_MX_04,JUMP012_MIXED_MX,RECOVERY,4,9,7,12,7,10,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_04,RECOVERY_ROUTE_04,2,PASS,true,true,true,true,false,true,false,false,0,37,0,true,false
RECOVERY_MX_05,JUMP012_MIXED_MX,RECOVERY,5,14,7,17,8,15,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_05,RECOVERY_ROUTE_05,1,PASS,true,true,true,true,false,true,false,false,0,41,0,true,false
RECOVERY_MX_06,JUMP012_MIXED_MX,RECOVERY,6,18,8,22,9,18,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_06,RECOVERY_ROUTE_06,6,PASS,true,true,true,true,false,true,false,false,0,56,0,true,false
RECOVERY_MX_07,JUMP012_MIXED_MX,RECOVERY,7,22,9,20,10,21,2,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_07,RECOVERY_ROUTE_07,0,PASS,true,true,true,true,false,true,false,false,0,51,0,true,false
RECOVERY_MX_08,JUMP012_MIXED_MX,RECOVERY,8,19,10,16,11,18,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_08,RECOVERY_ROUTE_08,6,PASS,true,true,true,true,false,true,false,false,0,33,0,true,false
RECOVERY_R0_00,JUMP012_MIXED_R0,RECOVERY,0,2,2,6,3,2,2,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_00,RECOVERY_ROUTE_00,0,PASS,true,true,true,true,false,true,false,false,0,46,0,true,false
RECOVERY_R0_01,JUMP012_MIXED_R0,RECOVERY,1,8,3,12,4,8,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_01,RECOVERY_ROUTE_01,1,PASS,true,true,true,true,false,true,false,false,0,46,0,true,false
RECOVERY_R0_02,JUMP012_MIXED_R0,RECOVERY,2,13,4,17,5,13,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_02,RECOVERY_ROUTE_02,2,PASS,true,true,true,true,false,true,false,false,0,61,0,true,false
RECOVERY_R0_03,JUMP012_MIXED_R0,RECOVERY,3,18,5,15,7,18,5,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_03,RECOVERY_ROUTE_03,3,PASS,true,true,true,true,false,true,false,false,0,35,0,true,false
RECOVERY_R0_04,JUMP012_MIXED_R0,RECOVERY,4,14,7,11,7,13,4,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_04,RECOVERY_ROUTE_04,2,PASS,true,true,true,true,false,true,false,false,0,37,0,true,false
RECOVERY_R0_05,JUMP012_MIXED_R0,RECOVERY,5,9,7,6,8,8,3,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_05,RECOVERY_ROUTE_05,1,PASS,true,true,true,true,false,true,false,false,0,41,0,true,false
RECOVERY_R0_06,JUMP012_MIXED_R0,RECOVERY,6,5,8,1,9,5,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_06,RECOVERY_ROUTE_06,6,PASS,true,true,true,true,false,true,false,false,0,56,0,true,false
RECOVERY_R0_07,JUMP012_MIXED_R0,RECOVERY,7,1,9,3,10,2,2,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_07,RECOVERY_ROUTE_07,0,PASS,true,true,true,true,false,true,false,false,0,51,0,true,false
RECOVERY_R0_08,JUMP012_MIXED_R0,RECOVERY,8,4,10,7,11,5,8,SV5_20_FIX03_LOCAL_PHYSICAL_CLEARANCE,JS_LINK_08,RECOVERY_ROUTE_08,6,PASS,true,true,true,true,false,true,false,false,0,33,0,true,false
