recipe_id,x,y,collision,source_layer,owner_id
JUMP012_MIXED_R0,9,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_R0,9,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_R0,9,10,TOP_ONLY,SV5_17_BASE,JS09_EXIT_ONE_WAY
JUMP012_MIXED_R0,10,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_R0,10,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_R0,11,2,TOP_ONLY,SV5_19_RECOVERY,RG_MID_CATCH
JUMP012_MIXED_R0,11,6,TOP_ONLY,SV5_17_BASE,JS05_ONE_WAY
JUMP012_MIXED_R0,12,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,12,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,13,1,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,13,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,13,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,14,2,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,14,3,SOLID,SV5_17_BASE,JS02_SOLID
JUMP012_MIXED_R0,14,6,TOP_ONLY,SV5_20_FIX03,SV5_20_FIX03_JS04_PASS_THROUGH
JUMP012_MIXED_R0,15,6,SOLID,SV5_17_BASE,JS04_SOLID
JUMP012_MIXED_R0,16,4,TOP_ONLY,SV5_19_RECOVERY,RG_GRAB_CATCH
JUMP012_MIXED_R0,17,4,TOP_ONLY,SV5_19_RECOVERY,RG_GRAB_CATCH
JUMP012_MIXED_R0,18,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
JUMP012_MIXED_R0,19,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
JUMP012_MIXED_R0,20,4,TOP_ONLY,SV5_17_BASE,JS03_ONE_WAY
