landmark_id,record_kind,record_id,role_or_trigger_or_policy,order,from_state_or_failure_node,to_state_or_recovery_node,persistent,returns_all_forge_inputs,preserves_seal_acceptance,prevents_reroll,canonical_digest
MoonSealForge,State,SL_STATE_FORGE_READY,ForgeReady,1070,NONE,NONE,false,false,false,false,ec872b1c782787efce33da81aa1e84850a3ca243c0e917865f10e0c3df22d7f9
MoonSealForge,State,SL_STATE_FORGE_STARNURUK_AVAILABLE,ResourceAvailable,1819,NONE,NONE,false,false,false,false,192f228963acb6d4bb50b0ca97cd8a2fbe6bc88100462a6f6216a3d32fe8f744
MoonSealForge,State,SL_STATE_FORGE_STARNURUK_CONSUMED,ResourceConsumed,1752,NONE,NONE,true,false,false,false,9e0657f831ccfe8596ab6e1824f80b55f2508e217cbed8073d7158d3f780622e
MoonSealForge,State,SL_STATE_FORGE_STARNURUK_RESERVED,ResourceReserved,1754,NONE,NONE,false,false,false,false,57aaf56664f3297c56d363e7d55c88dc816568b21996dd4b658d37e585bd5737
MoonSealForge,State,SL_STATE_FORGE_STARNURUK_RETURNED,ResourceReturned,1763,NONE,NONE,false,false,false,false,98bae0a02428f03087fb1e84c61bb3593269118d33f5e4656e33ee86bfa2bcf9
MoonSealForge,State,SL_STATE_FORGE_SUCCESS,ForgeSucceeded,1470,NONE,NONE,true,false,false,false,bea5497d39a59c4c041416d45f1a2b7dee25a897e8778f60ceec62cc2e49e7d8
WanderingMerchantCave,State,SL_STATE_MERCHANT_AVAILABLE,MerchantAvailable,0,NONE,NONE,true,false,false,false,0e4d0501e1df51fa380fa2fb1e2b638286c131938225af1741c7aded1b8c8fa0
WanderingMerchantCave,State,SL_STATE_MERCHANT_DEPARTED,Departed,2,NONE,NONE,true,false,false,false,1160bb98ee7c26e057106025b1ba6783693885de3b0a965e6879de831cc56113
WanderingMerchantCave,State,SL_STATE_MERCHANT_VISITED,Visited,1,NONE,NONE,true,false,false,false,58206b415c6a37454a5931add2b60d70db3fdaaeca17c2720da9ae898aad7bda
BossSealArena,Transition,SL_TRANSITION_BOSS_ACCEPT_SEAL,PresentMoonSeal,1,SL_STATE_BOSS_GATE_LOCKED,SL_STATE_BOSS_GATE_ACCEPTED,false,false,false,false,31621f239000e1f4c7b1f4ebd19f7b0aba7171c2c5d6b25fb536f5b804a45b6f
BossSealArena,Transition,SL_TRANSITION_BOSS_ENTER,EnterEncounter,2,SL_STATE_BOSS_GATE_ACCEPTED,SL_STATE_BOSS_ENCOUNTER_ACTIVE,false,false,false,false,3d5f019d354add1982403570776616f5620e3c06a164765cf7c49a1c48ef918a
BossSealArena,Transition,SL_TRANSITION_BOSS_FAIL,EncounterFailed,3,SL_STATE_BOSS_ENCOUNTER_ACTIVE,SL_STATE_BOSS_ENCOUNTER_ACTIVE,false,false,false,false,9dce54d50d726dfca570c6a03fc55d180eae9a7076ebb77d01892e672c48df8f
BossSealArena,Transition,SL_TRANSITION_BOSS_WIN,BossDefeated,4,SL_STATE_BOSS_ENCOUNTER_ACTIVE,SL_STATE_BOSS_DEFEATED,false,false,false,false,e360b0eff9d2d7e8a37608223f42582550e45a89fd86a51ae443854f7db0d18c
MaruTimeShrine,Transition,SL_TRANSITION_MARU_IGNORE,IgnoreChoice,1,SL_STATE_MARU_OFFERED,SL_STATE_MARU_IGNORED,false,false,false,false,5812b1e86a6bb25361da700f2e10a55324fb8fd5987a5a1208493a0c83917765
MaruTimeShrine,Transition,SL_TRANSITION_MARU_SHORT,ChooseShortHint,2,SL_STATE_MARU_OFFERED,SL_STATE_MARU_SHORT_HINT,false,false,false,false,27d4d7d3c3e1528f055096bb2bbe01f8d6a54b119d5d1ce90a26ec48fd4943e5
MaruTimeShrine,Transition,SL_TRANSITION_MARU_STRONG,ChooseStrongHint,3,SL_STATE_MARU_OFFERED,SL_STATE_MARU_STRONG_HINT,false,false,false,false,dfd258df77b7a3bef3473865bdc97cf4020560949cbb85e27fd53d4f3a60f506
MoonSealForge,Transition,SL_TRANSITION_FORGE_CASSIASAP_CONSUME,ProcessSucceeded,2,SL_STATE_FORGE_CASSIASAP_RESERVED,SL_STATE_FORGE_CASSIASAP_CONSUMED,false,false,false,false,7d0e27267a60365a16bc3c6372a5e7a475a745d8543f76b876a86c3ec0d86cf3
MoonSealForge,Transition,SL_TRANSITION_FORGE_CASSIASAP_RESERVE,ReserveResource,1,SL_STATE_FORGE_CASSIASAP_AVAILABLE,SL_STATE_FORGE_CASSIASAP_RESERVED,false,false,false,false,c5ed78e3b79a7ba91622c453a04cb6dbe4c22f4c8527664c2d13d6087d039a02
MoonSealForge,Transition,SL_TRANSITION_FORGE_CASSIASAP_RETURN,ProcessFailed,3,SL_STATE_FORGE_CASSIASAP_RESERVED,SL_STATE_FORGE_CASSIASAP_RETURNED,false,false,false,false,84bc613a8c56be7a434d51df8938f2fb12b2f9ed3d7588a4ce196e4e3cbe5120
MoonSealForge,Transition,SL_TRANSITION_FORGE_MOONCORE_CONSUME,ProcessSucceeded,2,SL_STATE_FORGE_MOONCORE_RESERVED,SL_STATE_FORGE_MOONCORE_CONSUMED,false,false,false,false,c5645d4f1050082b83b606fb4077a4097c739dbb99384f07a095ea0b25fbf63d
MoonSealForge,Transition,SL_TRANSITION_FORGE_MOONCORE_RESERVE,ReserveResource,1,SL_STATE_FORGE_MOONCORE_AVAILABLE,SL_STATE_FORGE_MOONCORE_RESERVED,false,false,false,false,64d186468c71a7a58150deda994c279b37ad968f79fbed8396e0f47f9b5a9104
MoonSealForge,Transition,SL_TRANSITION_FORGE_MOONCORE_RETURN,ProcessFailed,3,SL_STATE_FORGE_MOONCORE_RESERVED,SL_STATE_FORGE_MOONCORE_RETURNED,false,false,false,false,a5a5e003eeec952cb88089dfc80272094108573a2c928679ee402ff541729f10
MoonSealForge,Transition,SL_TRANSITION_FORGE_STARNURUK_CONSUME,ProcessSucceeded,2,SL_STATE_FORGE_STARNURUK_RESERVED,SL_STATE_FORGE_STARNURUK_CONSUMED,false,false,false,false,cedb2655faba1b07985718ae7769c180a0baccad8c951c78a363e26ff1c28d86
MoonSealForge,Transition,SL_TRANSITION_FORGE_STARNURUK_RESERVE,ReserveResource,1,SL_STATE_FORGE_STARNURUK_AVAILABLE,SL_STATE_FORGE_STARNURUK_RESERVED,false,false,false,false,ac108682058148a6c29f7231cbdb785e9311eb3100fad3e63cc59400bf60f0c9
MoonSealForge,Transition,SL_TRANSITION_FORGE_STARNURUK_RETURN,ProcessFailed,3,SL_STATE_FORGE_STARNURUK_RESERVED,SL_STATE_FORGE_STARNURUK_RETURNED,false,false,false,false,f10cc5b3fdbe856dc650d1f728499215d8ce70546c934dec2ff959b738dc552e
WanderingMerchantCave,Transition,SL_TRANSITION_MERCHANT_DEPART,MerchantDeparted,2,SL_STATE_MERCHANT_VISITED,SL_STATE_MERCHANT_DEPARTED,false,false,false,false,4f5cd3c8325502f72018829319d9fd69a9b213cfd4558e1bbdab0dbf2f2f55df
WanderingMerchantCave,Transition,SL_TRANSITION_MERCHANT_VISIT,MerchantVisited,1,SL_STATE_MERCHANT_AVAILABLE,SL_STATE_MERCHANT_VISITED,false,false,false,false,ce899f227ce424bcce01ae1681975af0f54c4660f7b40061697f58dd8a008682
BossSealArena,Reset,SL_RESET_BOSS_ENCOUNTER,EncounterReset,0,NONE,SL_NODE_BOSS_CENTRAL_RECOVERY,false,false,true,false,8f120e233082456daa7a64fecebb2d3e9f1c5b308525e7068cfca373a6646745
BossSealArena,Reset,SL_RESET_BOSS_FALL,SafeReturn,0,SL_NODE_BOSS_FAIL_FALL,SL_NODE_BOSS_CENTRAL_RECOVERY,false,false,false,false,92508fc03e08eeccb8c84ac74ca21845c081d029a004184c80f72df82b99617f
BossSealArena,Reset,SL_RESET_BOSS_PRESSURE,SafeReturn,0,SL_NODE_BOSS_FAIL_PRESSURE,SL_NODE_BOSS_CENTRAL_RECOVERY,false,false,false,false,6f119ee0fa9cb0d9408a76a66dad8c946a108bce7d47d8d0eefa162da28d2963
MaruTimeShrine,Reset,SL_RESET_MARU_PERSISTENT_CHOICE,PersistentChoice,0,NONE,SL_NODE_MARU_SAFE,false,false,false,true,f4af889a658b804cb700c5e7e8080f7ebc75dc6f26fb6bafa22339de530ecb57
MaruTimeShrine,Reset,SL_RESET_MARU_SAFE_RETURN,SafeReturn,0,SL_NODE_MARU_FAILURE,SL_NODE_MARU_SAFE,false,false,false,false,c986b0af08ddcb3bd45e22b05bae099fafc92836369cf35da3f3a6ade2c4749b
MoonSealForge,Reset,SL_RESET_FORGE_GRIND,ManualReset,0,SL_NODE_FORGE_FAIL_GRIND,SL_NODE_FORGE_SAFE_CORRIDOR,false,true,false,false,9444861b13408a4b8f19b24d883c7b5e0e9eac93d7898b841beb8f6994058fcc
MoonSealForge,Reset,SL_RESET_FORGE_MIX,ManualReset,0,SL_NODE_FORGE_FAIL_MIX,SL_NODE_FORGE_SAFE_CORRIDOR,false,true,false,false,a125f0c01a3803f4fefc704218b1b5ace9304a5154357a9cb5af81ca5f7b01b1
MoonSealForge,Reset,SL_RESET_FORGE_PRESS,ManualReset,0,SL_NODE_FORGE_FAIL_PRESS,SL_NODE_FORGE_SAFE_CORRIDOR,false,true,false,false,69c188ebea3d38300619085aa93cf5da2e28aebfe06c295d5097b28e440c9586
WanderingMerchantCave,Reset,SL_RESET_MERCHANT_STABLE_VISIT,StableVisit,0,NONE,SL_NODE_MERCHANT_SAFE,false,false,false,true,bb5235965714eec1292c1a147ca6f2611f6925240fde2af688c233d0209424de
