landmark_id,edge_id,from_node_id,to_node_id,route_kind,order,access_class,required,dependency,canonical_digest
BossSealArena,SL_EDGE_BOSS_LOW_03,SL_NODE_BOSS_LOWER_OBSERVE,SL_NODE_BOSS_CENTRAL_RECOVERY,Low,3,MandatoryNoTool,true,None,6a30b1393c1c116285b57b2080c462e6e115d9bfc6c9bf539e8080764d959834
BossSealArena,SL_EDGE_BOSS_LOW_04,SL_NODE_BOSS_CENTRAL_RECOVERY,SL_NODE_BOSS_ARENA,Low,4,MandatoryNoTool,true,None,3674efcd8c49a1098d49d058899b382d4eec203c82da33d19682d43dc8f4f8b6
BossSealArena,SL_EDGE_BOSS_LOW_05,SL_NODE_BOSS_ARENA,SL_NODE_BOSS_RETURN,Low,5,MandatoryNoTool,true,None,db2a74be7625f4966d71f44f7f7edb750360a978d8127e54e45bdd5bdcab3ded
BossSealArena,SL_EDGE_BOSS_RECOVERY_01,SL_NODE_BOSS_FAIL_FALL,SL_NODE_BOSS_CENTRAL_RECOVERY,Recovery,1,MandatoryNoTool,true,None,6486c6b0709a872377078421e61a60cfb5769404b3977c1ba38e96a10b7326f1
BossSealArena,SL_EDGE_BOSS_RECOVERY_02,SL_NODE_BOSS_FAIL_PRESSURE,SL_NODE_BOSS_CENTRAL_RECOVERY,Recovery,1,MandatoryNoTool,true,None,1e395d3f902086c5833e6c2334440ee0e0586a2518f5b1d2766f2674c9390293
BossSealArena,SL_EDGE_BOSS_RETURN,SL_NODE_BOSS_CENTRAL_RECOVERY,SL_NODE_BOSS_RETURN,Return,1,MandatoryNoTool,true,None,17fd29d2119235c3761f06b8843f30f99f68e91ef22851b9e8ae915d1ed3b31c
MaruTimeShrine,SL_EDGE_MARU_FAIL_BRANCH,SL_NODE_MARU_STRONG,SL_NODE_MARU_FAILURE,High,101,OptionalNoTool,false,None,69b0d6027a5232a3f45dc8f5339af47eb584123172aab000891daf9fa792b57a
MaruTimeShrine,SL_EDGE_MARU_HIGH_01,SL_NODE_MARU_ENTRY,SL_NODE_MARU_SAFE,High,1,OptionalNoTool,false,None,af9af13818c7e0c0af4c94a520eaf46b90d496f697179942d47310c72b5fbf38
MaruTimeShrine,SL_EDGE_MARU_HIGH_02,SL_NODE_MARU_SAFE,SL_NODE_MARU_PREVIEW,High,2,OptionalNoTool,false,None,2280b30cd6af7c071968cfa22082833012d7f63c5d05a81d3d76658dee505e23
MaruTimeShrine,SL_EDGE_MARU_HIGH_03,SL_NODE_MARU_PREVIEW,SL_NODE_MARU_CHOICE,High,3,OptionalNoTool,false,None,627fd3338f2d3f1639597df8ba8e7b039501a418ae52c99ff95eab4f24d3e905
MaruTimeShrine,SL_EDGE_MARU_HIGH_04,SL_NODE_MARU_CHOICE,SL_NODE_MARU_STRONG,High,4,OptionalNoTool,false,None,c4fcde000b3f2da9d170f5110509d998853e8855330cbe46a845c09061cece2a
MaruTimeShrine,SL_EDGE_MARU_HIGH_05,SL_NODE_MARU_STRONG,SL_NODE_MARU_RETURN,High,5,OptionalNoTool,false,None,710d263b197a3134f380d8d0644917399d57143ee8b7842fc1fc985de8b77840
MaruTimeShrine,SL_EDGE_MARU_LOW_01,SL_NODE_MARU_ENTRY,SL_NODE_MARU_SAFE,Low,1,OptionalNoTool,false,None,e2286f93184b1ff834f9931c063383f9bf2eb79626d7895293d4097a726633dc
MaruTimeShrine,SL_EDGE_MARU_LOW_02,SL_NODE_MARU_SAFE,SL_NODE_MARU_PREVIEW,Low,2,OptionalNoTool,false,None,87de512cff2b0bdae5a111823908b1a1f9ecbff9b10d602bac7696d489f418a2
MaruTimeShrine,SL_EDGE_MARU_LOW_03,SL_NODE_MARU_PREVIEW,SL_NODE_MARU_CHOICE,Low,3,OptionalNoTool,false,None,9dc206d7bd77a9fc511756077079316c4045f2aac9178bbc2386ed88aa3092e9
MaruTimeShrine,SL_EDGE_MARU_LOW_04,SL_NODE_MARU_CHOICE,SL_NODE_MARU_RETURN,Low,4,OptionalNoTool,false,None,ccbad85d916f1b759dc044b7029b9d5210898ded3afeb2a79b8228d7423b8758
MaruTimeShrine,SL_EDGE_MARU_RECOVERY,SL_NODE_MARU_FAILURE,SL_NODE_MARU_SAFE,Recovery,1,OptionalNoTool,false,None,545442710c6859ec6a368b34ea41d621ded1f89bce33743aea9ed476daf84c6c
MaruTimeShrine,SL_EDGE_MARU_RETURN,SL_NODE_MARU_SAFE,SL_NODE_MARU_RETURN,Return,1,OptionalNoTool,false,None,5ab861cf92a51b2fc620cc735b4d062df31040537ddd8c90c6ac4216a89dc707
MoonSealForge,SL_EDGE_FORGE_FAIL_BRANCH_01,SL_NODE_FORGE_GRIND,SL_NODE_FORGE_FAIL_GRIND,High,101,OptionalNoTool,false,None,75aca355e03804c9372e48bd4cfbd84b8a95d3676d3d9aa5c7af104a3ae638f1
MoonSealForge,SL_EDGE_FORGE_FAIL_BRANCH_02,SL_NODE_FORGE_MIX,SL_NODE_FORGE_FAIL_MIX,High,102,OptionalNoTool,false,None,80fbecf869bcd95826780e8d949b73cab2785432aac0d75792d434084fa8faad
MoonSealForge,SL_EDGE_FORGE_FAIL_BRANCH_03,SL_NODE_FORGE_PRESS,SL_NODE_FORGE_FAIL_PRESS,High,103,OptionalNoTool,false,None,71be120177eb7f1ea3a1bdd5667640ae634b01706cf898b6a14dba2d92599e4c
MoonSealForge,SL_EDGE_FORGE_HIGH_01,SL_NODE_FORGE_ENTRY,SL_NODE_FORGE_GRIND,High,1,OptionalNoTool,false,None,ce7cfd6795ca2cb3b6ce394d35f99f922aa13d7111042ddcd2179cd74f4f9018
MoonSealForge,SL_EDGE_FORGE_HIGH_02,SL_NODE_FORGE_GRIND,SL_NODE_FORGE_TIMING,High,2,OptionalNoTool,false,None,e79ed9b2213911becb2dbe27bed52311338e904b1203ae8298f1d336cd680c27
MoonSealForge,SL_EDGE_FORGE_HIGH_03,SL_NODE_FORGE_TIMING,SL_NODE_FORGE_MIX,High,3,OptionalNoTool,false,None,334471e25b0741ed11a6b90ba694665ca740bdbf4d59028298adb018444e9839
MoonSealForge,SL_EDGE_FORGE_HIGH_04,SL_NODE_FORGE_MIX,SL_NODE_FORGE_PRESS,High,4,OptionalNoTool,false,None,68d972269b4913b9699f371aa504b830a96d5daf57077eb1b870dc1aa30afa1c
MoonSealForge,SL_EDGE_FORGE_HIGH_05,SL_NODE_FORGE_PRESS,SL_NODE_FORGE_ATTENTION,High,5,OptionalNoTool,false,None,ca06abc92f9a9dd0e685ac36f53dc49aac7e8100e20c7fbfe16b686eef59d1ad
MoonSealForge,SL_EDGE_FORGE_HIGH_06,SL_NODE_FORGE_ATTENTION,SL_NODE_FORGE_CURE,High,6,OptionalNoTool,false,None,b0ca98612636f515ee3973ac6fec566c5ccb2c8cf556badc9ddc4e6f3c084987
MoonSealForge,SL_EDGE_FORGE_HIGH_07,SL_NODE_FORGE_CURE,SL_NODE_FORGE_REWARD,High,7,OptionalNoTool,false,None,893f900421a96cbae13f1f62e633c45d37e0009faab076b943d0181ba800f406
MoonSealForge,SL_EDGE_FORGE_HIGH_08,SL_NODE_FORGE_REWARD,SL_NODE_FORGE_RETURN,High,8,OptionalNoTool,false,None,c78542a7d14c2f6aafd3462cf3e18b749d44702a0fdc17c7af7bd4a718370f1b
MoonSealForge,SL_EDGE_FORGE_LOW_01,SL_NODE_FORGE_ENTRY,SL_NODE_FORGE_GRIND,Low,1,MandatoryNoTool,true,None,1c734d05cfb2d4e9dc4ba680b95ce1ac81fc67baa116c13161e213f4aba9d1c5
MoonSealForge,SL_EDGE_FORGE_LOW_02,SL_NODE_FORGE_GRIND,SL_NODE_FORGE_MIX,Low,2,MandatoryNoTool,true,None,01e133bf516c9c3b2791f58f6306e41a4f2d4f81fa28f2cee0bc835f5644b8db
MoonSealForge,SL_EDGE_FORGE_LOW_03,SL_NODE_FORGE_MIX,SL_NODE_FORGE_PRESS,Low,3,MandatoryNoTool,true,None,70f313a7caf8d5577c445ddc0c9986eefa5cc495df0cada688d38fafdd87b15d
MoonSealForge,SL_EDGE_FORGE_LOW_04,SL_NODE_FORGE_PRESS,SL_NODE_FORGE_CURE,Low,4,MandatoryNoTool,true,None,7f4f10e74763848d7a7f206400d8de84a8a36c1e4249f69ae7a12c63b080ffd2
MoonSealForge,SL_EDGE_FORGE_LOW_05,SL_NODE_FORGE_CURE,SL_NODE_FORGE_REWARD,Low,5,MandatoryNoTool,true,None,47984a367e39d7d76f30a36522bad0cc20747830f9b6834e9d823c5f1d41e8a4
MoonSealForge,SL_EDGE_FORGE_LOW_06,SL_NODE_FORGE_REWARD,SL_NODE_FORGE_RETURN,Low,6,MandatoryNoTool,true,None,256a10ad1f19c1917b0e00f06b3be0c1dc287c02ab9bac3a41a1c6988e9b5029
MoonSealForge,SL_EDGE_FORGE_RECOVERY_01,SL_NODE_FORGE_FAIL_GRIND,SL_NODE_FORGE_SAFE_CORRIDOR,Recovery,1,MandatoryNoTool,true,None,c7e56807b5ee1831c23dde16c9391799541f155b95cca5a546fd6bcf34ddc77e
MoonSealForge,SL_EDGE_FORGE_RECOVERY_02,SL_NODE_FORGE_FAIL_MIX,SL_NODE_FORGE_SAFE_CORRIDOR,Recovery,1,MandatoryNoTool,true,None,968de6b14fba51b68cde99bb134afab304dfadd3495f5b091d3d6a204a2b873e
MoonSealForge,SL_EDGE_FORGE_RECOVERY_03,SL_NODE_FORGE_FAIL_PRESS,SL_NODE_FORGE_SAFE_CORRIDOR,Recovery,1,MandatoryNoTool,true,None,2ceb16576ed3f61f7bfbe76b4cec5af2ec590f3deabbeaf15c197805acbccd06
MoonSealForge,SL_EDGE_FORGE_RECOVERY_JOIN,SL_NODE_FORGE_SAFE_CORRIDOR,SL_NODE_FORGE_GRIND,Recovery,2,MandatoryNoTool,true,None,ddfbc5f9ea3ebfa3b0328467acfddc63ab8cbaaae7466a55277624afeade4b23
MoonSealForge,SL_EDGE_FORGE_RETURN,SL_NODE_FORGE_REWARD,SL_NODE_FORGE_RETURN,Return,1,MandatoryNoTool,true,None,3f38d276e10ca66a50f0fc8d125a913a469351d2ab375c5433c5324d8a176ad0
WanderingMerchantCave,SL_EDGE_MERCHANT_HIGH_01,SL_NODE_MERCHANT_ENTRY,SL_NODE_MERCHANT_STORAGE,High,1,OptionalNoTool,false,None,b04984902321dd48b43fecd9f97e9350aa434b9075006188f15c1b1f3b73a6a5
WanderingMerchantCave,SL_EDGE_MERCHANT_HIGH_02,SL_NODE_MERCHANT_STORAGE,SL_NODE_MERCHANT_INFO,High,2,OptionalNoTool,false,None,a07fbcf9e4a2506e1c45b18d377fee0aafb12826082749de830a6f8480f12991
WanderingMerchantCave,SL_EDGE_MERCHANT_HIGH_03,SL_NODE_MERCHANT_INFO,SL_NODE_MERCHANT_BENEFIT,High,3,OptionalNoTool,false,None,6ab71e5ea4f086290fdc5ab37018df203f753003ccd7284793b558b3396198cd
WanderingMerchantCave,SL_EDGE_MERCHANT_HIGH_04,SL_NODE_MERCHANT_BENEFIT,SL_NODE_MERCHANT_RETURN,High,4,OptionalNoTool,false,None,3fb4b776d79484fda1330040fb30468cb4b194e2884ea5843fa6c758c1a96490
WanderingMerchantCave,SL_EDGE_MERCHANT_LOW_01,SL_NODE_MERCHANT_ENTRY,SL_NODE_MERCHANT_SAFE,Low,1,OptionalNoTool,false,None,93cefc5c840f9a969f9a14eb97f79d0a8ec43510a83424a05ca06dbff0dcbd49
WanderingMerchantCave,SL_EDGE_MERCHANT_LOW_02,SL_NODE_MERCHANT_SAFE,SL_NODE_MERCHANT_SHOP,Low,2,OptionalNoTool,false,None,f0b460cebfdf263d5b6094914df6adfa6375268363049eeb67918d5b88edb01d
WanderingMerchantCave,SL_EDGE_MERCHANT_LOW_03,SL_NODE_MERCHANT_SHOP,SL_NODE_MERCHANT_RETURN,Low,3,OptionalNoTool,false,None,d1e43ed9952fd0f6b72bdd7e1671b904f9f5f381c8c822b060f4c0d1637f8ef0
WanderingMerchantCave,SL_EDGE_MERCHANT_RETURN,SL_NODE_MERCHANT_SAFE,SL_NODE_MERCHANT_RETURN,Return,1,OptionalNoTool,false,None,6aca48c4d6de8c1ec97a1dc2dffe8cf61cf702b83d8793fd2a97c57585c25636
